run_id,country,aoi,incid_rate,cfr,infect_dur
1,GHA,25.75,3.7567433963202736e-4,0.03482895167773246,0.010958904109589041
2,GHA,25.75,3.8054741301283483e-4,0.03482895167773246,0.010958904109589041
3,GHA,25.75,3.7295207850021313e-4,0.03482895167773246,0.010958904109589041
4,GHA,25.75,3.7295207850021313e-4,0.03482895167773246,0.010958904109589041
5,GHA,25.75,3.807597079510127e-4,0.03482895167773246,0.010958904109589041
6,GHA,25.75,3.7193325188182634e-4,0.03482895167773246,0.010958904109589041
7,GHA,25.75,3.7557358040376073e-4,0.03482895167773246,0.010958904109589041
8,GHA,25.75,3.746059078277544e-4,0.03482895167773246,0.010958904109589041
9,GHA,25.75,3.726195647516862e-4,0.03482895167773246,0.010958904109589041
10,GHA,25.75,3.736525287999468e-4,0.03482895167773246,0.010958904109589041
11,GHA,25.75,3.848691338558951e-4,0.03482895167773246,0.010958904109589041
12,GHA,25.75,3.757474681656592e-4,0.03482895167773246,0.010958904109589041
13,GHA,25.75,3.757474681656592e-4,0.03482895167773246,0.010958904109589041
14,GHA,25.75,3.786430578913165e-4,0.03482895167773246,0.010958904109589041
15,GHA,25.75,3.7343492537392323e-4,0.03482895167773246,0.010958904109589041
16,GHA,25.75,3.7876965266429196e-4,0.03482895167773246,0.010958904109589041
17,GHA,25.75,3.804667168103736e-4,0.03482895167773246,0.010958904109589041
18,GHA,25.75,3.776222276655397e-4,0.03482895167773246,0.010958904109589041
19,GHA,25.75,3.762422594162855e-4,0.03482895167773246,0.010958904109589041
20,GHA,25.75,3.806250150507509e-4,0.03482895167773246,0.010958904109589041
21,GHA,25.75,3.806250150507509e-4,0.03482895167773246,0.010958904109589041
22,GHA,25.75,3.8084660638846907e-4,0.03482895167773246,0.010958904109589041
23,GHA,25.75,3.74539054527511e-4,0.03482895167773246,0.010958904109589041
24,GHA,25.75,3.74539054527511e-4,0.03482895167773246,0.010958904109589041
25,GHA,25.75,3.751906162936056e-4,0.03482895167773246,0.010958904109589041
26,GHA,25.75,3.7385633115159887e-4,0.03482895167773246,0.010958904109589041
27,GHA,25.75,3.8233805685891566e-4,0.03482895167773246,0.010958904109589041
28,GHA,25.75,3.8233805685891566e-4,0.03482895167773246,0.010958904109589041
29,GHA,25.75,3.741952143110376e-4,0.03482895167773246,0.010958904109589041
30,GHA,25.75,3.7484110919975926e-4,0.03482895167773246,0.010958904109589041
31,GHA,25.75,3.7534892661733057e-4,0.03482895167773246,0.010958904109589041
32,GHA,25.75,3.7871118062529857e-4,0.03482895167773246,0.010958904109589041
33,GHA,25.75,3.7947261623271785e-4,0.03482895167773246,0.010958904109589041
34,GHA,25.75,3.759963915235487e-4,0.03482895167773246,0.010958904109589041
35,GHA,25.75,3.758505507293565e-4,0.03482895167773246,0.010958904109589041
36,GHA,25.75,3.7858230207169017e-4,0.03482895167773246,0.010958904109589041
37,GHA,25.75,3.7159480397943337e-4,0.03482895167773246,0.010958904109589041
38,GHA,25.75,3.7642804150482523e-4,0.03482895167773246,0.010958904109589041
39,GHA,25.75,3.780399911468863e-4,0.03482895167773246,0.010958904109589041
40,GHA,25.75,3.755533620285595e-4,0.03482895167773246,0.010958904109589041
41,GHA,25.75,3.824278429412288e-4,0.03482895167773246,0.010958904109589041
42,GHA,25.75,3.8611156927800285e-4,0.03482895167773246,0.010958904109589041
43,GHA,25.75,3.7927602426631065e-4,0.03482895167773246,0.010958904109589041
44,GHA,25.75,3.862930415352404e-4,0.03482895167773246,0.010958904109589041
45,GHA,25.75,3.8493865100269346e-4,0.03482895167773246,0.010958904109589041
46,GHA,25.75,3.8693972380553394e-4,0.03482895167773246,0.010958904109589041
47,GHA,25.75,3.8072112433425637e-4,0.03482895167773246,0.010958904109589041
48,GHA,25.75,3.840572764413964e-4,0.03482895167773246,0.010958904109589041
49,GHA,25.75,3.7968994977938324e-4,0.03482895167773246,0.010958904109589041
50,GHA,25.75,3.8527202947650406e-4,0.03482895167773246,0.010958904109589041
51,GHA,25.75,3.827471815861865e-4,0.03482895167773246,0.010958904109589041
52,GHA,25.75,3.84242771130148e-4,0.03482895167773246,0.010958904109589041
53,GHA,25.75,3.890833544011633e-4,0.03482895167773246,0.010958904109589041
54,GHA,25.75,3.824531452581969e-4,0.03482895167773246,0.010958904109589041
55,GHA,25.75,3.8574387705738345e-4,0.03482895167773246,0.010958904109589041
56,GHA,25.75,3.846475391874439e-4,0.03482895167773246,0.010958904109589041
57,GHA,25.75,3.868460308798579e-4,0.03482895167773246,0.010958904109589041
58,GHA,25.75,3.868460308798579e-4,0.03482895167773246,0.010958904109589041
59,GHA,25.75,3.830595028037823e-4,0.03482895167773246,0.010958904109589041
60,GHA,25.75,3.830595028037823e-4,0.03482895167773246,0.010958904109589041
