run_id,infect_dur,COD:aoi,ETH:aoi,KEN:aoi,SOM:aoi,SSD:aoi,COD:incid_rate,ETH:incid_rate,KEN:incid_rate,SOM:incid_rate,SSD:incid_rate,COD:cfr,ETH:cfr,KEN:cfr,SOM:cfr,SSD:cfr
1,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.014572323168584e-4,6.31839400785391e-5,2.4939693938124313e-4,0.0015599262196324317,8.180914048131567e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
2,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.9554665201743834e-4,6.28909358480729e-5,2.439468602179515e-4,0.0015298888602571484,8.053353824142817e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
3,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.012415880433207e-4,6.350414262074126e-5,2.460665423010944e-4,0.0015509803228290202,8.039571124353834e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
4,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.965501432860573e-4,6.588582431545725e-5,2.448665812407944e-4,0.0015614212540396009,8.280142339788788e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
5,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.0131210524472534e-4,6.417462528353114e-5,2.434032261801948e-4,0.0015644924033123714,6.035159594675826e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
6,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.991600362906519e-4,6.282067136470981e-5,2.4348780326240561e-4,0.0016225347526394127,5.880348074843924e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
7,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.533001981577138e-4,6.662141973426332e-5,2.4448020338645925e-4,0.0015771178910319293,5.846532632916478e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
8,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.608890697372115e-4,7.559442089554474e-5,2.2305363565531112e-4,0.0015831503727795286,5.800714599127466e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
9,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5842243813247236e-4,6.137897198230323e-5,2.2928059311910225e-4,0.0015427601888735511,6.042538577596291e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
10,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.3856923840708253e-4,6.593720688106918e-5,2.2355787719055418e-4,0.001518311159727032,5.795916812456621e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
11,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.719231889303586e-4,6.495946670640922e-5,2.261375341667661e-4,0.0014491705859620274,5.921482412700733e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
12,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.394777128554308e-4,6.372969880339873e-5,2.2123519009564733e-4,0.0012102745288796331,5.958095235684797e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
13,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5343797718103765e-4,6.560280199982107e-5,2.2467681842553282e-4,0.0011855835298884784,5.95235802216191e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
14,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.29927689553089e-4,6.89172526768884e-5,2.052712378860202e-4,0.0011932094713407368,5.687882933866957e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
15,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.545208776875516e-4,6.267001045246606e-5,1.9204391271186863e-4,0.0012753348829186468,6.05430626939496e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
16,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.3067870756332477e-4,6.431183958580133e-5,1.9489876194055223e-4,0.0014571882967120617,0.0014667127264729612,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
17,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.587734514253402e-4,6.393194694228806e-5,1.9004272574793573e-4,0.001353024567269488,0.0014566019863613553,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
18,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.4405408721741704e-4,6.368897511527026e-5,1.9004272574793573e-4,0.0011572630984765298,0.0014670706400875138,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
