"threshold","confirmation_lens","admin_level","tp_cumu_lb","tp_cumu_median","tp_cumu_ub","efficiency_lb","efficiency_median","efficiency_ub","ac_lb","ac_median","ac_ub"
1e-04,"district-estimate","admin1",364642292.828811,415004095.046112,464642940.616446,1.19644996066189,1.37682004136819,1.61476875668003,494354.817725517,573366.715841923,648725.977544003
1e-04,"district-estimate","admin2",265400231.340577,289059996.242416,312130561.882721,1.87841027168898,2.20895024455887,2.49499486873525,553119.800936904,634262.635598336,714760.609241056
1e-04,"global-estimate","admin1",385250465.179374,430179557.891052,483783489.638038,1.14508051649596,1.32268097666368,1.48506948729735,487989.02444565,569826.968728326,650533.267554303
1e-04,"global-estimate","admin2",292090244.62841,314679107.655802,338068027.493572,1.76495440134379,1.98881605169332,2.24736534034233,541208.660252507,627795.096592183,712546.086688011
1e-04,"no-estimate","admin1",645926843.926294,716046368.101674,762611185.856239,0.801952744691157,0.910122813747899,1.05018595545116,567690.780846625,647037.879948193,725538.855251991
1e-04,"no-estimate","admin2",430495519.820924,446928395.575364,468981030.382944,1.31697693818781,1.49219967164422,1.69904851401889,588530.485678099,668014.343743777,746401.984861852
2e-04,"district-estimate","admin1",191180910.269757,228123927.588924,263703837.409643,1.70624810245337,2.07752320098235,2.41726946021203,386803.051027958,469045.133416491,557289.545568976
2e-04,"district-estimate","admin2",161160926.829061,178661307.151241,198858188.764979,2.71362721951913,3.1895198667569,3.66707395540022,486911.380474466,571318.338330727,655317.321554184
2e-04,"global-estimate","admin1",189586732.954466,232351154.093378,267484495.077584,1.73178557522814,2.00295556842289,2.25185247412807,369018.972183747,464222.154301845,556436.431655135
2e-04,"global-estimate","admin2",177345782.010424,195668519.31728,219441537.55799,2.56548219342407,2.87337403480115,3.13211277248221,466763.51487586,560762.871211746,648672.376032676
2e-04,"no-estimate","admin1",404524755.057948,438047851.94452,486113702.93121,1.12298387078137,1.30940053254844,1.50739495397643,494657.571282564,574004.805240309,648689.073099853
2e-04,"no-estimate","admin2",310748255.231173,321423158.885955,336971009.851551,1.68786895931302,1.96338782613891,2.23463789115573,549737.267780495,631014.428080801,711488.181306328
0.001,"district-estimate","admin1",8840412.1327806,19285109.0167004,34815713.038192,5.064961844345,6.934181544778,11.9339038951335,67669.2473698067,137714.551757001,211434.740078358
0.001,"district-estimate","admin2",25123167.7694992,35267274.9579246,42992802.6379951,7.76458640482706,9.41479169457207,11.8793047052149,241828.577536638,328846.619827939,412120.670235054
0.001,"global-estimate","admin1",9559952.10866547,18512101.2515874,33967091.0816014,4.34844173474517,6.90342292622353,11.0813567990422,61671.6602481801,127402.969530837,201873.17741109
0.001,"global-estimate","admin2",29744294.0039547,37148830.4792149,48219581.4128725,6.87965018965125,8.26369934356085,9.67814756736747,221968.638808453,310180.122549601,403226.407982836
0.001,"no-estimate","admin1",64447847.4332657,80604198.7301451,94621965.6499197,2.5482400978958,3.35624127708493,4.20396114244701,204762.357950106,267534.953646835,350142.670202612
0.001,"no-estimate","admin2",74642785.098703,81254042.4610947,89508727.5240633,4.26820646524305,5.19041366496904,6.1855303563724,348284.263000662,421763.037795029,502253.434364056
