"ISO","threshold","confirmation_lens","admin_level","n_runs_targeted"
"AGO",1e-04,"district-estimate","admin1",200
"AGO",1e-04,"district-estimate","admin2",200
"AGO",2e-04,"district-estimate","admin1",199
"AGO",2e-04,"district-estimate","admin2",200
"AGO",0.001,"district-estimate","admin1",15
"AGO",0.001,"district-estimate","admin2",191
"AGO",1e-04,"global-estimate","admin1",200
"AGO",1e-04,"global-estimate","admin2",200
"AGO",2e-04,"global-estimate","admin1",199
"AGO",2e-04,"global-estimate","admin2",200
"AGO",0.001,"global-estimate","admin1",10
"AGO",0.001,"global-estimate","admin2",193
"AGO",1e-04,"no-estimate","admin1",200
"AGO",1e-04,"no-estimate","admin2",200
"AGO",2e-04,"no-estimate","admin1",200
"AGO",2e-04,"no-estimate","admin2",200
"AGO",0.001,"no-estimate","admin1",155
"AGO",0.001,"no-estimate","admin2",200
"BDI",1e-04,"district-estimate","admin1",200
"BDI",1e-04,"district-estimate","admin2",200
"BDI",2e-04,"district-estimate","admin1",168
"BDI",2e-04,"district-estimate","admin2",200
"BDI",0.001,"district-estimate","admin2",149
"BDI",1e-04,"global-estimate","admin1",200
"BDI",1e-04,"global-estimate","admin2",200
"BDI",2e-04,"global-estimate","admin1",141
"BDI",2e-04,"global-estimate","admin2",200
"BDI",0.001,"global-estimate","admin2",24
"BDI",1e-04,"no-estimate","admin1",200
"BDI",1e-04,"no-estimate","admin2",200
"BDI",2e-04,"no-estimate","admin1",200
"BDI",2e-04,"no-estimate","admin2",200
"BDI",0.001,"no-estimate","admin2",200
"BEN",1e-04,"district-estimate","admin1",8
"BEN",1e-04,"district-estimate","admin2",199
"BEN",2e-04,"district-estimate","admin2",169
"BEN",1e-04,"global-estimate","admin2",200
"BEN",2e-04,"global-estimate","admin2",166
"BEN",0.001,"global-estimate","admin2",2
"BEN",1e-04,"no-estimate","admin1",185
"BEN",1e-04,"no-estimate","admin2",200
"BEN",2e-04,"no-estimate","admin2",200
"BEN",0.001,"no-estimate","admin2",58
"BFA",1e-04,"district-estimate","admin2",9
"BFA",1e-04,"global-estimate","admin2",2
"BFA",1e-04,"no-estimate","admin2",70
"BFA",2e-04,"no-estimate","admin2",1
"CAF",1e-04,"district-estimate","admin1",61
"CAF",1e-04,"district-estimate","admin2",181
"CAF",2e-04,"district-estimate","admin1",18
"CAF",2e-04,"district-estimate","admin2",158
"CAF",0.001,"district-estimate","admin2",37
"CAF",1e-04,"global-estimate","admin1",56
"CAF",1e-04,"global-estimate","admin2",194
"CAF",2e-04,"global-estimate","admin1",22
"CAF",2e-04,"global-estimate","admin2",175
"CAF",0.001,"global-estimate","admin2",13
"CAF",1e-04,"no-estimate","admin1",95
"CAF",1e-04,"no-estimate","admin2",200
"CAF",2e-04,"no-estimate","admin1",42
"CAF",2e-04,"no-estimate","admin2",200
"CAF",0.001,"no-estimate","admin1",2
"CAF",0.001,"no-estimate","admin2",87
