"year","run_id","threshold","confirmation_lens","admin_level","target_pop_cumu","true_ac_cumu","fvp_cumu"
2022,1,1e-04,"district-estimate","admin1",153205490.837717,63966.4012403333,153205490.837717
2022,1,1e-04,"district-estimate","admin2",102614358.494512,70165.9108643921,102614358.494512
2022,1,1e-04,"global-estimate","admin1",143505817.241354,61990.0633666117,143505817.241354
2022,1,1e-04,"global-estimate","admin2",109480890.884683,70233.0824944188,109480890.884683
2022,1,1e-04,"no-estimate","admin1",243595676.372493,71181.6142645108,243595676.372493
2022,1,1e-04,"no-estimate","admin2",141470866.867196,72763.9113385217,141470866.867196
2022,1,2e-04,"district-estimate","admin1",78905718.4795468,52129.5774590462,78905718.4795468
2022,1,2e-04,"district-estimate","admin2",70664871.3310755,65006.9969169328,70664871.3310755
2022,1,2e-04,"global-estimate","admin1",79839045.5935318,51205.7185737907,79839045.5935318
2022,1,2e-04,"global-estimate","admin2",73293381.3604611,64175.9246263008,73293381.3604611
2022,1,2e-04,"no-estimate","admin1",157375379.127927,63956.7652311816,157375379.127927
2022,1,2e-04,"no-estimate","admin2",104589920.979778,69663.2560247057,104589920.979778
2022,1,0.001,"district-estimate","admin1",14523042.8031976,22752.8755656345,14523042.8031976
2022,1,0.001,"district-estimate","admin2",14394662.0848195,40115.0395088689,14394662.0848195
2022,1,0.001,"global-estimate","admin1",8331667.42711172,13260.6609973177,8331667.42711172
2022,1,0.001,"global-estimate","admin2",14698885.6789055,37619.9450512988,14698885.6789055
2022,1,0.001,"no-estimate","admin1",31355540.9582076,34630.8378265365,31355540.9582076
2022,1,0.001,"no-estimate","admin2",27492181.7423927,48071.4426848525,27492181.7423927
2022,2,1e-04,"district-estimate","admin1",165140323.593493,67161.9659014581,165140323.593493
2022,2,1e-04,"district-estimate","admin2",98013933.3845054,72000.8017267592,98013933.3845054
2022,2,1e-04,"global-estimate","admin1",164556399.795012,66329.053065538,164556399.795012
2022,2,1e-04,"global-estimate","admin2",101603116.608629,71317.2979250428,101603116.608629
2022,2,1e-04,"no-estimate","admin1",245779303.870698,73296.6785897552,245779303.870698
2022,2,1e-04,"no-estimate","admin2",139791763.285121,74728.7498599914,139791763.285121
2022,2,2e-04,"district-estimate","admin1",79326226.667211,53984.9603760643,79326226.667211
2022,2,2e-04,"district-estimate","admin2",68304077.2180298,67311.1123782897,68304077.2180298
2022,2,2e-04,"global-estimate","admin1",81454043.4849892,54030.4583312161,81454043.4849892
2022,2,2e-04,"global-estimate","admin2",70646102.3888203,65867.7637357117,70646102.3888203
2022,2,2e-04,"no-estimate","admin1",163887515.50819,66325.0823624726,163887515.50819
2022,2,2e-04,"no-estimate","admin2",102351209.404451,71346.1942949601,102351209.404451
2022,2,0.001,"district-estimate","admin1",13145520.6790533,22886.9652251666,13145520.6790533
2022,2,0.001,"district-estimate","admin2",14063742.2518887,40399.1578660788,14063742.2518887
2022,2,0.001,"global-estimate","admin1",11797482.0813485,20901.56813044,11797482.0813485
2022,2,0.001,"global-estimate","admin2",15699477.0094262,39666.5941645451,15699477.0094262
2022,2,0.001,"no-estimate","admin1",31355540.9582076,35659.4475040501,31355540.9582076
2022,2,0.001,"no-estimate","admin2",30079121.4004906,50889.8551959298,30079121.4004906
2022,3,1e-04,"district-estimate","admin1",153121663.142361,73405.3137639011,153121663.142361
2022,3,1e-04,"district-estimate","admin2",96286028.7116818,79259.1076991926,96286028.7116818
2022,3,1e-04,"global-estimate","admin1",164182836.89773,73503.8289619773,164182836.89773
2022,3,1e-04,"global-estimate","admin2",108944973.268443,79598.4764270772,108944973.268443
2022,3,1e-04,"no-estimate","admin1",249840500.042338,80531.923395339,249840500.042338
2022,3,1e-04,"no-estimate","admin2",141789241.540593,82065.7698115867,141789241.540593
2022,3,2e-04,"district-estimate","admin1",84429400.6554182,62441.143043851,84429400.6554182
2022,3,2e-04,"district-estimate","admin2",64994151.2182626,74242.1909165173,64994151.2182626
2022,3,2e-04,"global-estimate","admin1",90008621.5141098,62706.272334875,90008621.5141098
2022,3,2e-04,"global-estimate","admin2",72664615.5702439,74602.2287919621,72664615.5702439
2022,3,2e-04,"no-estimate","admin1",154209100.866733,72177.1557012103,154209100.866733
2022,3,2e-04,"no-estimate","admin2",104744078.713882,79188.58336732,104744078.713882
2022,3,0.001,"district-estimate","admin1",8884137.95940923,22203.1606679698,8884137.95940923
2022,3,0.001,"district-estimate","admin2",14935036.5185203,49365.2708471031,14935036.5185203
2022,3,0.001,"global-estimate","admin1",12075131.6985339,25889.2624661764,12075131.6985339
2022,3,0.001,"global-estimate","admin2",17268145.422727,49100.1393747934,17268145.422727
2022,3,0.001,"no-estimate","admin1",31334524.2978974,42461.8647055793,31334524.2978974
2022,3,0.001,"no-estimate","admin2",28345608.8276518,58237.001601764,28345608.8276518
2022,4,1e-04,"district-estimate","admin1",152135431.619411,64659.1299725649,152135431.619411
2022,4,1e-04,"district-estimate","admin2",97333825.658753,70307.0596706192,97333825.658753
2022,4,1e-04,"global-estimate","admin1",142049808.17092,61799.0018356889,142049808.17092
2022,4,1e-04,"global-estimate","admin2",103402668.073115,69916.3011549325,103402668.073115
2022,4,1e-04,"no-estimate","admin1",249840500.042338,72089.6672276129,249840500.042338
2022,4,1e-04,"no-estimate","admin2",141789241.540593,73056.8282850744,141789241.540593
2022,4,2e-04,"district-estimate","admin1",84687151.7397307,54345.878112827,84687151.7397307
2022,4,2e-04,"district-estimate","admin2",65109392.4789901,65078.3168878924,65109392.4789901
2022,4,2e-04,"global-estimate","admin1",76652438.4411833,51788.1242086202,76652438.4411833
