"confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"district-estimate","admin1",1e-04,254,278,313,93,104,114
"district-estimate","admin1",2e-04,139,159,180,53,61,69
"district-estimate","admin1",0.001,13,22,35,5,9,15
"district-estimate","admin2",1e-04,1050,1106,1165,375,402,425
"district-estimate","admin2",2e-04,641,688,747,237,254,272
"district-estimate","admin2",0.001,117,144,189,45,56,74
"global-estimate","admin1",1e-04,268,290,325,100,108,121
"global-estimate","admin1",2e-04,142,165,185,53,62,70
"global-estimate","admin1",0.001,16,22,37,6,8,15
"global-estimate","admin2",1e-04,1118,1200,1284,400,431,456
"global-estimate","admin2",2e-04,690,750,825,252,276,301
"global-estimate","admin2",0.001,127,156,207,48,60,79
"no-estimate","admin1",1e-04,436,451,475,155,161,168
"no-estimate","admin1",2e-04,281,293,328,102,109,123
"no-estimate","admin1",0.001,57,66,79,24,27,30
"no-estimate","admin2",1e-04,1672,1770,1835,586,621,647
"no-estimate","admin2",2e-04,1174,1229,1274,417,439,459
"no-estimate","admin2",0.001,302,334,391,116,126,145
