"year","run_id","threshold","confirmation_lens","admin_level","target_pop_cumu","true_ac_cumu"
2022,1,1e-04,"district-estimate","admin1",153094747.012411,67020.5645446936
2022,1,1e-04,"district-estimate","admin2",98082835.787051,72250.7860989561
2022,1,1e-04,"global-estimate","admin1",122436234.525944,62601.9047314469
2022,1,1e-04,"global-estimate","admin2",94100841.0155669,71425.1065284365
2022,1,1e-04,"no-estimate","admin1",240759346.96492,74041.0314577892
2022,1,1e-04,"no-estimate","admin2",139307314.704765,75496.1289079737
2022,1,2e-04,"district-estimate","admin1",81525859.6011319,55207.6753497478
2022,1,2e-04,"district-estimate","admin2",68216678.0832541,67247.8781235201
2022,1,2e-04,"global-estimate","admin1",70203738.8202229,53038.3507356757
2022,1,2e-04,"global-estimate","admin2",57866085.5888496,65285.9676727956
2022,1,2e-04,"no-estimate","admin1",148451800.891933,66111.2769809086
2022,1,2e-04,"no-estimate","admin2",106341769.826613,72899.6411629046
2022,1,0.001,"district-estimate","admin1",9181374.53009491,17943.2235582918
2022,1,0.001,"district-estimate","admin2",13311991.5860436,40400.868461143
2022,1,0.001,"global-estimate","admin1",6943048.12920464,14815.983457759
2022,1,0.001,"global-estimate","admin2",10929366.0505766,36200.426783703
2022,1,0.001,"no-estimate","admin1",30921680.6804111,35099.3850346971
2022,1,0.001,"no-estimate","admin2",26083214.7629242,50341.4141570807
2022,2,1e-04,"district-estimate","admin1",153715051.530129,68452.8927645721
2022,2,1e-04,"district-estimate","admin2",102714969.54699,75148.5958111822
2022,2,1e-04,"global-estimate","admin1",127713317.875324,64940.8214149745
2022,2,1e-04,"global-estimate","admin2",93451305.1713369,73544.8618721476
2022,2,1e-04,"no-estimate","admin1",243131007.116885,76006.1001131646
2022,2,1e-04,"no-estimate","admin2",138213073.222189,78006.4775880581
2022,2,2e-04,"district-estimate","admin1",77859197.215479,57149.6490025865
2022,2,2e-04,"district-estimate","admin2",68201440.5078982,69277.1686745619
2022,2,2e-04,"global-estimate","admin1",71870364.3432504,56337.03047842
2022,2,2e-04,"global-estimate","admin2",56649547.2699993,68382.697911753
2022,2,2e-04,"no-estimate","admin1",146387217.2071,67355.487176125
2022,2,2e-04,"no-estimate","admin2",101161130.383344,74706.5195903814
2022,2,0.001,"district-estimate","admin1",13358026.1512557,23430.3328325981
2022,2,0.001,"district-estimate","admin2",16054055.5154863,43956.3697232127
2022,2,0.001,"global-estimate","admin1",4410101.82721757,10623.7192190927
2022,2,0.001,"global-estimate","admin2",11829141.7871488,37069.8838850118
2022,2,0.001,"no-estimate","admin1",30921680.6804111,38389.2944237227
2022,2,0.001,"no-estimate","admin2",30666496.8268387,54991.5730376074
2022,3,1e-04,"district-estimate","admin1",145460812.923745,67308.0158957523
2022,3,1e-04,"district-estimate","admin2",102504451.242175,74588.2289745671
2022,3,1e-04,"global-estimate","admin1",125230721.075805,64489.5443078447
