"ISO","threshold","confirmation_lens","admin_level","n_runs_targeted"
"CIV",2e-04,"global-estimate","admin2",26
"CIV",1e-04,"no-estimate","admin1",200
"CIV",1e-04,"no-estimate","admin2",200
"CIV",2e-04,"no-estimate","admin1",161
"CIV",2e-04,"no-estimate","admin2",162
"CMR",1e-04,"district-estimate","admin1",200
"CMR",1e-04,"district-estimate","admin2",200
"CMR",2e-04,"district-estimate","admin1",200
"CMR",2e-04,"district-estimate","admin2",200
"CMR",0.001,"district-estimate","admin1",47
"CMR",0.001,"district-estimate","admin2",187
"CMR",1e-04,"global-estimate","admin1",200
"CMR",1e-04,"global-estimate","admin2",200
"CMR",2e-04,"global-estimate","admin1",200
"CMR",2e-04,"global-estimate","admin2",200
"CMR",0.001,"global-estimate","admin1",2
"CMR",0.001,"global-estimate","admin2",153
"CMR",1e-04,"no-estimate","admin1",200
"CMR",1e-04,"no-estimate","admin2",200
"CMR",2e-04,"no-estimate","admin1",200
"CMR",2e-04,"no-estimate","admin2",200
"CMR",0.001,"no-estimate","admin1",195
"CMR",0.001,"no-estimate","admin2",200
"COD",1e-04,"district-estimate","admin1",200
"COD",1e-04,"district-estimate","admin2",200
"COD",2e-04,"district-estimate","admin1",200
"COD",2e-04,"district-estimate","admin2",200
"COD",0.001,"district-estimate","admin1",41
"COD",0.001,"district-estimate","admin2",200
"COD",1e-04,"global-estimate","admin1",200
"COD",1e-04,"global-estimate","admin2",200
"COD",2e-04,"global-estimate","admin1",200
"COD",2e-04,"global-estimate","admin2",200
"COD",0.001,"global-estimate","admin1",6
"COD",0.001,"global-estimate","admin2",200
"COD",1e-04,"no-estimate","admin1",200
"COD",1e-04,"no-estimate","admin2",200
"COD",2e-04,"no-estimate","admin1",200
"COD",2e-04,"no-estimate","admin2",200
"COD",0.001,"no-estimate","admin1",200
"COD",0.001,"no-estimate","admin2",200
"COG",1e-04,"district-estimate","admin1",200
"COG",1e-04,"district-estimate","admin2",200
"COG",2e-04,"district-estimate","admin1",200
"COG",2e-04,"district-estimate","admin2",200
"COG",0.001,"district-estimate","admin1",17
"COG",0.001,"district-estimate","admin2",186
"COG",1e-04,"global-estimate","admin1",200
"COG",1e-04,"global-estimate","admin2",200
"COG",2e-04,"global-estimate","admin1",191
"COG",2e-04,"global-estimate","admin2",199
"COG",0.001,"global-estimate","admin2",171
"COG",1e-04,"no-estimate","admin1",200
"COG",1e-04,"no-estimate","admin2",200
"COG",2e-04,"no-estimate","admin1",200
"COG",2e-04,"no-estimate","admin2",200
"COG",0.001,"no-estimate","admin1",62
"COG",0.001,"no-estimate","admin2",200
"ETH",1e-04,"district-estimate","admin1",172
"ETH",1e-04,"district-estimate","admin2",200
"ETH",2e-04,"district-estimate","admin1",66
"ETH",2e-04,"district-estimate","admin2",200
"ETH",0.001,"district-estimate","admin2",69
"ETH",1e-04,"global-estimate","admin1",157
"ETH",1e-04,"global-estimate","admin2",200
"ETH",2e-04,"global-estimate","admin1",6
"ETH",2e-04,"global-estimate","admin2",195
"ETH",0.001,"global-estimate","admin2",52
"ETH",1e-04,"no-estimate","admin1",200
"ETH",1e-04,"no-estimate","admin2",200
"ETH",2e-04,"no-estimate","admin1",160
"ETH",2e-04,"no-estimate","admin2",200
"ETH",0.001,"no-estimate","admin2",117
"GHA",1e-04,"district-estimate","admin1",200
"GHA",1e-04,"district-estimate","admin2",200
"GHA",2e-04,"district-estimate","admin1",200
"GHA",2e-04,"district-estimate","admin2",200
"GHA",0.001,"district-estimate","admin2",200
"GHA",1e-04,"global-estimate","admin1",200
"GHA",1e-04,"global-estimate","admin2",200
"GHA",2e-04,"global-estimate","admin1",200
"GHA",2e-04,"global-estimate","admin2",200
"GHA",0.001,"global-estimate","admin2",200
"GHA",1e-04,"no-estimate","admin1",200
"GHA",1e-04,"no-estimate","admin2",200
"GHA",2e-04,"no-estimate","admin1",200
"GHA",2e-04,"no-estimate","admin2",200
"GHA",0.001,"no-estimate","admin1",186
"GHA",0.001,"no-estimate","admin2",200
"GIN",1e-04,"district-estimate","admin1",200
"GIN",1e-04,"district-estimate","admin2",200
"GIN",2e-04,"district-estimate","admin1",198
"GIN",2e-04,"district-estimate","admin2",200
"GIN",1e-04,"global-estimate","admin1",200
"GIN",1e-04,"global-estimate","admin2",200
"GIN",2e-04,"global-estimate","admin1",195
"GIN",2e-04,"global-estimate","admin2",196
"GIN",1e-04,"no-estimate","admin1",200
"GIN",1e-04,"no-estimate","admin2",200
"GIN",2e-04,"no-estimate","admin1",200
"GIN",2e-04,"no-estimate","admin2",200
"GIN",0.001,"no-estimate","admin2",23
"GNB",1e-04,"district-estimate","admin1",200
"GNB",1e-04,"district-estimate","admin2",200
"GNB",2e-04,"district-estimate","admin1",200
"GNB",2e-04,"district-estimate","admin2",200
"GNB",0.001,"district-estimate","admin1",184
"GNB",0.001,"district-estimate","admin2",200
"GNB",1e-04,"global-estimate","admin1",200
"GNB",1e-04,"global-estimate","admin2",200
"GNB",2e-04,"global-estimate","admin1",200
"GNB",2e-04,"global-estimate","admin2",200
"GNB",0.001,"global-estimate","admin1",183
"GNB",0.001,"global-estimate","admin2",200
"GNB",1e-04,"no-estimate","admin1",200
"GNB",1e-04,"no-estimate","admin2",200
"GNB",2e-04,"no-estimate","admin1",200
"GNB",2e-04,"no-estimate","admin2",200
"GNB",0.001,"no-estimate","admin1",200
"GNB",0.001,"no-estimate","admin2",200
"KEN",1e-04,"district-estimate","admin1",200
"KEN",1e-04,"district-estimate","admin2",200
"KEN",2e-04,"district-estimate","admin1",200
"KEN",2e-04,"district-estimate","admin2",200
"KEN",0.001,"district-estimate","admin1",67
"KEN",0.001,"district-estimate","admin2",200
"KEN",1e-04,"global-estimate","admin1",200
"KEN",1e-04,"global-estimate","admin2",200
"KEN",2e-04,"global-estimate","admin1",200
"KEN",2e-04,"global-estimate","admin2",200
"KEN",0.001,"global-estimate","admin1",11
"KEN",0.001,"global-estimate","admin2",200
"KEN",1e-04,"no-estimate","admin1",200
"KEN",1e-04,"no-estimate","admin2",200
"KEN",2e-04,"no-estimate","admin1",200
"KEN",2e-04,"no-estimate","admin2",200
"KEN",0.001,"no-estimate","admin1",200
"KEN",0.001,"no-estimate","admin2",200
"LBR",1e-04,"district-estimate","admin1",200
"LBR",1e-04,"district-estimate","admin2",200
"LBR",2e-04,"district-estimate","admin1",199
"LBR",2e-04,"district-estimate","admin2",200
"LBR",0.001,"district-estimate","admin1",24
"LBR",0.001,"district-estimate","admin2",153
"LBR",1e-04,"global-estimate","admin1",200
"LBR",1e-04,"global-estimate","admin2",200
"LBR",2e-04,"global-estimate","admin1",194
"LBR",2e-04,"global-estimate","admin2",199
"LBR",0.001,"global-estimate","admin1",3
"LBR",0.001,"global-estimate","admin2",109
"LBR",1e-04,"no-estimate","admin1",200
"LBR",1e-04,"no-estimate","admin2",200
"LBR",2e-04,"no-estimate","admin1",200
"LBR",2e-04,"no-estimate","admin2",200
"LBR",0.001,"no-estimate","admin1",105
"LBR",0.001,"no-estimate","admin2",197
"MDG",1e-04,"district-estimate","admin2",2
"MDG",1e-04,"no-estimate","admin2",19
"MLI",1e-04,"district-estimate","admin1",101
"MLI",1e-04,"district-estimate","admin2",200
"MLI",2e-04,"district-estimate","admin2",155
"MLI",1e-04,"global-estimate","admin1",29
"MLI",1e-04,"global-estimate","admin2",200
"MLI",2e-04,"global-estimate","admin1",6
"MLI",2e-04,"global-estimate","admin2",131
"MLI",1e-04,"no-estimate","admin1",200
"MLI",1e-04,"no-estimate","admin2",200
"MLI",2e-04,"no-estimate","admin1",81
"MLI",2e-04,"no-estimate","admin2",200
"MOZ",1e-04,"district-estimate","admin1",197
"MOZ",1e-04,"district-estimate","admin2",200
"MOZ",2e-04,"district-estimate","admin1",98
"MOZ",2e-04,"district-estimate","admin2",200
"MOZ",0.001,"district-estimate","admin2",148
"MOZ",1e-04,"global-estimate","admin1",194
"MOZ",1e-04,"global-estimate","admin2",200
"MOZ",2e-04,"global-estimate","admin1",59
"MOZ",2e-04,"global-estimate","admin2",200
"MOZ",0.001,"global-estimate","admin2",118
"MOZ",1e-04,"no-estimate","admin1",200
"MOZ",1e-04,"no-estimate","admin2",200
"MOZ",2e-04,"no-estimate","admin1",200
"MOZ",2e-04,"no-estimate","admin2",200
"MOZ",0.001,"no-estimate","admin2",200
"MRT",1e-04,"district-estimate","admin1",1
"MRT",1e-04,"district-estimate","admin2",194
"MRT",2e-04,"district-estimate","admin2",144
"MRT",1e-04,"global-estimate","admin2",197
"MRT",2e-04,"global-estimate","admin2",90
"MRT",1e-04,"no-estimate","admin1",105
"MRT",1e-04,"no-estimate","admin2",200
"MRT",2e-04,"no-estimate","admin1",1
"MRT",2e-04,"no-estimate","admin2",200
"MWI",1e-04,"district-estimate","admin1",192
"MWI",1e-04,"district-estimate","admin2",200
"MWI",2e-04,"district-estimate","admin1",10
"MWI",2e-04,"district-estimate","admin2",200
"MWI",0.001,"district-estimate","admin2",32
"MWI",1e-04,"global-estimate","admin1",155
