"ISO","confirmation_lens","admin_level","threshold","targeted_admins","mean_true_ir","mean_confirmed_ir"
"AGO","district-estimate","admin1",1e-04,"Cabinda, Cuando Cubango, Cunene, Lunda Norte, Namibe, Uíge, Huíla",0.000171171633175246,0.000171171633175246
"AGO","district-estimate","admin1",2e-04,"Cunene, Namibe, Cabinda, Cuando Cubango, Lunda Norte, Huíla",0.000181656351469658,0.000181656351469658
"AGO","district-estimate","admin1",0.001,"Cunene, Namibe",0.000294410392007359,0.000294410392007359
"AGO","district-estimate","admin2",1e-04,"Cabinda, Menongue, Samba Cajú, Cahama, Curoca, Cuvelai, Ombadja, Gambos, Lubango, Lucapa, Camacuio, Namibe, Negage, Benguela, Cuanhama, Ambaca, Uíge, Chibia, Baía Farta, Golungo Alto, Quela, Chitato, Cazengo, Soyo, Pango Aluquém, Namakunde, Caconda, Caluquembe, Bibala, Virei, Maquela do Zombo, Quitexe, Puri, Jamba, Chicomba, Humpata, Quiculungo, Songo, Longonjo, Alto Cauale, Cunda-dia-Baza, Banga, Matala, Quimbele, Bembe, Dembos, Landana",0.000154586627122582,0.000154586627122582
"AGO","district-estimate","admin2",2e-04,"Menongue, Cahama, Curoca, Cuvelai, Gambos, Lucapa, Camacuio, Namibe, Negage, Ombadja, Lubango, Samba Cajú, Cabinda, Cuanhama, Baía Farta, Uíge, Cazengo, Golungo Alto, Namakunde, Caluquembe, Bibala, Maquela do Zombo, Caconda, Humpata, Pango Aluquém, Puri, Chibia, Virei, Alto Cauale, Ambaca, Banga, Matala, Quimbele, Songo, Chicomba, Dembos, Quiculungo, Bembe",0.000185051907309894,0.000185051907309894
"AGO","district-estimate","admin2",0.001,"Curoca, Negage, Cahama, Namakunde, Cuanhama, Lucapa, Ombadja, Bibala, Caluquembe, Namibe, Matala",0.000450963401675715,0.000450963401675715
"AGO","global-estimate","admin1",1e-04,"Cabinda, Cunene, Namibe, Cuando Cubango, Lunda Norte, Uíge, Huíla",0.000171525912385818,0.000129951212662638
"AGO","global-estimate","admin1",2e-04,"Cunene, Namibe, Lunda Norte, Cabinda",0.000204785540643745,0.000153052657262403
"AGO","global-estimate","admin2",1e-04,"Cabinda, Menongue, Samba Cajú, Cahama, Cuanhama, Curoca, Cuvelai, Ombadja, Gambos, Lubango, Lucapa, Camacuio, Namibe, Negage, Ambaca, Uíge, Baía Farta, Golungo Alto, Cazengo, Pango Aluquém, Namakunde, Caconda, Caluquembe, Bibala, Virei, Maquela do Zombo, Puri, Humpata, Chibia, Landana, Chitato, Quiculungo, Longonjo, Alto Cauale, Cunda-dia-Baza, Banga, Matala, Quimbele, Songo, Bembe, Chicomba, Dembos",0.000169312795004387,0.00013014405348701
"AGO","global-estimate","admin2",2e-04,"Cahama, Cuanhama, Curoca, Cuvelai, Ombadja, Gambos, Lubango, Lucapa, Namibe, Negage, Menongue, Ambaca, Camacuio, Cabinda, Baía Farta, Uíge, Namakunde, Caluquembe, Bibala, Caconda, Humpata, Maquela do Zombo, Pango Aluquém, Puri, Virei, Chitato, Chibia, Benguela, Cazengo, Songo, Alto Cauale, Samba Cajú, Longonjo, Lucala, Cunda-dia-Baza, Quimbele, Matala, Soyo, Chicomba, Banga, Quiculungo, Bembe",0.000144191971888385,0.000109458548973946
"AGO","global-estimate","admin2",0.001,"Curoca, Namakunde, Cahama, Lucapa, Cuanhama, Namibe, Matala",0.000537408994539948,0.000426834300560975
"AGO","no-estimate","admin1",1e-04,"Cabinda, Cuando Cubango, Cunene, Huíla, Lunda Norte, Namibe, Uíge, Cuanza Norte",0.000153646431537381,0.000288494599009457
"AGO","no-estimate","admin1",2e-04,"Cabinda, Cuando Cubango, Cunene, Lunda Norte, Namibe, Uíge, Huíla",0.000171525912385818,0.000319875688635757
"AGO","no-estimate","admin1",0.001,"Cunene, Namibe",0.000294400845737367,0.000580020368255265
"AGO","no-estimate","admin2",1e-04,"Baía Farta, Benguela, Cabinda, Menongue, Ambaca, Samba Cajú, Cahama, Cuanhama, Curoca, Cuvelai, Ombadja, Gambos, Lubango, Chitato, Lucapa, Quela, Camacuio, Namibe, Negage, Soyo, Humpata, Caombo, Cazengo, Chibia, Uíge, Golungo Alto, Quilenda, Sumbe, Cambambe, Bungo, Bula Atumba, Landana, Pango Aluquém, Ebo, Namakunde, Caconda, Caluquembe, Bibala, Virei, Maquela do Zombo, Puri, Quitexe, Ganda, Buco Zau, Jamba, Kuvango, Chicomba, Quimbele, Quiculungo, Cunda-dia-Baza, Alto Cauale, Banga, Chongoroi, Bolongongo, Songo, Caiambambo, Longonjo, Lobito, Porto Amboim, Ambuila, Tombwa, Lucala, Matala, Bembe, Dembos",0.000112905068607838,0.000214751514166577
"AGO","no-estimate","admin2",2e-04,"Cabinda, Menongue, Samba Cajú, Cahama, Cuanhama, Curoca, Cuvelai, Ombadja, Gambos, Lubango, Lucapa, Camacuio, Namibe, Negage, Ambaca, Uíge, Chibia, Baía Farta, Golungo Alto, Cazengo, Pango Aluquém, Namakunde, Caconda, Caluquembe, Bibala, Virei, Maquela do Zombo, Puri, Chicomba, Humpata, Chitato, Landana, Quiculungo, Longonjo, Alto Cauale, Quela, Cunda-dia-Baza, Lucala, Banga, Matala, Quimbele, Songo, Bembe, Dembos",0.000162992299062337,0.000308980170800991
"AGO","no-estimate","admin2",0.001,"Curoca, Cuvelai, Lucapa, Negage, Camacuio, Namibe, Cahama, Cuanhama, Namakunde, Ombadja, Caluquembe, Bibala, Matala, Banga",0.000408333252596176,0.000761512239162509
"BDI","district-estimate","admin1",1e-04,"Makamba, Rutana, Bururi, Bubanza, Cibitoke",0.000106915159875999,0.000106915159875999
"BDI","district-estimate","admin1",2e-04,"Makamba",0.00017401008707913,0.00017401008707913
"BDI","district-estimate","admin2",1e-04,"Gihanga, Lake Tanganyika, Mutimbuzi, Rumonge, Mugina, Rugombo, Nyanza-Lac, Giharo, Buterere, Mpinga-Kayove, Bugarama, Bukemba",0.000192848354266385,0.000192848354266385
"BDI","district-estimate","admin2",2e-04,"Gihanga, Lake Tanganyika, Rumonge, Rugombo, Nyanza-Lac, Giharo, Mutimbuzi",0.000255587136073274,0.000255587136073274
"BDI","global-estimate","admin1",1e-04,"Bururi, Makamba",0.000133398463144307,0.000104853605927648
"BDI","global-estimate","admin1",2e-04,"Makamba",0.000206595573559586,0.000105602861896834
"BDI","global-estimate","admin2",1e-04,"Gihanga, Mutimbuzi, Lake Tanganyika, Rumonge, Rugombo, Nyanza-Lac, Giharo, Bugarama, Buterere, Mpinga-Kayove",0.000202381931102228,0.000177106586918542
"BDI","global-estimate","admin2",2e-04,"Gihanga, Mutimbuzi, Rumonge, Lake Tanganyika, Nyanza-Lac, Giharo, Rugombo, Bugarama",0.000239925674193097,0.000222378835091268
"BDI","no-estimate","admin1",1e-04,"Bubanza, Bujumbura Rural, Bururi, Cibitoke, Makamba, Rutana, Bujumbura Mairie",8.54370396324609e-05,0.000166036488565101
