"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"UGA","no-estimate","admin1",2e-04,10,11,14,4,4,6
"UGA","no-estimate","admin1",0.001,1,2,2,1,1,1
"UGA","no-estimate","admin2",1e-04,28,33,41,10,13,16
"UGA","no-estimate","admin2",2e-04,16,19,27,7,8,12
"UGA","no-estimate","admin2",0.001,2,5,7,1,2,3
"ZMB","district-estimate","admin1",1e-04,1,2,5,1,1,2
"ZMB","district-estimate","admin1",2e-04,1,2,3,1,1,1
"ZMB","district-estimate","admin2",1e-04,10,16,21,5,7,10
"ZMB","district-estimate","admin2",2e-04,2,7,11,1,3,5
"ZMB","district-estimate","admin2",0.001,1,1,3,1,1,1
"ZMB","global-estimate","admin1",1e-04,1,2,5,1,1,2
"ZMB","global-estimate","admin1",2e-04,1,2,4,1,1,2
"ZMB","global-estimate","admin2",1e-04,6,12,20,3,6,9
"ZMB","global-estimate","admin2",2e-04,1,5,9,1,2,5
"ZMB","global-estimate","admin2",0.001,1,2,3,1,1,1
"ZMB","no-estimate","admin1",1e-04,3,7,9,1,3,4
"ZMB","no-estimate","admin1",2e-04,2,2,5,1,1,2
"ZMB","no-estimate","admin2",1e-04,21,27,36,8,11,15
"ZMB","no-estimate","admin2",2e-04,11,15,21,5,7,10
"ZMB","no-estimate","admin2",0.001,1,2,3,1,1,2
"ZWE","district-estimate","admin1",1e-04,1,1,1,1,1,1
"ZWE","district-estimate","admin2",1e-04,2,3,6,1,2,3
"ZWE","district-estimate","admin2",2e-04,1,2,3,1,1,2
"ZWE","global-estimate","admin2",1e-04,2,2,4,1,1,2
"ZWE","global-estimate","admin2",2e-04,1,2,3,1,1,2
"ZWE","no-estimate","admin1",1e-04,2,2,3,1,1,2
"ZWE","no-estimate","admin2",1e-04,7,10,13,3,5,6
"ZWE","no-estimate","admin2",2e-04,2,3,5,1,1,2
