"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"CMR","no-estimate","admin2",0.001,7,10,14,3,4,6
"COD","district-estimate","admin1",1e-04,20,23,26,8,9,10
"COD","district-estimate","admin1",2e-04,11,14,18,5,7,9
"COD","district-estimate","admin1",0.001,1,2,2,1,1,1
"COD","district-estimate","admin2",1e-04,114,124,136,45,50,55
"COD","district-estimate","admin2",2e-04,67,78,90,28,33,38
"COD","district-estimate","admin2",0.001,10,19,28,5,8,12
"COD","global-estimate","admin1",1e-04,19,21,23,8,9,9
"COD","global-estimate","admin1",2e-04,5,10,14,3,5,7
"COD","global-estimate","admin1",0.001,1,1,1,1,1,1
"COD","global-estimate","admin2",1e-04,91,109,126,38,44,51
"COD","global-estimate","admin2",2e-04,44,62,76,18,25,32
"COD","global-estimate","admin2",0.001,8,16,24,4,7,11
"COD","no-estimate","admin1",1e-04,26,30,32,9,11,12
"COD","no-estimate","admin1",2e-04,21,23,24,8,9,10
"COD","no-estimate","admin1",0.001,2,3,5,1,2,3
"COD","no-estimate","admin2",1e-04,164,171,180,61,64,69
"COD","no-estimate","admin2",2e-04,116,125,135,45,50,56
"COD","no-estimate","admin2",0.001,29,35,47,12,14,19
"COG","district-estimate","admin1",1e-04,7,8,9,3,3,3
"COG","district-estimate","admin1",2e-04,3,6,8,2,3,3
"COG","district-estimate","admin1",0.001,1,1,2,1,1,1
"COG","district-estimate","admin2",1e-04,9,12,15,4,4,5
"COG","district-estimate","admin2",2e-04,5,9,13,2,4,5
"COG","district-estimate","admin2",0.001,1,2,4,1,1,2
"COG","global-estimate","admin1",1e-04,7,8,8,3,3,3
"COG","global-estimate","admin1",2e-04,2,5,7,1,2,3
"COG","global-estimate","admin2",1e-04,9,11,15,4,4,5
"COG","global-estimate","admin2",2e-04,3,7,12,1,3,5
"COG","global-estimate","admin2",0.001,1,2,3,1,1,1
"COG","no-estimate","admin1",1e-04,9,9,9,3,3,3
"COG","no-estimate","admin1",2e-04,7,8,8,3,3,3
"COG","no-estimate","admin1",0.001,1,2,2,1,1,1
"COG","no-estimate","admin2",1e-04,12,14,15,4,5,5
"COG","no-estimate","admin2",2e-04,11,12,15,4,4,5
"COG","no-estimate","admin2",0.001,2,3,6,1,1,3
"ETH","district-estimate","admin1",1e-04,1,2,3,1,1,1
"ETH","district-estimate","admin1",2e-04,1,2,2,1,1,1
"ETH","district-estimate","admin2",1e-04,7,13,18,3,6,8
"ETH","district-estimate","admin2",2e-04,3,7,10,1,3,5
"ETH","district-estimate","admin2",0.001,1,2,2,1,1,1
"ETH","global-estimate","admin1",1e-04,1,2,2,1,1,1
"ETH","global-estimate","admin1",2e-04,1,1,2,1,1,1
"ETH","global-estimate","admin2",1e-04,6,11,15,3,4,7
"ETH","global-estimate","admin2",2e-04,2,5,9,1,2,4
"ETH","global-estimate","admin2",0.001,1,1,2,1,1,1
"ETH","no-estimate","admin1",1e-04,3,5,7,1,2,3
