"ISO","confirmation_lens","threshold","admin_level","prop_vaxed_in_highIR_median","prop_vaxed_in_highIR_lb","prop_vaxed_in_highIR_ub"
"AGO","district-estimate",1e-04,"admin1",1,0.817125904495237,1
"AGO","district-estimate",1e-04,"admin2",1,0.952551282765096,1
"AGO","district-estimate",2e-04,"admin1",1,0.971608458955124,1
"AGO","district-estimate",2e-04,"admin2",1,0.85758576801676,1
"AGO","district-estimate",0.001,"admin1",1,1,1
"AGO","district-estimate",0.001,"admin2",1,0.881442581851895,1
"AGO","global-estimate",1e-04,"admin1",1,0.566721414550564,1
"AGO","global-estimate",1e-04,"admin2",0.997005102013887,0.782432655274605,1
"AGO","global-estimate",2e-04,"admin1",1,0.465949080286361,1
"AGO","global-estimate",2e-04,"admin2",1,0.618505376931224,1
"AGO","global-estimate",0.001,"admin2",1,0.418939604805693,1
"AGO","no-estimate",1e-04,"admin1",0.429025237737735,0.141366748092262,0.802235594929033
"AGO","no-estimate",1e-04,"admin2",0.399110566478034,0.191948149970394,0.858324455258476
"AGO","no-estimate",2e-04,"admin1",0.756805284061375,0.288616789743514,0.943887932083287
"AGO","no-estimate",2e-04,"admin2",0.565879107643557,0.259879071740003,0.947541379572571
"AGO","no-estimate",0.001,"admin1",0,0,0
"AGO","no-estimate",0.001,"admin2",0.300736770787497,0.0746674248221889,0.845644785229746
"BDI","district-estimate",1e-04,"admin1",1,0.778737692260681,1
"BDI","district-estimate",1e-04,"admin2",0.979815012487955,0.907691532691046,1
"BDI","district-estimate",2e-04,"admin1",1,1,1
"BDI","district-estimate",2e-04,"admin2",0.966824665248772,0.806465795996194,1
"BDI","global-estimate",1e-04,"admin1",1,1,1
"BDI","global-estimate",1e-04,"admin2",0.976700877444702,0.436290261182522,1
"BDI","global-estimate",2e-04,"admin2",0.982002912837324,0.687307600500642,1
"BDI","no-estimate",1e-04,"admin1",0.204499778324935,0.0672870849367543,0.478631513540688
"BDI","no-estimate",1e-04,"admin2",0.203103813833221,0.145940816261974,0.592045585758527
"BDI","no-estimate",2e-04,"admin1",0,0,0
"BDI","no-estimate",2e-04,"admin2",0.54786888661859,0.222868911551735,0.657418618732778
"BEN","district-estimate",1e-04,"admin2",1,0.82135569211654,1
"BEN","district-estimate",2e-04,"admin2",1,1,1
"BEN","global-estimate",1e-04,"admin2",1,0.595521044325246,1
"BEN","global-estimate",2e-04,"admin2",1,0.473732233400243,1
"BEN","no-estimate",1e-04,"admin1",0,0,0
"BEN","no-estimate",1e-04,"admin2",0.103409347156478,0.0431512861382115,0.31249707245026
"BEN","no-estimate",2e-04,"admin2",0.412681274967101,0.328843132665157,0.496519417269045
"BEN","no-estimate",0.001,"admin2",0,0,0
"BFA","district-estimate",1e-04,"admin2",1,1,1
"BFA","no-estimate",1e-04,"admin2",0,0,0
"CAF","district-estimate",1e-04,"admin1",1,1,1
"CAF","district-estimate",1e-04,"admin2",1,1,1
"CAF","district-estimate",2e-04,"admin1",1,1,1
"CAF","district-estimate",2e-04,"admin2",1,1,1
"CAF","district-estimate",0.001,"admin2",1,1,1
"CAF","global-estimate",1e-04,"admin1",1,1,1
"CAF","global-estimate",1e-04,"admin2",1,1,1
"CAF","global-estimate",2e-04,"admin1",0,0,0
"CAF","global-estimate",2e-04,"admin2",1,1,1
"CAF","global-estimate",0.001,"admin2",1,1,1
"CAF","no-estimate",1e-04,"admin1",0,0,0
"CAF","no-estimate",1e-04,"admin2",0.829049250596732,0.829049250596732,0.829049250596732
"CAF","no-estimate",2e-04,"admin1",1,1,1
"CAF","no-estimate",2e-04,"admin2",0.720591279559439,0.65453525137013,1
"CAF","no-estimate",0.001,"admin2",1,1,1
"CIV","district-estimate",1e-04,"admin1",1,1,1
"CIV","district-estimate",1e-04,"admin2",1,0.736623211257369,1
"CIV","district-estimate",2e-04,"admin1",1,1,1
"CIV","district-estimate",2e-04,"admin2",1,1,1
"CIV","global-estimate",1e-04,"admin1",1,1,1
"CIV","global-estimate",1e-04,"admin2",1,0.611378348828557,1
"CIV","global-estimate",2e-04,"admin1",1,1,1
"CIV","global-estimate",2e-04,"admin2",1,1,1
"CIV","no-estimate",1e-04,"admin1",0.454003588080682,0.314027367001507,0.664384948524626
"CIV","no-estimate",1e-04,"admin2",0.662354920889446,0.228106048670386,1
"CIV","no-estimate",2e-04,"admin1",0,0,0
"CIV","no-estimate",2e-04,"admin2",0.591820874321672,0.591820874321672,0.591820874321672
"CMR","district-estimate",1e-04,"admin1",1,0.916140751373023,1
"CMR","district-estimate",1e-04,"admin2",1,0.892306347410024,1
"CMR","district-estimate",2e-04,"admin1",1,0.816256990512101,1
"CMR","district-estimate",2e-04,"admin2",1,0.939789883374036,1
"CMR","district-estimate",0.001,"admin1",1,1,1
"CMR","district-estimate",0.001,"admin2",1,0.709998788027337,1
"CMR","global-estimate",1e-04,"admin1",1,0.888553988550623,1
"CMR","global-estimate",1e-04,"admin2",0.98070730277787,0.471359224579314,1
"CMR","global-estimate",2e-04,"admin1",1,0.273625922830976,1
"CMR","global-estimate",2e-04,"admin2",0.976308443781363,0.477866931598588,1
