"ISO","threshold","confirmation_lens","admin_level","NAME","mean_observed_ir","mean_clinical_ir","eff"
"AGO",1e-04,"district-estimate","admin1","Cabinda",0.000158476972748411,0.000292924547426828,0.719031516981085
"AGO",1e-04,"district-estimate","admin1","Cuando Cubango",2.53998132190235e-05,5.04033155746209e-05,0.476618128921303
"AGO",1e-04,"district-estimate","admin1","Cunene",0.000617538456276486,0.00117586394382826,2.35572408712682
"AGO",1e-04,"district-estimate","admin1","Huíla",9.58847312306037e-05,0.000183544723988984,0.680805138748331
"AGO",1e-04,"district-estimate","admin1","Lunda Norte",0.000125665202565731,0.000239766860442688,0.524286113785889
"AGO",1e-04,"district-estimate","admin1","Namibe",0.00021586517215228,0.000415775281048578,1.10869841454674
"AGO",1e-04,"district-estimate","admin1","Uíge",3.80730460911055e-05,7.12926521410495e-05,0.428969989930101
"AGO",2e-04,"district-estimate","admin1","Cabinda",0.000158476972748411,0.000292924547426828,0.916212847855762
"AGO",2e-04,"district-estimate","admin1","Cuando Cubango",2.53998132190235e-05,5.04033155746209e-05,0.730089020594259
"AGO",2e-04,"district-estimate","admin1","Cunene",0.000617538456276486,0.00117586394382826,2.35838251691963
"AGO",2e-04,"district-estimate","admin1","Huíla",9.58847312306037e-05,0.000183544723988984,0.822833808952072
"AGO",2e-04,"district-estimate","admin1","Lunda Norte",0.000125665202565731,0.000239766860442688,1.0030835219901
"AGO",2e-04,"district-estimate","admin1","Namibe",0.00021586517215228,0.000415775281048578,1.40478577143276
"AGO",0.001,"district-estimate","admin1","Cunene",0.000617538456276486,0.00117586394382826,3.65298308736926
"AGO",0.001,"district-estimate","admin1","Namibe",0.00021586517215228,0.000415775281048578,3.80898435577508
"AGO",1e-04,"district-estimate","admin2","Alto Cauale",2.64397143007897e-05,4.65805475290915e-05,0.621114294710856
"AGO",1e-04,"district-estimate","admin2","Ambaca",3.16925161612266e-05,6.23060316173052e-05,0.53253589138254
"AGO",1e-04,"district-estimate","admin2","Banga",1.86844696190886e-05,3.74144315128499e-05,1.26607718190615
"AGO",1e-04,"district-estimate","admin2","Baía Farta",3.25452336862443e-05,6.4364528069576e-05,0.69268688865245
"AGO",1e-04,"district-estimate","admin2","Bembe",1.42494081813055e-05,2.62434407655758e-05,0.613944537861371
"AGO",1e-04,"district-estimate","admin2","Benguela",5.27464117996957e-05,0.000103194340896889,0.414843865456774
"AGO",1e-04,"district-estimate","admin2","Bibala",0.000285059399177613,0.000564842677163782,2.11437155043942
"AGO",1e-04,"district-estimate","admin2","Cabinda",0.000183519629091708,0.000335052948238138,0.807423125043374
"AGO",1e-04,"district-estimate","admin2","Caconda",0.000139959850311066,0.000274598357864343,0.849604943529631
"AGO",1e-04,"district-estimate","admin2","Cahama",0.00106844547920457,0.0020090155770081,4.46402468119823
"AGO",1e-04,"district-estimate","admin2","Caluquembe",0.000187898141071197,0.000341745642559189,2.56281718905427
"AGO",1e-04,"district-estimate","admin2","Camacuio",4.10591996135155e-05,9.09111648983218e-05,1.21876192128958
"AGO",1e-04,"district-estimate","admin2","Cazengo",0.000101103452295497,0.000193053450728599,0.656285606171046
"AGO",1e-04,"district-estimate","admin2","Chibia",1.09148561442864e-05,2.13845638912727e-05,0.425476302399069
"AGO",1e-04,"district-estimate","admin2","Chicomba",1.68311308451896e-05,3.28303467508848e-05,0.622151885855576
"AGO",1e-04,"district-estimate","admin2","Chitato",4.07037465245198e-05,7.88454501790222e-05,0.446226172132096
"AGO",1e-04,"district-estimate","admin2","Cuanhama",0.00039991628444073,0.000765053539379012,2.1631683580055
"AGO",1e-04,"district-estimate","admin2","Cunda-dia-Baza",1.72694877282816e-05,3.50174108661875e-05,0.326414551273267
"AGO",1e-04,"district-estimate","admin2","Curoca",0.00052526346263761,0.000999493569234351,8.98468407674121
"AGO",1e-04,"district-estimate","admin2","Cuvelai",0.000133808683405305,0.000237040549522495,2.52049778250549
"AGO",1e-04,"district-estimate","admin2","Dembos",3.91705209694283e-06,7.30952065444635e-06,0.772038219124779
"AGO",1e-04,"district-estimate","admin2","Gambos",6.52425422514556e-05,0.000128374067199601,1.08981423055183
"AGO",1e-04,"district-estimate","admin2","Golungo Alto",2.74795613674059e-05,5.2047705854957e-05,0.384568783443026
"AGO",1e-04,"district-estimate","admin2","Humpata",3.27397553416074e-05,6.14100936053484e-05,0.512287939590267
"AGO",1e-04,"district-estimate","admin2","Jamba",3.02318433299486e-06,5.35361606696337e-06,0.401703719250756
"AGO",1e-04,"district-estimate","admin2","Landana",9.02958343103799e-06,1.80534650045505e-05,0.507353761239804
"AGO",1e-04,"district-estimate","admin2","Longonjo",2.92471233339918e-05,5.72470030188885e-05,0.769259402664164
"AGO",1e-04,"district-estimate","admin2","Lubango",6.02591327476499e-05,0.000113700082136044,0.820657322097567
"AGO",1e-04,"district-estimate","admin2","Lucapa",0.00063148581497734,0.00119880750807046,2.24768547596552
"AGO",1e-04,"district-estimate","admin2","Maquela do Zombo",2.9151247468862e-05,5.77142163003341e-05,0.579996130907156
"AGO",1e-04,"district-estimate","admin2","Matala",0.000441478657077045,0.00085820646962364,6.59707320672589
"AGO",1e-04,"district-estimate","admin2","Menongue",4.27067440675967e-05,8.4829642952537e-05,0.829781959363946
"AGO",1e-04,"district-estimate","admin2","Namakunde",0.00146754308148733,0.00278762699001162,8.83321553978983
"AGO",1e-04,"district-estimate","admin2","Namibe",0.000297605125913072,0.000560196131066916,2.5283894121749
"AGO",1e-04,"district-estimate","admin2","Negage",0.000151618541668649,0.000286577268997127,2.01983894298674
