"confirmation_lens","threshold","admin_level","true_ac_lb","true_ac_median","true_ac_ub","prop_ac_lb","prop_ac_median","prop_ac_ub"
"district-estimate",1e-04,"admin1",556584.651263429,627173.997549339,700847.09531749,0.35470169011198,0.368772134083621,0.379818013591934
"district-estimate",1e-04,"admin2",640614.768409895,707056.825148582,796862.671999987,0.410143151671841,0.417735358115494,0.428589999345481
"district-estimate",2e-04,"admin1",427220.945653614,497278.954502166,571425.46082049,0.273213042751512,0.292014669031392,0.309969900369864
"district-estimate",2e-04,"admin2",554684.092845297,618661.298720564,705301.29036757,0.354399517368598,0.364758548012868,0.381341803289456
"district-estimate",0.001,"admin1",81472.1797380449,126101.354790158,194826.248205353,0.0509244810089036,0.0758526782719965,0.107597677929475
"district-estimate",0.001,"admin2",261153.957112327,326336.035114111,414562.922740034,0.167106104262828,0.191846603502575,0.223350587203236
"global-estimate",1e-04,"admin1",524859.424791931,591068.781712925,670233.558895815,0.331520093211075,0.347200577830596,0.361050131788126
"global-estimate",1e-04,"admin2",607722.881270746,679773.374568566,773308.419354504,0.387340993133138,0.400497656517664,0.416093942046199
"global-estimate",2e-04,"admin1",333798.982529171,510323.331558421,689218.759840721,0.212101683932921,0.296477214895851,0.373832090781619
"global-estimate",2e-04,"admin2",489897.938027832,652775.415616657,818544.465397888,0.312718469929597,0.3852932454168,0.444039859796628
"global-estimate",0.001,"admin1",58086.7890719071,101477.138468914,148301.150251686,0.0340330536226138,0.0604300542731307,0.0854635834672737
"global-estimate",0.001,"admin2",219133.148086884,277534.628212785,353949.059466883,0.139128691382583,0.164294614042138,0.193573967431316
"no-estimate",1e-04,"admin1",652451.942926731,718453.777487325,794322.692449135,0.416834993835457,0.423670425470259,0.429035987427617
"no-estimate",1e-04,"admin2",691190.982294743,757100.732994711,841903.644118881,0.442799706531188,0.446508381422429,0.452807399163744
"no-estimate",2e-04,"admin1",553480.526558565,617420.501358957,690390.427557687,0.351791411858,0.364013591390053,0.374867143923525
"no-estimate",2e-04,"admin2",639768.273638471,702106.262205252,793379.860633438,0.407593895785259,0.414547264768786,0.42677184943544
"no-estimate",0.001,"admin1",220859.028097114,267621.942184327,308775.086341325,0.135888785280416,0.158718322160693,0.175725045759015
"no-estimate",0.001,"admin2",378268.850717204,446445.783640486,525168.133390827,0.243752899816719,0.264619759164316,0.285343011943764
