"confirmation_lens","admin_level","threshold","py_vaxed_lb","py_vaxed_median","py_vaxed_ub","prop_py_vaxed_lb","prop_py_vaxed_median","prop_py_vaxed_ub","ISO"
"district-estimate","admin2",1e-04,281656.116962779,936842.963182335,1435827.72816369,0.0677497992298054,0.12544667696394,0.256769558355756,"CIV"
"district-estimate","admin2",2e-04,281656.116962779,281656.116962779,799262.098543304,0.0677497992298054,0.0677498016369281,0.321786394511038,"CIV"
"global-estimate","admin1",1e-04,281656.116962779,600822.646050641,616689.727930492,0.0505180586075724,0.121811580429189,0.307650064855964,"CIV"
"global-estimate","admin1",2e-04,616689.727930492,616689.727930492,616689.727930492,0.208396213329406,0.208396213329406,0.208396213329406,"CIV"
"global-estimate","admin2",1e-04,281656.116962779,616689.727930492,1446687.44389108,0.0188513543772908,0.116635414836377,0.196185522387821,"CIV"
"global-estimate","admin2",2e-04,281656.116962779,608697.872793538,616689.727930492,0.0376782929479798,0.124016589944697,0.533222859830079,"CIV"
"no-estimate","admin1",1e-04,281656.116962779,577961.787593582,905003.543424341,0.0769295399664165,0.187472735444185,0.441196427756139,"CIV"
"no-estimate","admin1",2e-04,281656.116962779,281656.116962779,608107.230787821,0.0677498016369281,0.106972435835901,0.631353621889947,"CIV"
"no-estimate","admin2",1e-04,281656.116962779,905003.543424341,2134571.84095147,0.0893248705830271,0.20312394651476,0.406980734434764,"CIV"
"no-estimate","admin2",2e-04,281656.116962779,281656.116962779,836089.120845246,0.0677498016369281,0.106972435835901,0.658663198567158,"CIV"
"district-estimate","admin1",1e-04,25914584.7821973,32828474.533179,40841118.0452051,0.129774022570469,0.163736910418237,0.20442554067024,"CMR"
"district-estimate","admin1",2e-04,14151510.2744335,17770612.2377441,25120042.3794442,0.119737752905507,0.156030609606674,0.194433661768393,"CMR"
"district-estimate","admin1",0.001,2043595.89670543,2043595.89670543,4474683.62319303,0.0679018750049412,0.14865523649945,0.321964765979771,"CMR"
"district-estimate","admin2",1e-04,19367968.9388935,25243858.82067,29908441.1660046,0.134626247179208,0.156389116786528,0.183166990868542,"CMR"
"district-estimate","admin2",2e-04,11690316.4708277,13940238.7844699,17259492.046629,0.133542048936434,0.158216133000768,0.185276501855563,"CMR"
"district-estimate","admin2",0.001,516027.473165408,2696479.21554114,4452317.70971776,0.0665883099690372,0.129637429462421,0.320484559583232,"CMR"
"global-estimate","admin1",1e-04,20151642.5005271,28324473.8097317,37673735.7128434,0.0687182438993108,0.11625381628294,0.180539303851858,"CMR"
"global-estimate","admin1",2e-04,5603817.08389814,13942882.140384,18937300.6956761,0.0397309449142789,0.105690933138418,0.173819859026366,"CMR"
"global-estimate","admin1",0.001,2043595.89670543,2043595.89670543,2043595.89670543,0.0505911048537456,0.0505911048537456,0.0505911048537456,"CMR"
"global-estimate","admin2",1e-04,15503430.672236,20967944.8616516,24758141.0407465,0.0821987590850647,0.10978934300947,0.16021530944725,"CMR"
"global-estimate","admin2",2e-04,5381809.70808649,10458213.2493332,13698218.4139948,0.0542411478167252,0.112291809252679,0.163182927667042,"CMR"
"global-estimate","admin2",0.001,430325.004927565,2293676.26235929,4323314.65936679,0.0134436184903068,0.0724477874520087,0.1288256516806,"CMR"
"no-estimate","admin1",1e-04,23934334.4571708,32689573.7423995,40607507.9045135,0.143655943778866,0.177349823852592,0.213353707782138,"CMR"
"no-estimate","admin1",2e-04,13582088.4460929,18348569.3487029,25692347.6260891,0.155816272295979,0.192706326260743,0.233565825204773,"CMR"
"no-estimate","admin1",0.001,2043595.89670543,2043595.89670543,2043595.89670543,0.0679018750049412,0.0895689747063641,0.658581675226327,"CMR"
"no-estimate","admin2",1e-04,18426696.6815132,24589890.0579394,29043147.442089,0.149931553814276,0.172566393024864,0.198177572805551,"CMR"
"no-estimate","admin2",2e-04,10964074.0761967,13420149.4655275,18157066.2572012,0.162530720854867,0.183566061244843,0.227765827778446,"CMR"
"no-estimate","admin2",0.001,516027.473165408,2529147.00552458,5902973.79556745,0.0724023099066154,0.209699649907495,0.562923759528197,"CMR"
"district-estimate","admin1",1e-04,74740505.0275744,84905485.4785808,95657471.1059489,0.135776382789109,0.161371363996311,0.18009420838085,"COD"
"district-estimate","admin1",2e-04,40170863.1925444,54232200.8235196,68654228.8664166,0.108918377194822,0.144738224669508,0.185621068548618,"COD"
"district-estimate","admin1",0.001,3032246.0503303,6655811.18230695,7261547.72181988,0.0650120774004239,0.144818880544234,0.319206974418533,"COD"
"district-estimate","admin2",1e-04,42193562.0310674,46186035.541142,51581513.2359946,0.140553842762339,0.153801046217683,0.167273727364032,"COD"
"district-estimate","admin2",2e-04,25421411.7685382,29176409.9955396,32929780.2056544,0.132054173141106,0.150488469918297,0.168587544372544,"COD"
"district-estimate","admin2",0.001,3613622.55950008,6154178.35496107,8749593.22684026,0.101617982402288,0.146586058654899,0.200287249389608,"COD"
"global-estimate","admin1",1e-04,69298942.3949199,79023302.0996677,86244747.031763,0.115565432144521,0.140038615546078,0.164529875907875,"COD"
"global-estimate","admin1",2e-04,12012661.5003963,35239395.8859023,49381041.5771626,0.0297881101924629,0.0778269266345764,0.153588152204285,"COD"
"global-estimate","admin1",0.001,3032246.0503303,3032246.0503303,3032246.0503303,0.0486929532197016,0.0529997411985541,0.0641742243401859,"COD"
"global-estimate","admin2",1e-04,34303128.3392344,40004305.279629,45385118.0941096,0.0933817175762402,0.120064700462916,0.145381150597434,"COD"
"global-estimate","admin2",2e-04,14217872.5884882,21761509.9015067,27925307.3644745,0.0720365357841881,0.105620328986966,0.137350970671087,"COD"
"global-estimate","admin2",0.001,2322313.87463887,4972404.55544771,7102816.65329321,0.0452411238676474,0.0932616609783293,0.154192384361055,"COD"
"no-estimate","admin1",1e-04,75402025.2172814,85129927.8869199,96452113.8364115,0.167143868217631,0.181773813766142,0.190288128549117,"COD"
"no-estimate","admin1",2e-04,36162699.0385626,49388190.9064979,65328147.7313599,0.132807970240809,0.168957276425752,0.212578764530073,"COD"
"no-estimate","admin1",0.001,3032246.0503303,3032246.0503303,8650403.18718119,0.0650120774004239,0.102378314923849,0.656129902749105,"COD"
"no-estimate","admin2",1e-04,41506939.3582032,45507238.0464301,50459182.8626044,0.158209279969409,0.167268528391584,0.176305288880949,"COD"
"no-estimate","admin2",2e-04,24292682.1082654,28313775.7615831,33575844.9336277,0.156323918137745,0.173619402477757,0.190571002974502,"COD"
"no-estimate","admin2",0.001,3319063.96175128,6274827.42839967,8634264.77438417,0.143616459604305,0.179982664582037,0.222060532123265,"COD"
"district-estimate","admin1",1e-04,3080683.95552232,4278993.01883771,4740418.5717252,0.119507902383839,0.174924170063657,0.200251932568277,"COG"
"district-estimate","admin1",2e-04,538250.936211674,3066528.0640445,4318184.56315334,0.0712530217037508,0.152953589890552,0.22393583896239,"COG"
"district-estimate","admin1",0.001,1047759.75930902,1047759.75930902,2303108.11207148,0.0674194420535105,0.0674194420535105,0.321713732055804,"COG"
"district-estimate","admin2",1e-04,1629693.64656968,2819456.65144115,4446986.40821958,0.12169391244372,0.177470371593602,0.189842306244301,"COG"
"district-estimate","admin2",2e-04,659854.333495671,1930656.8891843,4090805.25043514,0.0935405144430896,0.15229689358816,0.214994472495786,"COG"
"district-estimate","admin2",0.001,150335.772687314,324441.07027204,993444.628971792,0.0665906496256897,0.124753626063095,0.320685365035638,"COG"
"global-estimate","admin1",1e-04,2808954.10477583,4277513.009344,4337512.31777849,0.106353998890957,0.161321047005466,0.182097720111547,"COG"
"global-estimate","admin1",2e-04,86752.9585069509,2333580.73311166,3894458.56929992,0.00309361562217744,0.105656120374837,0.235327117068623,"COG"
"global-estimate","admin2",1e-04,1568628.04815659,2386295.32007538,4446986.40821958,0.103633422664113,0.149684208762923,0.193164942376761,"COG"
"global-estimate","admin2",2e-04,486369.699512098,1399999.82818602,3544019.52199543,0.0364074763389073,0.121637518807263,0.188232327382387,"COG"
"global-estimate","admin2",0.001,150335.772687314,324441.07027204,490589.372674927,0.0323406082161648,0.124753626063095,0.233328480233595,"COG"
"no-estimate","admin1",1e-04,3080683.95552232,4277513.009344,4690963.60046609,0.147048255789752,0.185756642314378,0.198522920924546,"COG"
"no-estimate","admin1",2e-04,474199.511287458,2635083.90241429,3861721.20784263,0.07964026836998,0.166373166199428,0.24785902466604,"COG"
"no-estimate","admin1",0.001,1047759.75930902,1047759.75930902,1047759.75930902,0.0889182440479264,0.106507404228342,0.106507404228342,"COG"
"no-estimate","admin2",1e-04,1629693.64656968,2819456.65144115,4431309.56177648,0.157169994527627,0.181052009361653,0.194962723572277,"COG"
"no-estimate","admin2",2e-04,661274.202493918,1982055.67212021,4378014.63929298,0.140656377418647,0.201234869282258,0.260105966185681,"COG"
"no-estimate","admin2",0.001,150335.772687314,312264.401927372,1579723.24592529,0.0665906496256897,0.186610168182331,0.383764620685435,"COG"
"district-estimate","admin1",1e-04,4555529.43316352,9344328.79317743,14717866.1905533,0.0688852446175673,0.127344179959797,0.323262688985697,"ETH"
"district-estimate","admin1",2e-04,4555529.43316352,9518895.35325957,9929066.83053936,0.0688852446175673,0.138736213689574,0.323262688985697,"ETH"
"district-estimate","admin2",1e-04,6726801.99206868,15223969.0099167,22421374.3909543,0.106819310824822,0.164120475469904,0.203539858832887,"ETH"
"district-estimate","admin2",2e-04,2567754.24973183,7841689.60696222,13854398.03534,0.0955887616809414,0.149689888839854,0.234229886027239,"ETH"
"district-estimate","admin2",0.001,57720.2812681279,183411.874555302,1760480.94503304,0.0479204985145939,0.094240275041306,0.323269719012459,"ETH"
"global-estimate","admin1",1e-04,4555529.43316352,9344328.79317743,9929066.83053936,0.0505653374588953,0.127344179959797,0.342398156927557,"ETH"
"global-estimate","admin1",2e-04,4818308.12049749,9811103.179843,9811103.179843,0.0607700878198467,0.153192949211239,0.302716216905343,"ETH"
"global-estimate","admin2",1e-04,3243906.94456691,13123726.7221119,20531039.214919,0.0406045800709431,0.119152418524432,0.184568211810193,"ETH"
"global-estimate","admin2",2e-04,429338.273353125,4503709.66668748,11449913.9665719,0.0205987032554199,0.112719507554772,0.200890621162697,"ETH"
"global-estimate","admin2",0.001,57720.2812681279,122776.429111894,1760480.94503304,0.0473834357813768,0.0559104812680724,0.130372913185036,"ETH"
"no-estimate","admin1",1e-04,4555529.43316352,9344328.79317743,14599902.5398569,0.0909599553388311,0.190534630008897,0.286727475818073,"ETH"
"no-estimate","admin1",2e-04,4555529.43316352,4555529.43316352,11315168.9481822,0.0688852446175673,0.0909599553388311,0.165061359976902,"ETH"
"no-estimate","admin2",1e-04,6614039.14939154,14779082.2562415,21752343.3533585,0.143339989836485,0.185971046731774,0.241236735564855,"ETH"
"no-estimate","admin2",2e-04,2567754.24973183,6681513.20828845,17702639.0286476,0.10758550461066,0.186095810625609,0.316138461608829,"ETH"
"no-estimate","admin2",0.001,57720.2812681279,183411.874555302,2594886.22886233,0.0479204985145939,0.0913059683607815,0.487604694040635,"ETH"
"district-estimate","admin1",1e-04,23682767.8298939,29846945.7219995,32591879.7493807,0.1348741098692,0.166404691362662,0.19798011284003,"GHA"
"district-estimate","admin1",2e-04,10209481.7705207,15718854.8133424,19888990.2172275,0.109362288252345,0.168098549142972,0.20882168872842,"GHA"
"district-estimate","admin2",1e-04,18875665.5884807,20824258.2484019,22597532.9646908,0.151767311237337,0.163719140603799,0.175762454379764,"GHA"
"district-estimate","admin2",2e-04,10162350.2238622,13566957.8114636,15832261.5114797,0.121456539893664,0.158359615173813,0.186983874164876,"GHA"
"district-estimate","admin2",0.001,779661.136927261,1389226.55060196,2321132.67813278,0.10097326553908,0.15967586441286,0.229077955490177,"GHA"
"global-estimate","admin1",1e-04,19813555.989421,24287162.0636762,32309608.6454172,0.0801142992396253,0.124392113012466,0.175491290104244,"GHA"
"global-estimate","admin1",2e-04,6404188.89623024,10209481.7705207,14125052.1394044,0.0568493955142093,0.104326349718768,0.18015050837763,"GHA"
"global-estimate","admin2",1e-04,16401224.533087,18167259.4054668,20318401.0655937,0.117841037398439,0.131282182613524,0.14815687023229,"GHA"
"global-estimate","admin2",2e-04,4512344.59254852,9214099.79049068,13120645.1220583,0.0465963463836147,0.0999951032850055,0.143497750497601,"GHA"
"global-estimate","admin2",0.001,603418.319225199,885908.336186585,1010338.20522442,0.0322121794162553,0.0641698249454355,0.1458361028072,"GHA"
"no-estimate","admin1",1e-04,23682676.4860899,28062852.1847135,32445401.9694834,0.150906078325483,0.18650954301012,0.214916298587558,"GHA"
"no-estimate","admin1",2e-04,10209481.7705207,15647174.2998707,17738677.6239744,0.145337729297155,0.174931266496961,0.206279047994792,"GHA"
"no-estimate","admin2",1e-04,18242038.5541656,20442930.9111069,21939254.7025011,0.173875564144075,0.181755726196704,0.190981198967343,"GHA"
"no-estimate","admin2",2e-04,9710127.92725211,13171617.6791117,15723018.084477,0.149376942035295,0.17649480349941,0.199692773793934,"GHA"
"no-estimate","admin2",0.001,702382.536822168,1168053.58008134,1734281.88639913,0.110411518527278,0.163271867359228,0.22938304468673,"GHA"
"district-estimate","admin1",1e-04,4166890.65846402,7770121.60543278,10913579.95225,0.114547200999852,0.153422267999106,0.20962074634167,"GIN"
"district-estimate","admin1",2e-04,2528757.05434851,4578310.70194941,7511850.58216299,0.0670373201802265,0.139486597370311,0.321108285695562,"GIN"
"district-estimate","admin2",1e-04,5645065.71303334,7231611.93821905,7833512.49410819,0.1412076732022,0.177346051361732,0.194204647493881,"GIN"
"district-estimate","admin2",2e-04,2600667.76767978,5027445.24737489,6754306.08417378,0.0975943322054147,0.143884074965139,0.231886554764806,"GIN"
"global-estimate","admin1",1e-04,4054508.10502323,7213352.33179697,9106046.39758769,0.0673139144734165,0.136541858511241,0.190502863456672,"GIN"
"global-estimate","admin1",2e-04,1279545.9977534,2630044.43731568,5928809.14151169,0.024605990565036,0.101813659447952,0.153219837373953,"GIN"
"global-estimate","admin2",1e-04,4319459.83730728,6872504.2477851,7796401.31214324,0.0934191366490469,0.166032796634872,0.184655964036419,"GIN"
"global-estimate","admin2",2e-04,318171.105346254,3550504.35132272,6275079.49826877,0.0185597684265505,0.109881498642495,0.184868301221681,"GIN"
"no-estimate","admin1",1e-04,4146955.11785298,8078106.26619832,9814860.25447373,0.147486207358979,0.182594878391612,0.206517657309724,"GIN"
"no-estimate","admin1",2e-04,1279545.9977534,4146955.11785298,7435481.57044262,0.0871859375833468,0.15968060695156,0.279808657285374,"GIN"
"no-estimate","admin2",1e-04,5397863.28149936,7186890.11856982,7847410.54257022,0.161069089412883,0.182976109005338,0.197774588647676,"GIN"
"no-estimate","admin2",2e-04,2160215.9776217,4734340.29089628,6719445.47735734,0.139461735224753,0.185325397456749,0.214507884673871,"GIN"
"district-estimate","admin1",1e-04,1019817.65900071,1456426.26420677,1937473.12596903,0.125682766516763,0.181010815719454,0.209400190964872,"GNB"
"district-estimate","admin1",2e-04,306318.972712965,1019817.65900071,1060459.64029931,0.0912867719493416,0.150524838327724,0.252692306435981,"GNB"
"district-estimate","admin1",0.001,12960.643065693,46664.7364224796,47439.8073015046,0.0587176098540193,0.193215479350541,0.309888937887749,"GNB"
"district-estimate","admin2",1e-04,1060381.29229552,1473375.63301074,1639244.05464517,0.126703517584818,0.173509138742442,0.192396860809209,"GNB"
"district-estimate","admin2",2e-04,254097.271214463,875687.734867782,1096607.56213036,0.0850858261853528,0.127492230984695,0.257046603200581,"GNB"
"district-estimate","admin2",0.001,13358.4177919772,82470.2533165916,97078.5305774637,0.0804338784239743,0.132661281798612,0.283453062338342,"GNB"
"global-estimate","admin1",1e-04,731918.509072431,1126626.92251305,1657349.45775883,0.0662600578870305,0.124653780503513,0.193696745339353,"GNB"
"global-estimate","admin1",2e-04,46664.7364224796,584039.296605897,1057227.2647189,0.0203096721792578,0.111529868661674,0.386367768008658,"GNB"
"global-estimate","admin1",0.001,12960.643065693,46664.7364224796,47439.8073015046,0.0474890210785039,0.193286771743807,0.251566669878111,"GNB"
"global-estimate","admin2",1e-04,673433.54642287,1147814.82166378,1604138.69916276,0.082244786189771,0.11876836714394,0.180419577877002,"GNB"
"global-estimate","admin2",2e-04,117376.546534303,468440.317765595,1018802.25631723,0.019511270553851,0.103065947447466,0.169532300851502,"GNB"
"global-estimate","admin2",0.001,13358.4177919772,85794.5187900514,89872.8574352603,0.0149321132105255,0.128212274139869,0.349185032581586,"GNB"
"no-estimate","admin1",1e-04,798472.338435674,1401027.92639932,1775196.74285689,0.147621902913877,0.177612581222552,0.199109290725591,"GNB"
"no-estimate","admin1",2e-04,306318.972712965,1047064.46490267,1338167.86360197,0.166164463681577,0.219074580279974,0.275841787928269,"GNB"
"no-estimate","admin1",0.001,12960.643065693,46664.7364224796,46664.7364224796,0.0668858162585819,0.193286771743807,0.218769133995401,"GNB"
"no-estimate","admin2",1e-04,881134.644647247,1491630.19544007,1678971.78235946,0.156693127107927,0.189315839686825,0.200232934443404,"GNB"
"no-estimate","admin2",2e-04,243593.298751554,909760.644900474,1381081.90135331,0.139725003894962,0.209423106940088,0.255992841667356,"GNB"
"no-estimate","admin2",0.001,13358.4177919772,85794.5187900514,126033.493003832,0.141772729895664,0.227583491677424,0.363214436576355,"GNB"
"district-estimate","admin1",1e-04,14189345.592117,19173835.7087644,23596894.6618684,0.147828613153744,0.168888353150563,0.191938514749281,"KEN"
"district-estimate","admin1",2e-04,6363189.64302474,11997244.9389877,16210679.7169447,0.1273421578229,0.170003955811444,0.201089476917491,"KEN"
"district-estimate","admin1",0.001,1201261.82141906,2568455.54972746,4326768.55197436,0.0692221146290035,0.205140169112261,0.442728693513929,"KEN"
"district-estimate","admin2",1e-04,10389518.9303792,12203088.8235281,13764429.7722317,0.146101496616564,0.161456792459857,0.173640339380766,"KEN"
"district-estimate","admin2",2e-04,6287824.60304241,7632352.74111885,9739515.50756121,0.144577319472821,0.163356302257985,0.180909219229121,"KEN"
"district-estimate","admin2",0.001,995792.49257547,1862517.99001375,2853743.30567968,0.106948952332784,0.160909247734846,0.207715313764848,"KEN"
"global-estimate","admin1",1e-04,13061708.5384148,16898114.215053,20465194.1517925,0.0975344301094832,0.131667778631752,0.164984910992496,"KEN"
"global-estimate","admin1",2e-04,4150480.99369625,8794511.7535622,13223713.0553853,0.072618829050684,0.125373507003957,0.170981594065225,"KEN"
"global-estimate","admin1",0.001,1201261.82141906,1201261.82141906,2596952.04615838,0.0191092837318011,0.0520726443593111,0.175961182997249,"KEN"
"global-estimate","admin2",1e-04,8444393.4422717,9843692.5439044,11874107.4988942,0.0855083415543052,0.111359521655393,0.143017126685104,"KEN"
"global-estimate","admin2",2e-04,3745957.62618192,5932387.77151977,7971904.22968372,0.0842388097263281,0.121813352293745,0.149830243272013,"KEN"
"global-estimate","admin2",0.001,588268.553774801,1513737.7590101,2401335.57269658,0.0518864862907649,0.109714401399824,0.191916214107323,"KEN"
"no-estimate","admin1",1e-04,13243472.7213931,18346537.1389562,21887898.8230359,0.161233733510182,0.179006983914741,0.201418803104376,"KEN"
"no-estimate","admin1",2e-04,5914994.3125107,11374381.4416341,16013179.2198046,0.154146869960664,0.188603441948751,0.205648219426416,"KEN"
"no-estimate","admin1",0.001,1201261.82141906,1201261.82141906,3561928.1528097,0.069710322732502,0.0926268059950879,0.352700188425724,"KEN"
"no-estimate","admin2",1e-04,9988283.20546736,11645016.2161863,13296619.5092089,0.15767645208513,0.170045564820285,0.181968369957343,"KEN"
"no-estimate","admin2",2e-04,6059635.90883059,7501856.74405775,9502558.97553586,0.163273081380587,0.177091719812428,0.190049702099409,"KEN"
"no-estimate","admin2",0.001,712323.375356212,1857169.48174152,2836426.52491212,0.142183188104296,0.197283577857516,0.260846810593065,"KEN"
"district-estimate","admin1",1e-04,582756.190008031,910801.611532358,1662615.89377143,0.127041311036386,0.182310110275305,0.217210492150848,"LBR"
"district-estimate","admin1",2e-04,373310.486413292,599687.230537383,1193638.42930528,0.115686111180517,0.182310110275305,0.204448264697646,"LBR"
