"confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub","n_targeted_ISO_lb","n_targeted_ISO_median","n_targeted_ISO_ub"
"district-estimate","admin1",1e-04,7840,7840,7840,541,541,541,23,24,26
"district-estimate","admin1",2e-04,7840,7840,7840,541,541,541,16,19,21
"district-estimate","admin1",0.001,7840,7840,7840,541,541,541,4,6,9
"district-estimate","admin2",1e-04,52312,52316,52318,3680,3680,3680,28,30,31
"district-estimate","admin2",2e-04,52311,52315,52318,3680,3680,3680,25,27,29
"district-estimate","admin2",0.001,52315,52318,52318,3680,3680,3680,14,17,19
"global-estimate","admin1",1e-04,7840,7840,7840,541,541,541,21,23,25
"global-estimate","admin1",2e-04,7840,7840,7840,541,541,541,15,17,19
"global-estimate","admin1",0.001,7840,7840,7840,541,541,541,4,5,6
"global-estimate","admin2",1e-04,52310,52315,52318,3680,3680,3680,28,29,30
"global-estimate","admin2",2e-04,52318,52318,52318,3680,3680,3680,23,26,28
"global-estimate","admin2",0.001,52315,52318,52318,3680,3680,3680,13,15,17
"no-estimate","admin1",1e-04,7840,7840,7840,541,541,541,27,28,29
"no-estimate","admin1",2e-04,7840,7840,7840,541,541,541,23,24,25
"no-estimate","admin1",0.001,7840,7840,7840,541,541,541,11,12,14
"no-estimate","admin2",1e-04,52311,52318,52318,3680,3680,3680,30,31,32
"no-estimate","admin2",2e-04,52310,52315,52317,3680,3680,3680,29,30,30
"no-estimate","admin2",0.001,52309,52315,52318,3680,3680,3680,18,21,23
