"ISO","threshold","confirmation_lens","tp_cumu_lb","tp_cumu_median","tp_cumu_ub","efficiency_lb","efficiency_median","efficiency_ub","ac_lb","ac_median","ac_ub","admin_level"
"AGO",1e-04,"district-estimate",3681049.28080289,6294777.3319374,11546853.4068632,0.708841738701359,1.33364390955115,2.99986729812958,4876.40158353746,9821.03993925825,14051.2976396071,"admin1"
"AGO",1e-04,"global-estimate",3074598.26169902,5405244.89119185,8955291.72081521,0.869124079191745,1.41700226744089,2.84968672486573,3029.21032504737,9433.36395926774,13019.5771578204,"admin1"
"AGO",1e-04,"no-estimate",4187970.62827439,12626068.1106281,14068225.364819,0.543071365122488,1.0165466303008,2.28169181489758,7379.77531148195,11672.9520229697,15405.7156187668,"admin1"
"AGO",2e-04,"district-estimate",1591909.5168451,3285911.14453824,7189823.19254963,0.979536683954696,1.89922060513643,3.61430938832868,2326.13380877375,7907.01967776567,11754.9297270827,"admin1"
"AGO",2e-04,"global-estimate",0,2475631.85154457,3824572.04574124,0.366308692120828,3.14389878435684,8.18363714899496,243.014910417236,7144.82723673433,18125.435035016,"admin1"
"AGO",2e-04,"no-estimate",3681049.28080289,6313109.69468596,9658595.1420079,0.762746819108283,1.31565722083143,2.69733007718622,4882.38492606431,9739.1538027674,13085.5135290355,"admin1"
"AGO",0.001,"district-estimate",0,0,770749.523281306,3.53454833140217,3.73101127262461,4.10743855268141,-2.67744062846909e-05,2.38418579989741e-07,2758.10259986111,"admin1"
"AGO",0.001,"global-estimate",0,0,0,NA,NA,NA,-2.67744062846909e-05,5.96046449974352e-08,3.9985776360324e-05,"admin1"
"AGO",0.001,"no-estimate",0,770749.523281306,1729877.40516003,1.3387353930218,2.55541267803881,3.89441330004663,-5.60283661021897e-07,1922.64161652326,6180.84092481434,"admin1"
"AGO",1e-04,"district-estimate",3390113.58573929,5141976.83182524,7638563.97935764,1.13518886332194,2.40764570963241,3.45832200645918,7108.03636689595,11795.2490188135,15470.8678922798,"admin2"
"AGO",1e-04,"global-estimate",3222515.99169915,4724044.054058,6083634.05374367,1.24994404395409,2.46898241074174,3.50663917528767,6043.80861081194,11463.7496320769,15201.5595178457,"admin2"
"AGO",1e-04,"no-estimate",4750899.07034339,6619593.12874777,9650880.06946656,0.932596421536833,1.90929645285671,2.68912501080557,8408.46337213177,12599.7360909679,16132.3454051957,"admin2"
"AGO",2e-04,"district-estimate",1900804.40127106,3306117.84962579,4999394.5830769,1.58794283377246,3.06482443709155,4.86769747180479,4347.00901957155,10588.1201208888,14222.1137540656,"admin2"
"AGO",2e-04,"global-estimate",940913.495298134,2303075.06480078,4006185.58600316,1.40675651422242,4.58433214834582,11.7256798174032,3921.76506869074,10150.4375902171,19245.9650953144,"admin2"
"AGO",2e-04,"no-estimate",3412699.10009349,5156822.89876115,6766043.97235872,1.10064122438633,2.38675424318549,3.49934694962338,7025.84539555128,11783.0673086638,15293.573571584,"admin2"
"AGO",0.001,"district-estimate",69696.9025278708,436802.132312767,1036972.74846666,4.04336858280191,7.18283260471233,13.2288443374326,415.617323611517,2917.64926219199,7979.83027288738,"admin2"
"AGO",0.001,"global-estimate",0,242574.466608606,772505.520360299,3.58337400722538,7.36301665871234,13.0752287504851,-9.60123709216115e-07,1725.17493441475,6617.85212763414,"admin2"
"AGO",0.001,"no-estimate",383657.475169713,1656083.83133685,2291808.55686432,2.52663224489438,4.16687592184501,8.23259813356495,1426.63411431094,7006.44490827149,10802.4661467426,"admin2"
"BDI",1e-04,"district-estimate",0,1396848.04057829,2952179.81398794,0.36937760027192,0.493796984205725,0.780291976876352,1.11967788918184e-05,683.686281429138,1461.09893626297,"admin1"
"BDI",1e-04,"global-estimate",0,898525.25931547,1520775.87871301,0.290680352181265,0.525612413182197,0.759133108297744,1.89741141938034e-05,429.640782913657,865.932717136296,"admin1"
"BDI",1e-04,"no-estimate",4986399.04619807,5680509.32012033,7158891.35531683,0.278846134253333,0.364606080528815,0.44986956378978,1700.88732606582,2178.53828085446,2617.48123049128,"admin1"
"BDI",2e-04,"district-estimate",0,0,409904.795723052,0.729459785859354,0.752763030593476,0.874720640846396,1.75805759327855e-06,1.51572749308247e-05,314.624177879979,"admin1"
"BDI",2e-04,"global-estimate",0,0,0,2.1837877848428,3.64048565255142,6.12015364106493,-131.520956644718,336.856160445139,2536.46104007404,"admin1"
"BDI",2e-04,"no-estimate",846276.924998969,1468527.54439651,2280385.13797828,0.255636015196082,0.478561202214446,0.779573447748376,290.328673626669,616.552116137,1002.6472104948,"admin1"
"BDI",0.001,"district-estimate",0,0,0,NA,NA,NA,1.75805759327855e-06,1.50846317296498e-05,3.24092805812568e-05,"admin1"
"BDI",0.001,"global-estimate",0,0,0,NA,NA,NA,1.75805759327855e-06,1.50846317296498e-05,3.24092805812568e-05,"admin1"
"BDI",0.001,"no-estimate",0,0,0,NA,NA,NA,1.75805759327855e-06,1.50846317296498e-05,3.24092805812568e-05,"admin1"
"BDI",1e-04,"district-estimate",1659662.63258808,2085912.8365949,2382854.93430539,0.881793059901843,1.16206460548771,1.44506616239552,1645.90412426092,2401.68780787104,3149.83602910902,"admin2"
"BDI",1e-04,"global-estimate",1589942.20201323,1836572.14858199,2076991.71330263,0.857744765180769,1.16898280821461,1.48679868820251,1397.90891878886,2186.95214313583,2840.41466417782,"admin2"
"BDI",1e-04,"no-estimate",2739434.25286031,2942390.95946748,3180048.27260501,0.749734114723513,0.958480950674745,1.16816403031279,2158.09683411041,2832.11497324532,3460.74350155639,"admin2"
"BDI",2e-04,"district-estimate",559272.551054957,1024372.50433671,1512094.76968039,1.05178183310172,1.36261694731754,1.77739678197034,712.454482719171,1408.36923124056,2259.99017846176,"admin2"
"BDI",2e-04,"global-estimate",167999.603014348,644470.98168632,1142495.45779019,0.367973274703735,2.22715444218923,15.3779580073841,322.181543751614,1456.12658196003,3240.54540018084,"admin2"
"BDI",2e-04,"no-estimate",1803462.23346634,2000346.91839428,2216238.20934104,0.850329203333111,1.15686924912901,1.46232070789332,1656.33205161553,2306.32162459356,2981.13606905528,"admin2"
"BDI",0.001,"district-estimate",0,0,0,NA,NA,NA,-6.72190614927468e-06,-6.78774053170569e-07,7.06318987379271e-06,"admin2"
"BDI",0.001,"global-estimate",0,0,0,NA,NA,NA,-6.72190614927468e-06,-6.78774053170569e-07,7.06318987379271e-06,"admin2"
"BDI",0.001,"no-estimate",0,0,70032.2070399153,0.284594893994605,0.653492476858403,1.1644743108146,-6.1994076297787e-06,8.46863192704419e-07,38.3557999862056,"admin2"
"BEN",1e-04,"district-estimate",0,0,0,0.356743798644775,0.356743798644775,0.356743798644775,-9.53674300419038e-07,5.76674907151742e-06,3.19540490328896e-05,"admin1"
"BEN",1e-04,"global-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",1e-04,"no-estimate",0,1458010.01127223,3453033.45349446,0.121734342073449,0.207197955410011,0.303601727692811,1.1920928999487e-07,291.428239911795,752.031111277268,"admin1"
"BEN",2e-04,"district-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",2e-04,"global-estimate",0,0,0,NA,NA,NA,-87.35676583685,284.254305347801,1845.9095084399,"admin1"
"BEN",2e-04,"no-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",0.001,"district-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",0.001,"global-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",0.001,"no-estimate",0,0,0,NA,NA,NA,-9.53674300419038e-07,5.66244118327397e-06,3.01755963554903e-05,"admin1"
"BEN",1e-04,"district-estimate",235576.870582647,496385.514471924,1072781.71940212,0.46857906385031,1.02340764912026,1.84514719499533,121.197621720424,640.66566418251,987.441585097078,"admin2"
"BEN",1e-04,"global-estimate",162641.157651171,419903.953256632,616046.777721872,0.39807229642068,1.26887170624587,1.98989644847367,92.9891280725773,547.567156532954,914.758482584163,"admin2"
"BEN",1e-04,"no-estimate",2372379.6580506,2926504.64811952,3532637.72131349,0.267992649832101,0.403127993595348,0.558306652007221,688.210397361824,1223.28242891259,1699.48977503602,"admin2"
"BEN",2e-04,"district-estimate",0,237803.02603935,423678.096608532,0.81984278014816,1.83639262977131,3.05184953362867,-3.14854050283408e-07,298.400589881581,790.035087286113,"admin2"
"BEN",2e-04,"global-estimate",0,154059.620697587,355733.517984912,-0.259572487962579,2.6987795252216,14.2645751338003,-42.7889553190038,538.92923837842,2008.24225430014,"admin2"
"BEN",2e-04,"no-estimate",322101.875667472,495320.964756279,756059.116766623,0.433552584674928,1.04808409415801,1.84955754659602,167.72074230166,610.071863926132,925.682818187057,"admin2"
"BEN",0.001,"district-estimate",0,0,0,NA,NA,NA,-2.347421878737e-06,1.43563376657409e-06,1.42489762790067e-05,"admin2"
"BEN",0.001,"global-estimate",0,0,0,NA,NA,NA,-2.347421878737e-06,1.43563376657409e-06,1.42489762790067e-05,"admin2"
"BEN",0.001,"no-estimate",0,0,164877.118331594,1.21833605940624,2.2117864688648,3.00023236664075,-1.60434280975194e-06,3.62668658957432e-06,338.866486744437,"admin2"
"BFA",1e-04,"district-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",1e-04,"global-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",1e-04,"no-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",2e-04,"district-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",2e-04,"global-estimate",0,0,0,NA,NA,NA,-20.2483795451001,30.6558161797001,379.990484516696,"admin1"
"BFA",2e-04,"no-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",0.001,"district-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",0.001,"global-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",0.001,"no-estimate",0,0,0,NA,NA,NA,-4.10713249826555e-08,2.98023220962618e-08,6.28083945199143e-07,"admin1"
"BFA",1e-04,"district-estimate",0,0,0,0.391437655083332,0.426522413564504,0.456651374337368,-1.19302412485318e-07,9.38773174736715e-07,6.80925430125152e-06,"admin2"
"BFA",1e-04,"global-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"BFA",1e-04,"no-estimate",0,0,546376.727723839,0.0987892793388223,0.209210607379891,0.4473481233755,-3.87313772451944e-08,2.62167304766053e-06,148.497322400546,"admin2"
"BFA",2e-04,"district-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"BFA",2e-04,"global-estimate",0,0,0,NA,NA,NA,-20.2483816965192,30.6558216786941,379.990482120644,"admin2"
"BFA",2e-04,"no-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"BFA",0.001,"district-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"BFA",0.001,"global-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"BFA",0.001,"no-estimate",0,0,0,NA,NA,NA,-4.61610040005441e-07,9.21078069232584e-07,5.80712212037685e-06,"admin2"
"CAF",1e-04,"district-estimate",0,0,663970.203431889,0.359920095083442,0.666964921402001,1.31442374930651,5.81145288724994e-08,2.28360296484348e-06,698.023358687106,"admin1"
"CAF",1e-04,"global-estimate",0,0,450895.79161916,0.437554657662847,0.740481522491909,1.32124007367323,5.81145288724994e-08,2.18674540877067e-06,444.53466148125,"admin1"
