"ISO","confirmation_lens","threshold","admin_level","n_vaxed_in_highIR","tp_cumu_median","prop_vaxed_in_highIR"
"AGO","district-estimate",1e-04,"admin1",6283148.62857301,6294777.3319374,0.998152642619241
"AGO","district-estimate",1e-04,"admin2",5127125.51018255,5141976.83182524,0.997111748627344
"AGO","district-estimate",2e-04,"admin1",3251640.43943233,3285911.14453824,0.989570410276348
"AGO","district-estimate",2e-04,"admin2",3269401.47341559,3306117.84962579,0.988894413968227
"AGO","district-estimate",0.001,"admin1",770749.523281306,0,Inf
"AGO","district-estimate",0.001,"admin2",435019.227554574,436802.132312767,0.995918278263082
"AGO","global-estimate",1e-04,"admin1",5321869.64542915,5405244.89119185,0.984575121490135
"AGO","global-estimate",1e-04,"admin2",4387932.41950411,4724044.054058,0.928850867877667
"AGO","global-estimate",2e-04,"admin1",2415499.69618785,2475631.85154457,0.975710380637087
"AGO","global-estimate",2e-04,"admin2",2213081.34781218,2303075.06480078,0.960924540253149
"AGO","global-estimate",0.001,"admin2",226964.856570742,242574.466608606,0.935650234519323
"AGO","no-estimate",1e-04,"admin1",6253897.78358811,12626068.1106281,0.495316335124459
"AGO","no-estimate",1e-04,"admin2",5059780.70979999,6619593.12874777,0.764364306293422
"AGO","no-estimate",2e-04,"admin1",3251640.43943233,6313109.69468596,0.515061609363352
"AGO","no-estimate",2e-04,"admin2",3061370.9786014,5156822.89876115,0.593654472667045
"AGO","no-estimate",0.001,"admin1",770749.523281306,770749.523281306,1
"AGO","no-estimate",0.001,"admin2",377704.220373777,1656083.83133685,0.228070713104469
"BDI","district-estimate",1e-04,"admin1",1267938.29834053,1396848.04057829,0.907713839664051
"BDI","district-estimate",1e-04,"admin2",2013172.76233729,2085912.8365949,0.965127941598769
"BDI","district-estimate",2e-04,"admin1",409904.795723052,0,Inf
"BDI","district-estimate",2e-04,"admin2",973298.069807839,1024372.50433671,0.950140760013915
"BDI","global-estimate",1e-04,"admin1",898525.25931547,898525.25931547,1
"BDI","global-estimate",1e-04,"admin2",1801231.79451536,1836572.14858199,0.980757437656933
