"ISO","confirmation_lens","threshold","admin_level","n_vaxed_in_highIR","tp_cumu_median","prop_vaxed_in_highIR"
"BDI","global-estimate",2e-04,"admin2",596804.622523995,644470.98168632,0.926038005562948
"BDI","no-estimate",1e-04,"admin1",1211525.48820726,5680509.32012033,0.213277616483445
"BDI","no-estimate",1e-04,"admin2",1884167.95453486,2942390.95946748,0.640352686128379
"BDI","no-estimate",2e-04,"admin1",409904.795723052,1468527.54439651,0.279126392478734
"BDI","no-estimate",2e-04,"admin2",842248.171364379,2000346.91839428,0.421051050505014
"BEN","district-estimate",1e-04,"admin1",671965.501033202,0,Inf
"BEN","district-estimate",1e-04,"admin2",494184.908861639,496385.514471924,0.995566740877549
"BEN","district-estimate",2e-04,"admin2",239509.187001915,237803.02603935,1.00717468146214
"BEN","global-estimate",1e-04,"admin2",390525.793457635,419903.953256632,0.930036000920805
"BEN","global-estimate",2e-04,"admin2",162641.157651171,154059.620697587,1.05570270077731
"BEN","no-estimate",1e-04,"admin1",1458010.01127223,1458010.01127223,1
"BEN","no-estimate",1e-04,"admin2",503502.568893669,2926504.64811952,0.172049126666245
"BEN","no-estimate",2e-04,"admin2",239509.187001915,495320.964756279,0.483543407293016
"BFA","district-estimate",1e-04,"admin2",352192.331131321,0,Inf
"BFA","no-estimate",1e-04,"admin2",160054.000429666,0,Inf
"CAF","district-estimate",1e-04,"admin1",425710.017353221,0,Inf
"CAF","district-estimate",1e-04,"admin2",62052.959886565,62052.959886565,1
"CAF","district-estimate",2e-04,"admin1",433064.586904912,0,Inf
"CAF","district-estimate",2e-04,"admin2",41812.9873551864,41812.9873551864,1
"CAF","district-estimate",0.001,"admin2",18100.796397833,0,Inf
"CAF","global-estimate",1e-04,"admin1",425710.017353221,0,Inf
"CAF","global-estimate",1e-04,"admin2",62052.959886565,62052.959886565,1
"CAF","global-estimate",2e-04,"admin1",316531.391784534,0,Inf
"CAF","global-estimate",2e-04,"admin2",62052.959886565,39360.8113576675,1.57651627967463
"CAF","global-estimate",0.001,"admin2",18100.796397833,0,Inf
"CAF","no-estimate",1e-04,"admin1",425710.017353221,0,Inf
"CAF","no-estimate",1e-04,"admin2",62052.959886565,62052.959886565,1
"CAF","no-estimate",2e-04,"admin1",207352.766215847,0,Inf
"CAF","no-estimate",2e-04,"admin2",62052.959886565,62052.959886565,1
"CAF","no-estimate",0.001,"admin2",18100.796397833,0,Inf
"CIV","district-estimate",1e-04,"admin1",577961.787593582,577961.787593582,1
"CIV","district-estimate",1e-04,"admin2",936842.963182335,785364.063035338,1.19287730019317
"CIV","district-estimate",2e-04,"admin1",281656.116962779,0,Inf
"CIV","district-estimate",2e-04,"admin2",281656.116962779,0,Inf
"CIV","global-estimate",1e-04,"admin1",600822.646050641,577961.787593582,1.03955427321976
"CIV","global-estimate",1e-04,"admin2",616689.727930492,608697.872793538,1.01312942839816
"CIV","global-estimate",2e-04,"admin1",616689.727930492,0,Inf
"CIV","global-estimate",2e-04,"admin2",608697.872793538,0,Inf
"CIV","no-estimate",1e-04,"admin1",577961.787593582,1675953.57620633,0.344855487526003
"CIV","no-estimate",1e-04,"admin2",905003.543424341,2145628.43734742,0.421789498904653
"CIV","no-estimate",2e-04,"admin1",281656.116962779,577961.787593582,0.487326537859
"CIV","no-estimate",2e-04,"admin2",281656.116962779,608697.872793538,0.46271907550811
"CMR","district-estimate",1e-04,"admin1",32828474.5331791,33081031.2435954,0.992365512775082
"CMR","district-estimate",1e-04,"admin2",25243858.8206699,25451687.8154755,0.991834372780606
"CMR","district-estimate",2e-04,"admin1",17770612.2377441,18700702.015168,0.950264445865748
"CMR","district-estimate",2e-04,"admin2",13940238.7844699,14177710.5996055,0.983250341198088
"CMR","district-estimate",0.001,"admin1",2043595.89670543,0,Inf
"CMR","district-estimate",0.001,"admin2",2696479.21554114,2767733.24352739,0.974255456824503
"CMR","global-estimate",1e-04,"admin1",28324473.8097317,29364785.9049805,0.964572801633389
"CMR","global-estimate",1e-04,"admin2",20967944.8616517,22466245.7553835,0.933308799785883
"CMR","global-estimate",2e-04,"admin1",13942882.140384,15615423.6737186,0.892891696806821
"CMR","global-estimate",2e-04,"admin2",10458213.2493332,10826690.1346075,0.965965878704105
"CMR","global-estimate",0.001,"admin1",2043595.89670543,0,Inf
"CMR","global-estimate",0.001,"admin2",2293676.26235929,1062522.41643556,2.15870858523049
"CMR","no-estimate",1e-04,"admin1",32689573.7423995,44504759.9630025,0.734518594630661
"CMR","no-estimate",1e-04,"admin2",24589890.0579394,35552025.0007023,0.691659337476658
"CMR","no-estimate",2e-04,"admin1",18348569.3487029,32898460.8916238,0.557733366589638
"CMR","no-estimate",2e-04,"admin2",13420149.4655275,26054393.2349791,0.515082018778716
"CMR","no-estimate",0.001,"admin1",2043595.89670543,5471595.26710227,0.373491787485171
"CMR","no-estimate",0.001,"admin2",2529147.00552458,6639629.80186357,0.380916870518099
"COD","district-estimate",1e-04,"admin1",84905485.4785808,85433399.6378836,0.993820752053174
"COD","district-estimate",1e-04,"admin2",46186035.5411419,46549787.8649911,0.99218573616481
"COD","district-estimate",2e-04,"admin1",54232200.8235196,55550770.1600677,0.976263707366277
"COD","district-estimate",2e-04,"admin2",29176409.9955395,29717360.1417421,0.981796830417561
"COD","district-estimate",0.001,"admin1",6655811.18230695,0,Inf
"COD","district-estimate",0.001,"admin2",6154178.35496107,6318537.69681247,0.973987756386368
"COD","global-estimate",1e-04,"admin1",79023302.0996677,82045217.115648,0.963167688230738
"COD","global-estimate",1e-04,"admin2",40004305.2796289,41176901.6854189,0.971522956857019
"COD","global-estimate",2e-04,"admin1",35239395.8859023,39238932.7183809,0.898072231954335
"COD","global-estimate",2e-04,"admin2",21761509.9015066,22588003.47299,0.963410065326418
"COD","global-estimate",0.001,"admin1",3032246.0503303,0,Inf
"COD","global-estimate",0.001,"admin2",4972404.55544771,5148651.56548139,0.965768316656868
"COD","no-estimate",1e-04,"admin1",85129927.8869199,102251331.091022,0.832555693687146
"COD","no-estimate",1e-04,"admin2",45507238.0464301,61468987.0951529,0.740328419207327
"COD","no-estimate",2e-04,"admin1",49388190.9064979,83378919.4316405,0.592334264381893
"COD","no-estimate",2e-04,"admin2",28313775.7615831,47673418.2687031,0.593911172930737
"COD","no-estimate",0.001,"admin1",3032246.0503303,11363501.1053599,0.266840828562956
"COD","no-estimate",0.001,"admin2",6274827.42839967,12290935.6671691,0.510524796347332
"COG","district-estimate",1e-04,"admin1",4278993.01883771,4278993.01883771,1
"COG","district-estimate",1e-04,"admin2",2819456.65144115,2819456.65144115,1
"COG","district-estimate",2e-04,"admin1",3066528.0640445,3093496.27541612,0.991282287428003
"COG","district-estimate",2e-04,"admin2",1930656.8891843,1987451.64911417,0.971423324962303
"COG","district-estimate",0.001,"admin1",1047759.75930902,0,Inf
"COG","district-estimate",0.001,"admin2",324441.07027204,312264.401927372,1.03899473737484
"COG","global-estimate",1e-04,"admin1",4277513.009344,4277513.009344,1
"COG","global-estimate",1e-04,"admin2",2386295.32007538,2387801.13193459,0.999369373002186
"COG","global-estimate",2e-04,"admin1",2333580.73311166,2402870.91671058,0.971163584728151
"COG","global-estimate",2e-04,"admin2",1399999.82818602,1449358.93829573,0.965944177935833
"COG","global-estimate",0.001,"admin2",324441.07027204,312264.401927372,1.03899473737484
"COG","no-estimate",1e-04,"admin1",4277513.009344,4690963.60046609,0.911862332276249
"COG","no-estimate",1e-04,"admin2",2819456.65144115,2886669.07075986,0.976716271359426
"COG","no-estimate",2e-04,"admin1",2635083.90241429,4277513.009344,0.616031768146137
"COG","no-estimate",2e-04,"admin2",1982055.67212021,2838141.40786649,0.698363959817693
"COG","no-estimate",0.001,"admin1",1047759.75930902,0,Inf
"COG","no-estimate",0.001,"admin2",312264.401927372,486369.699512098,0.642030953492004
"ETH","district-estimate",1e-04,"admin1",9344328.79317743,9344328.79317743,1
"ETH","district-estimate",1e-04,"admin2",15223969.0099167,15642584.9757609,0.973238696385996
"ETH","district-estimate",2e-04,"admin1",9518895.35325957,0,Inf
"ETH","district-estimate",2e-04,"admin2",7841689.60696222,8470392.88814228,0.925776373129022
"ETH","district-estimate",0.001,"admin2",183411.874555302,0,Inf
"ETH","global-estimate",1e-04,"admin1",9344328.79317743,9344328.79317743,1
"ETH","global-estimate",1e-04,"admin2",13123726.7221119,13637329.3218863,0.96233847642367
"ETH","global-estimate",2e-04,"admin1",9811103.179843,0,Inf
"ETH","global-estimate",2e-04,"admin2",4503709.66668748,4549043.81120391,0.990034357461061
"ETH","global-estimate",0.001,"admin2",122776.429111894,0,Inf
"ETH","no-estimate",1e-04,"admin1",9344328.79317743,31754980.4621316,0.294263408674451
"ETH","no-estimate",1e-04,"admin2",14779082.2562415,26247265.830443,0.563071306234875
"ETH","no-estimate",2e-04,"admin1",4555529.43316352,9344328.79317743,0.487518101513042
"ETH","no-estimate",2e-04,"admin2",6681513.20828846,15070394.7614423,0.443353562667326
"ETH","no-estimate",0.001,"admin2",183411.874555302,1656807.93032872,0.110701953556507
"GHA","district-estimate",1e-04,"admin1",29846945.7219995,30018459.2412385,0.994286398317095
"GHA","district-estimate",1e-04,"admin2",20824258.2484019,21117490.8049615,0.986114233018124
"GHA","district-estimate",2e-04,"admin1",15718854.8133424,15718854.8133424,1
"GHA","district-estimate",2e-04,"admin2",13566957.8114636,14065568.1670942,0.964550997890218
"GHA","district-estimate",0.001,"admin2",1389226.55060196,1429208.11783553,0.972025370738784
"GHA","global-estimate",1e-04,"admin1",24287162.0636762,24287162.0636762,1
"GHA","global-estimate",1e-04,"admin2",18167259.4054668,18802196.1445528,0.966230713997205
"GHA","global-estimate",2e-04,"admin1",10209481.7705207,10370962.0628095,0.984429574487803
"GHA","global-estimate",2e-04,"admin2",9214099.79049068,9604000.86147294,0.959402224488924
"GHA","global-estimate",0.001,"admin2",885908.336186585,903800.40255354,0.980203520250263
"GHA","no-estimate",1e-04,"admin1",28062852.1847135,39960673.9544086,0.702261734042088
"GHA","no-estimate",1e-04,"admin2",20442930.9111069,26974550.1507841,0.757859938231914
"GHA","no-estimate",2e-04,"admin1",15647174.2998707,29999706.0625029,0.521577587036039
"GHA","no-estimate",2e-04,"admin2",13171617.6791117,21303417.3588351,0.618286609009658
"GHA","no-estimate",0.001,"admin2",1168053.58008135,4517320.22216494,0.258572233677415
"GIN","district-estimate",1e-04,"admin1",7770121.60543278,8078106.26619832,0.961874150869461
"GIN","district-estimate",1e-04,"admin2",7231611.93821904,7241264.08614136,0.998667063124961
"GIN","district-estimate",2e-04,"admin1",4578310.70194941,5607943.49498893,0.81639743803418
"GIN","district-estimate",2e-04,"admin2",5027445.2473749,5081567.42556819,0.989349314166142
"GIN","global-estimate",1e-04,"admin1",7213352.33179697,7213352.33179697,1
"GIN","global-estimate",1e-04,"admin2",6872504.2477851,7031792.99718303,0.977347349465244
"GIN","global-estimate",2e-04,"admin1",2630044.43731568,2630044.43731568,1
"GIN","global-estimate",2e-04,"admin2",3550504.35132272,3804667.8865825,0.933196919458828
"GIN","no-estimate",1e-04,"admin1",8078106.26619832,10740417.1097554,0.752122211237129
"GIN","no-estimate",1e-04,"admin2",7186890.11856982,8661365.233003,0.829764122079174
"GIN","no-estimate",2e-04,"admin1",4146955.11785298,7213352.33179697,0.574899842279006
"GIN","no-estimate",2e-04,"admin2",4734340.29089629,7322753.92059864,0.646524564696727
"GNB","district-estimate",1e-04,"admin1",1456426.26420677,1468312.62014368,0.991904751226791
"GNB","district-estimate",1e-04,"admin2",1473375.63301073,1482524.9746231,0.993828541327143
"GNB","district-estimate",2e-04,"admin1",1019817.65900071,1021612.70443973,0.998242929604126
"GNB","district-estimate",2e-04,"admin2",875687.734867783,915371.316944136,0.956647557836056
"GNB","district-estimate",0.001,"admin1",46664.7364224796,31156.868119154,1.49773514603645
"GNB","district-estimate",0.001,"admin2",82470.2533165916,82470.2533165916,1
"GNB","global-estimate",1e-04,"admin1",1126626.92251305,1127254.62028245,0.999443162389308
"GNB","global-estimate",1e-04,"admin2",1147814.82166378,1173713.63823996,0.977934296976372
"GNB","global-estimate",2e-04,"admin1",584039.296605897,735150.884652838,0.794448199408342
"GNB","global-estimate",2e-04,"admin2",468440.317765595,514208.468162001,0.910993005307749
"GNB","global-estimate",0.001,"admin1",46664.7364224796,46664.7364224796,1
"GNB","global-estimate",0.001,"admin2",85794.5187900514,85794.5187900514,1
"GNB","no-estimate",1e-04,"admin1",1401027.92639932,2245108.96385217,0.624035603151942
"GNB","no-estimate",1e-04,"admin2",1491630.19544007,1789664.80435272,0.833469033872831
"GNB","no-estimate",2e-04,"admin1",1047064.46490267,1489110.34194216,0.703147668383691
"GNB","no-estimate",2e-04,"admin2",909760.644900474,1526661.30864818,0.595915177614637
"GNB","no-estimate",0.001,"admin1",46664.7364224796,171096.379595548,0.272739473113281
"GNB","no-estimate",0.001,"admin2",85794.5187900514,121310.79068053,0.707229079200299
"KEN","district-estimate",1e-04,"admin1",19173835.7087644,19576488.5333296,0.979431815676258
"KEN","district-estimate",1e-04,"admin2",12203088.8235281,12348649.0138429,0.988212460314353
"KEN","district-estimate",2e-04,"admin1",11997244.9389877,12208992.9185389,0.982656392630905
"KEN","district-estimate",2e-04,"admin2",7632352.74111885,7706276.25298826,0.990407362850411
"KEN","district-estimate",0.001,"admin1",2568455.54972746,0,Inf
"KEN","district-estimate",0.001,"admin2",1862517.99001375,1913179.21365226,0.973519875567855
"KEN","global-estimate",1e-04,"admin1",16898114.2150531,17241219.721912,0.980099696402402
"KEN","global-estimate",1e-04,"admin2",9843692.5439044,10474875.6828509,0.939743137956296
"KEN","global-estimate",2e-04,"admin1",8794511.75356219,10293488.0362862,0.854376254439712
"KEN","global-estimate",2e-04,"admin2",5932387.77151977,6203472.75825065,0.956301091776322
"KEN","global-estimate",0.001,"admin1",1201261.82141906,0,Inf
"KEN","global-estimate",0.001,"admin2",1513737.7590101,1670061.32623644,0.906396510852313
"KEN","no-estimate",1e-04,"admin1",18346537.1389562,28820995.4979003,0.636568474544635
"KEN","no-estimate",1e-04,"admin2",11645016.2161864,20356669.6057146,0.572049182982138
"KEN","no-estimate",2e-04,"admin1",11374381.4416342,20145409.3393565,0.564614064178528
"KEN","no-estimate",2e-04,"admin2",7501856.74405775,11820366.2858149,0.634655184337257
"KEN","no-estimate",0.001,"admin1",1201261.82141906,4631630.3319115,0.259360470360184
"KEN","no-estimate",0.001,"admin2",1857169.48174152,3755951.7449674,0.494460421178185
"LBR","district-estimate",1e-04,"admin1",910801.611532358,910801.611532358,1
"LBR","district-estimate",1e-04,"admin2",645907.523856925,645907.523856925,1
"LBR","district-estimate",2e-04,"admin1",599687.230537383,599687.230537383,1
"LBR","district-estimate",2e-04,"admin2",426466.437620647,426466.437620647,1
"LBR","district-estimate",0.001,"admin1",188222.330582157,0,Inf
"LBR","district-estimate",0.001,"admin2",152014.420213274,122012.206128716,1.24589518570714
"LBR","global-estimate",1e-04,"admin1",910801.611532358,910801.611532358,1
"LBR","global-estimate",1e-04,"admin2",514721.624463641,528283.014146737,0.974329309631504
"LBR","global-estimate",2e-04,"admin1",599687.230537383,599687.230537383,1
"LBR","global-estimate",2e-04,"admin2",374497.618770826,374497.618770826,1
"LBR","global-estimate",0.001,"admin1",290225.838192503,0,Inf
"LBR","global-estimate",0.001,"admin2",126541.401894688,28395.7607057039,4.45634836855311
"LBR","no-estimate",1e-04,"admin1",910801.611532358,1369260.21033095,0.665177885591386
"LBR","no-estimate",1e-04,"admin2",617615.53071204,824556.840588619,0.749027235370637
"LBR","no-estimate",2e-04,"admin1",599687.230537383,910801.611532358,0.658416962535291
"LBR","no-estimate",2e-04,"admin2",418181.565185177,624340.847020996,0.669796902093632
"LBR","no-estimate",0.001,"admin1",188222.330582157,132326.408444017,1.4224094252644
"LBR","no-estimate",0.001,"admin2",128436.730786617,279706.897654624,0.459183280296533
"MDG","district-estimate",1e-04,"admin2",538143.43716761,0,Inf
"MDG","no-estimate",1e-04,"admin2",390666.963363353,0,Inf
"MLI","district-estimate",1e-04,"admin1",1218522.93192108,552012.821484387,2.20741780715241
"MLI","district-estimate",1e-04,"admin2",1932505.3037565,1989175.69291598,0.971510616502452
"MLI","district-estimate",2e-04,"admin2",300410.278246379,281792.108017585,1.06607058785206
"MLI","global-estimate",1e-04,"admin1",666510.110436689,0,Inf
"MLI","global-estimate",1e-04,"admin2",1059194.86894265,1199840.43784093,0.882779772657632
"MLI","global-estimate",2e-04,"admin2",291259.889520625,191692.547064723,1.5194116515249
"MLI","no-estimate",1e-04,"admin1",666510.110436689,2511279.6501131,0.265406566889781
"MLI","no-estimate",1e-04,"admin2",1703803.07314778,4351359.77553826,0.391556469939796
"MLI","no-estimate",2e-04,"admin2",221820.719632287,1872492.12889051,0.118462831544034
"MOZ","district-estimate",1e-04,"admin1",6475234.43921951,6524932.42170081,0.992383372076619
"MOZ","district-estimate",1e-04,"admin2",5725721.73801465,5750371.37253798,0.995713383897073
"MOZ","district-estimate",2e-04,"admin1",3092640.20739827,0,Inf
"MOZ","district-estimate",2e-04,"admin2",4231553.47831338,4308359.97909757,0.982172682608505
"MOZ","district-estimate",0.001,"admin2",641490.242885598,431701.364996519,1.4859583380997
"MOZ","global-estimate",1e-04,"admin1",4829395.89952737,4877763.95347833,0.99008396994765
"MOZ","global-estimate",1e-04,"admin2",5123173.10705663,5208701.14691236,0.983579775947324
"MOZ","global-estimate",2e-04,"admin1",1495866.69257413,0,Inf
"MOZ","global-estimate",2e-04,"admin2",2979607.75632744,3079500.2624821,0.967562105003964
"MOZ","global-estimate",0.001,"admin2",661999.8500094,428508.757396468,1.54489223051491
"MOZ","no-estimate",1e-04,"admin1",6524932.42170081,25736425.0832038,0.253529089630989
"MOZ","no-estimate",1e-04,"admin2",5741251.60679792,8194942.60299661,0.700584724620102
"MOZ","no-estimate",2e-04,"admin1",3092640.20739827,6662206.77641889,0.464206577668045
"MOZ","no-estimate",2e-04,"admin2",4103566.63712895,5800827.5396545,0.707410556351993
"MOZ","no-estimate",0.001,"admin2",636949.703732781,2026199.22565008,0.314356898210946
"MRT","district-estimate",1e-04,"admin1",281228.370123411,0,Inf
"MRT","district-estimate",1e-04,"admin2",116553.627025947,116553.627025947,1
"MRT","district-estimate",2e-04,"admin2",75051.6671540061,75051.6671540061,1
"MRT","global-estimate",1e-04,"admin2",75051.6671540061,75051.6671540061,1
"MRT","global-estimate",2e-04,"admin2",75051.6671540061,0,Inf
"MRT","no-estimate",1e-04,"admin1",281228.370123411,281228.370123411,1
"MRT","no-estimate",1e-04,"admin2",116553.627025947,116553.627025947,1
"MRT","no-estimate",2e-04,"admin2",36550.5384858265,117576.025556126,0.310867273433892
"MWI","district-estimate",1e-04,"admin1",1102455.1817361,1108781.25523122,0.994294570308369
"MWI","district-estimate",1e-04,"admin2",1356398.47009408,1395581.60604092,0.971923436238177
"MWI","district-estimate",2e-04,"admin1",1014008.90117911,0,Inf
"MWI","district-estimate",2e-04,"admin2",556432.215239374,579211.518307001,0.960671874871879
"MWI","district-estimate",0.001,"admin2",44687.7240494526,0,Inf
"MWI","global-estimate",1e-04,"admin1",412462.332195335,412462.332195335,1
"MWI","global-estimate",1e-04,"admin2",978256.515449269,1092666.33418216,0.895292995534154
"MWI","global-estimate",2e-04,"admin1",958456.433155041,0,Inf
"MWI","global-estimate",2e-04,"admin2",327516.161594375,379628.421210575,0.862728245029647
"MWI","no-estimate",1e-04,"admin1",802205.893004908,3456247.70673554,0.232103124854613
"MWI","no-estimate",1e-04,"admin2",1269162.4732752,2963312.42697591,0.428291820235232
"MWI","no-estimate",2e-04,"admin1",462548.84211821,1308648.30951774,0.353455423244055
"MWI","no-estimate",2e-04,"admin2",512739.148111522,1370332.39926847,0.374171367753721
"MWI","no-estimate",0.001,"admin2",22953.6826226295,70839.1959488389,0.324025171590132
"NAM","district-estimate",1e-04,"admin1",905023.334917585,905023.334917585,1
"NAM","district-estimate",1e-04,"admin2",679599.878750406,682779.321618704,0.995343381429946
"NAM","district-estimate",2e-04,"admin1",565926.871986146,327159.655110885,1.7298186470894
"NAM","district-estimate",2e-04,"admin2",364388.929847964,390211.727895386,0.933823623942063
"NAM","district-estimate",0.001,"admin1",238767.216875261,0,Inf
"NAM","district-estimate",0.001,"admin2",54916.706694434,54916.706694434,1
"NAM","global-estimate",1e-04,"admin1",905023.334917585,905023.334917585,1
"NAM","global-estimate",1e-04,"admin2",549933.311855023,573314.118730419,0.959218156135467
"NAM","global-estimate",2e-04,"admin1",238767.216875261,238767.216875261,1
"NAM","global-estimate",2e-04,"admin2",239278.38037636,257478.077646532,0.929315546253391
"NAM","global-estimate",0.001,"admin1",238767.216875261,0,Inf
"NAM","global-estimate",0.001,"admin2",54916.706694434,35692.4317997855,1.53860927724079
"NAM","no-estimate",1e-04,"admin1",905023.334917585,1262043.2226095,0.717109619309462
"NAM","no-estimate",1e-04,"admin2",682951.746946593,819048.297011166,0.83383574502113
"NAM","no-estimate",2e-04,"admin1",327159.655110885,905023.334917585,0.361493060442113
"NAM","no-estimate",2e-04,"admin2",369128.763174064,701456.695412281,0.526231719774388
"NAM","no-estimate",0.001,"admin1",197081.5355025,155395.85412974,1.26825478457075
"NAM","no-estimate",0.001,"admin2",54916.706694434,54916.706694434,1
"NER","district-estimate",1e-04,"admin1",5598119.94505135,5598119.94505135,1
"NER","district-estimate",1e-04,"admin2",3742318.92693208,3742318.92693208,0.999999999999999
"NER","district-estimate",2e-04,"admin1",2694471.48994046,0,Inf
"NER","district-estimate",2e-04,"admin2",1508016.01096355,1508016.01096355,1
"NER","district-estimate",0.001,"admin2",252230.629621309,0,Inf
"NER","global-estimate",1e-04,"admin1",6055580.61074743,5598119.94505135,1.08171683890061
"NER","global-estimate",1e-04,"admin2",2691798.94338899,2784564.81638986,0.966685683718024
"NER","global-estimate",2e-04,"admin2",827361.911973757,827361.911973757,1
"NER","no-estimate",1e-04,"admin1",5598119.94505135,9564531.76211058,0.585299948213673
"NER","no-estimate",1e-04,"admin2",3523580.46908965,6735857.53029434,0.523107926977737
"NER","no-estimate",2e-04,"admin1",5935970.67365311,6055580.61074743,0.980247982021404
"NER","no-estimate",2e-04,"admin2",1508016.01096355,3526070.08655441,0.427676130634473
"NER","no-estimate",0.001,"admin2",566800.638641949,566800.638641949,1
"NGA","district-estimate",1e-04,"admin1",39522403.8615817,39767321.6040988,0.993841231125511
"NGA","district-estimate",1e-04,"admin2",29743257.544997,30200741.066494,0.984851910736568
"NGA","district-estimate",2e-04,"admin1",15240515.1906567,15240515.1906567,1
"NGA","district-estimate",2e-04,"admin2",16805843.4138535,17176745.7133975,0.978406718843448
"NGA","district-estimate",0.001,"admin2",2636930.17108809,2690445.33322196,0.980109180635245
"NGA","global-estimate",1e-04,"admin1",23929260.9756833,24540551.8866424,0.975090580122942
"NGA","global-estimate",1e-04,"admin2",24672566.4686437,25818468.4426064,0.9556169655644
"NGA","global-estimate",2e-04,"admin1",9822061.86219094,9822061.86219094,1
"NGA","global-estimate",2e-04,"admin2",11852359.0660319,12573980.4432635,0.942609949133637
"NGA","global-estimate",0.001,"admin2",1877804.21352744,1942664.44863589,0.966612744082493
"NGA","no-estimate",1e-04,"admin1",35890641.7815849,116858682.311236,0.307128585328349
"NGA","no-estimate",1e-04,"admin2",29468536.5247699,46403291.1991169,0.635052724995737
"NGA","no-estimate",2e-04,"admin1",15240515.1906567,35388409.1316638,0.430664038441339
"NGA","no-estimate",2e-04,"admin2",16394388.1512403,30068197.4069744,0.545240139584742
"NGA","no-estimate",0.001,"admin2",2446492.25012254,5958812.46896279,0.410567082428821
"RWA","district-estimate",1e-04,"admin2",760595.824002942,389335.141404776,1.9535760919464
"RWA","global-estimate",1e-04,"admin2",353934.667571617,0,Inf
"RWA","no-estimate",1e-04,"admin2",353934.667571617,1382574.05724003,0.255996896309599
"SLE","district-estimate",1e-04,"admin1",14898233.7385429,14898233.7385429,1
"SLE","district-estimate",1e-04,"admin2",12635447.6708294,12662150.1175,0.997891160156623
"SLE","district-estimate",2e-04,"admin1",11042582.812726,11042582.812726,1
"SLE","district-estimate",2e-04,"admin2",10426212.544023,10540349.3165575,0.989171443079666
"SLE","district-estimate",0.001,"admin1",2174521.03484118,2174521.03484117,1
"SLE","district-estimate",0.001,"admin2",2767043.41630189,2814401.3875639,0.983172986102383
"SLE","global-estimate",1e-04,"admin1",14936088.2829491,14973942.8273553,0.997471972155721
"SLE","global-estimate",1e-04,"admin2",11890987.4443949,12100187.5692728,0.98271100148818
"SLE","global-estimate",2e-04,"admin1",9096618.86746083,11004290.8068648,0.826642900220893
"SLE","global-estimate",2e-04,"admin2",7898569.0555886,8180995.24985871,0.96547777065694
"SLE","global-estimate",0.001,"admin1",1659962.71746255,1659962.71746255,1
"SLE","global-estimate",0.001,"admin2",1659962.73808873,1688553.90860692,0.983067659035075
"SLE","no-estimate",1e-04,"admin1",14898233.7385429,16273194.890757,0.915507608589198
"SLE","no-estimate",1e-04,"admin2",12613281.9709664,14126624.3643808,0.892873035030918
"SLE","no-estimate",2e-04,"admin1",11004290.8068648,14898233.7385429,0.738630565205581
"SLE","no-estimate",2e-04,"admin2",10470109.50843,12630244.6142845,0.828971237547411
"SLE","no-estimate",0.001,"admin1",1659962.71746255,6522180.50126067,0.254510392213416
"SLE","no-estimate",0.001,"admin2",2431060.73203899,5574033.25743431,0.436140334971376
"SOM","district-estimate",1e-04,"admin1",24481005.3371236,24686454.2477137,0.991677666280927
"SOM","district-estimate",1e-04,"admin2",17871389.4766827,17949204.7816313,0.995664693456045
"SOM","district-estimate",2e-04,"admin1",21082330.5438053,21221290.3822339,0.993451866690212
