"ISO","confirmation_lens","threshold","admin_level","prop_ac_lb","prop_ac_median","prop_ac_ub"
"AGO","district-estimate",1e-04,"admin1",0.225942363095519,0.331003563850824,0.407726303109278
"AGO","district-estimate",1e-04,"admin2",0.327130915619024,0.403470097156098,0.435938451742152
"AGO","district-estimate",2e-04,"admin1",0.0969523500484393,0.263036206323211,0.375637986800331
"AGO","district-estimate",2e-04,"admin2",0.200000402633755,0.361019114932355,0.401351617540135
"AGO","district-estimate",0.001,"admin1",1.42937012884371e-11,5.59149846547196e-10,0.100345320937563
"AGO","district-estimate",0.001,"admin2",0.0212391958174204,0.0973098175424773,0.238173169335143
"AGO","global-estimate",1e-04,"admin1",0.145376026841806,0.312276711405637,0.387786776973419
"AGO","global-estimate",1e-04,"admin2",0.282236058944163,0.39013166903991,0.426772899998824
"AGO","global-estimate",2e-04,"admin1",0.0289631889700323,0.268033799764391,0.530396258108779
"AGO","global-estimate",2e-04,"admin2",0.118690912689766,0.35674189800263,0.550947268721017
"AGO","global-estimate",0.001,"admin1",1.3695215068131e-11,4.39693416484938e-10,2.35198343574866e-09
"AGO","global-estimate",0.001,"admin2",0.00906987320990375,0.0599785114964135,0.19875384830744
"AGO","no-estimate",1e-04,"admin1",0.337613139213741,0.400088244012513,0.427137672811175
"AGO","no-estimate",1e-04,"admin2",0.397750782328451,0.4292917150696,0.443788276489983
"AGO","no-estimate",2e-04,"admin1",0.220435217940347,0.323877008635552,0.387777698010302
"AGO","no-estimate",2e-04,"admin2",0.326238249204936,0.39993090833568,0.430468466254362
"AGO","no-estimate",0.001,"admin1",1.9086695594705e-10,0.132314858396997,0.196448668056698
"AGO","no-estimate",0.001,"admin2",0.0615688273185687,0.23325999056839,0.316287525377454
"BDI","district-estimate",1e-04,"admin1",0.018813501302533,0.0947941968486391,0.184215577299456
"BDI","district-estimate",1e-04,"admin2",0.285400730888213,0.339062137143958,0.386199462633278
"BDI","district-estimate",2e-04,"admin1",5.44481795936427e-10,2.29106618355864e-09,0.0417947794941584
"BDI","district-estimate",2e-04,"admin2",0.118021731719055,0.198106621757522,0.276709059415508
"BDI","district-estimate",0.001,"admin1",4.77584255763951e-10,2.10591230252546e-09,4.44103570198906e-09
"BDI","district-estimate",0.001,"admin2",3.52599502804787e-10,9.7394121180788e-10,2.44041994569377e-09
"BDI","global-estimate",1e-04,"admin1",3.35673239989811e-09,0.0622091540078254,0.109839115028478
"BDI","global-estimate",1e-04,"admin2",0.22608816866902,0.305226049660772,0.352562512147886
"BDI","global-estimate",2e-04,"admin1",0.00726884821102796,0.144027506472428,0.355835875047801
"BDI","global-estimate",2e-04,"admin2",0.0379673904136218,0.212791835674898,0.413140477046377
"BDI","global-estimate",0.001,"admin1",4.77584255763951e-10,2.10591230252546e-09,4.44103570198906e-09
"BDI","global-estimate",0.001,"admin2",3.52599502804787e-10,9.7394121180788e-10,2.44041994569377e-09
"BDI","no-estimate",1e-04,"admin1",0.273317749573506,0.307152008483966,0.347463322975911
"BDI","no-estimate",1e-04,"admin2",0.369053115002771,0.399431956837654,0.420409262531224
"BDI","no-estimate",2e-04,"admin1",0.0419573442052464,0.0866458432713478,0.133269942197754
"BDI","no-estimate",2e-04,"admin2",0.280607197663815,0.329324626568075,0.365274721513795
"BDI","no-estimate",0.001,"admin1",4.77584255763951e-10,2.10591230252546e-09,4.44103570198906e-09
"BDI","no-estimate",0.001,"admin2",5.97666006305162e-10,0.0037250700240188,0.00672865476946946
"BEN","district-estimate",1e-04,"admin1",4.202183719568e-11,2.0317577705043e-09,6.800434350194e-09
"BEN","district-estimate",1e-04,"admin2",0.0328740273457053,0.132284362048154,0.196923013085586
"BEN","district-estimate",2e-04,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","district-estimate",2e-04,"admin2",4.86804301837163e-10,0.0861511867115797,0.159903377943487
"BEN","district-estimate",0.001,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","district-estimate",0.001,"admin2",3.85475207180545e-11,7.3111207584361e-10,3.09766827782536e-09
"BEN","global-estimate",1e-04,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","global-estimate",1e-04,"admin2",0.0253644246942629,0.110999519954812,0.174191594775218
"BEN","global-estimate",2e-04,"admin1",0.008382458546744,0.154948921496263,0.37776505228983
"BEN","global-estimate",2e-04,"admin2",0.00538797544814518,0.163120317537383,0.390458639114072
"BEN","global-estimate",0.001,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","global-estimate",0.001,"admin2",3.85475207180545e-11,7.3111207584361e-10,3.09766827782536e-09
"BEN","no-estimate",1e-04,"admin1",1.10961786313145e-09,0.0674377185816896,0.141161700323344
"BEN","no-estimate",1e-04,"admin2",0.189433506319887,0.258642744358433,0.299339893745118
"BEN","no-estimate",2e-04,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","no-estimate",2e-04,"admin2",0.0428720992365401,0.126917430307455,0.181848993730238
"BEN","no-estimate",0.001,"admin1",4.202183719568e-11,1.97689685960933e-09,6.7336358444829e-09
"BEN","no-estimate",0.001,"admin2",6.08583314268726e-11,2.04054975775375e-09,0.0820550601704863
"BFA","district-estimate",1e-04,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","district-estimate",1e-04,"admin2",3.37247042863664e-11,2.96577381737125e-09,0.0420444815886166
"BFA","district-estimate",2e-04,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","district-estimate",2e-04,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"BFA","district-estimate",0.001,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","district-estimate",0.001,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"BFA","global-estimate",1e-04,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","global-estimate",1e-04,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"BFA","global-estimate",2e-04,"admin1",0.0144541486644405,0.23050453970801,0.575656233062513
"BFA","global-estimate",2e-04,"admin2",0.0144541471129936,0.230504548842062,0.575656231025032
"BFA","global-estimate",0.001,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","global-estimate",0.001,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"BFA","no-estimate",1e-04,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","no-estimate",1e-04,"admin2",6.15394002167904e-11,6.39531297059914e-09,0.201289009595391
"BFA","no-estimate",2e-04,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","no-estimate",2e-04,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"BFA","no-estimate",0.001,"admin1",1.25401201792336e-11,1.55006184470579e-10,3.31260103682755e-09
"BFA","no-estimate",0.001,"admin2",3.25554724147722e-11,2.86659171244973e-09,8.98071432861653e-09
"CAF","district-estimate",1e-04,"admin1",2.75729352404913e-10,3.89893792118106e-09,0.397972021039187
"CAF","district-estimate",1e-04,"admin2",0.0456957962183206,0.143865737875078,0.399716435880499
"CAF","district-estimate",2e-04,"admin1",2.57444917249441e-10,2.4855671638175e-09,0.254721698780144
"CAF","district-estimate",2e-04,"admin2",6.26170576573777e-09,0.0944581771332849,0.302485920374099
"CAF","district-estimate",0.001,"admin1",1.29191143322656e-10,2.04971855807659e-09,9.41056042872939e-09
"CAF","district-estimate",0.001,"admin2",1.04859629236795e-09,4.74313624618012e-09,0.162446849749652
"CAF","global-estimate",1e-04,"admin1",2.75729352404913e-10,3.37662708493438e-09,0.259745313701919
"CAF","global-estimate",1e-04,"admin2",0.0464962277579786,0.137932043038262,0.365720128856787
"CAF","global-estimate",2e-04,"admin1",0.0170826734300071,0.253552989016046,0.717195337183093
"CAF","global-estimate",2e-04,"admin2",0.0139744973768409,0.284687216489276,0.685587849844545
"CAF","global-estimate",0.001,"admin1",1.29191143322656e-10,2.04971855807659e-09,9.41056042872939e-09
"CAF","global-estimate",0.001,"admin2",1.00873468780355e-09,3.70924973288318e-09,0.0300277913477541
"CAF","no-estimate",1e-04,"admin1",4.85557414027136e-10,0.0968685578422907,0.405574661962192
"CAF","no-estimate",1e-04,"admin2",0.065071225679703,0.163432087185244,0.401000602103338
"CAF","no-estimate",2e-04,"admin1",2.75729352404913e-10,3.36952777553273e-09,0.292623498121581
"CAF","no-estimate",2e-04,"admin2",0.0554860503073872,0.141731689486302,0.396026696312379
"CAF","no-estimate",0.001,"admin1",1.29191143322656e-10,2.04971855807659e-09,9.41056042872939e-09
"CAF","no-estimate",0.001,"admin2",1.72993444936692e-09,9.21611887157676e-09,0.166917837062465
"CIV","district-estimate",1e-04,"admin1",1.0549235445272e-10,0.0829005858075933,0.212042516932659
"CIV","district-estimate",1e-04,"admin2",1.10992157377556e-09,0.124049782320683,0.227074009337591
"CIV","district-estimate",2e-04,"admin1",1.4713545287649e-11,9.75087557056415e-10,0.136357490835825
"CIV","district-estimate",2e-04,"admin2",1.83459437954246e-11,2.91423556166507e-09,0.137629177254481
"CIV","district-estimate",0.001,"admin1",4.69712938704469e-12,2.36227576229725e-10,3.10281365695903e-09
"CIV","district-estimate",0.001,"admin2",3.26774763864938e-12,7.05371506393904e-10,3.37991666167308e-09
"CIV","global-estimate",1e-04,"admin1",1.37036181979186e-10,0.0789412486621897,0.133241527397326
"CIV","global-estimate",1e-04,"admin2",1.09711013113152e-09,0.103830218967564,0.218507681502583
"CIV","global-estimate",2e-04,"admin1",0.00495791656703081,0.156073642926569,0.455069508821924
"CIV","global-estimate",2e-04,"admin2",0.0116948159367065,0.154059295262339,0.452379696361849
"CIV","global-estimate",0.001,"admin1",4.69712938704469e-12,2.36227576229725e-10,3.10281365695903e-09
"CIV","global-estimate",0.001,"admin2",3.26774763864938e-12,7.05371506393904e-10,3.37991666167308e-09
"CIV","no-estimate",1e-04,"admin1",0.0619632728652727,0.147484178256782,0.236400032328096
"CIV","no-estimate",1e-04,"admin2",0.115604884734373,0.259838842681823,0.347245264345033
"CIV","no-estimate",2e-04,"admin1",3.97581587437689e-10,0.0803611152477987,0.133646439023137
"CIV","no-estimate",2e-04,"admin2",1.13099417862988e-09,0.145706032305487,0.217062900293194
"CIV","no-estimate",0.001,"admin1",4.69712938704469e-12,2.36227576229725e-10,3.10281365695903e-09
"CIV","no-estimate",0.001,"admin2",3.26774763864938e-12,7.05371506393904e-10,3.37991666167308e-09
"CMR","district-estimate",1e-04,"admin1",0.392861611313838,0.431798811770887,0.458525366390417
"CMR","district-estimate",1e-04,"admin2",0.404359043229634,0.430220968434997,0.450281817513741
"CMR","district-estimate",2e-04,"admin1",0.258536365149878,0.328557280391227,0.390521532968603
"CMR","district-estimate",2e-04,"admin2",0.311437893576436,0.362029808068523,0.394699268837861
"CMR","district-estimate",0.001,"admin1",5.67576171159296e-10,0.0269582332852344,0.15291185746768
"CMR","district-estimate",0.001,"admin2",7.72594700949392e-10,0.127133430697226,0.247539676084315
"CMR","global-estimate",1e-04,"admin1",0.326701749242445,0.409190986223205,0.446330100933899
"CMR","global-estimate",1e-04,"admin2",0.354167015199939,0.408486076414055,0.44234003891366
"CMR","global-estimate",2e-04,"admin1",0.0708203215060321,0.320863903738157,0.573122655174023
"CMR","global-estimate",2e-04,"admin2",0.0893675899297421,0.369648115377576,0.582384819486767
"CMR","global-estimate",0.001,"admin1",4.55516264693235e-10,1.79844476379459e-09,0.0240443471126009
"CMR","global-estimate",0.001,"admin2",2.67227256441831e-10,0.0707910929889695,0.197080384408225
"CMR","no-estimate",1e-04,"admin1",0.449814477832417,0.471600112739607,0.488075493230743
"CMR","no-estimate",1e-04,"admin2",0.459864205257512,0.467645399971121,0.47486133970287
"CMR","no-estimate",2e-04,"admin1",0.399180140781712,0.431744754754458,0.457595472777834
"CMR","no-estimate",2e-04,"admin2",0.402575443550455,0.429259792294245,0.445615659149105
"CMR","no-estimate",0.001,"admin1",0.0181818253885253,0.115609580978187,0.173504474765885
"CMR","no-estimate",0.001,"admin2",0.137862390875004,0.247994518154956,0.323253452643102
"COD","district-estimate",1e-04,"admin1",0.383931438088111,0.422928447571892,0.447619847305554
"COD","district-estimate",1e-04,"admin2",0.41453341600593,0.43000858889291,0.444528513652926
"COD","district-estimate",2e-04,"admin1",0.246846985527263,0.319600371416675,0.374172769690129
"COD","district-estimate",2e-04,"admin2",0.35248751945304,0.381893651970324,0.407070489888488
"COD","district-estimate",0.001,"admin1",9.40569895694506e-14,0.0323760584626554,0.0970116665848529
"COD","district-estimate",0.001,"admin2",0.119116494675244,0.215190771473792,0.284794090866359
"COD","global-estimate",1e-04,"admin1",0.350679737946862,0.403416678881727,0.43727103537314
"COD","global-estimate",1e-04,"admin2",0.380673597260988,0.416251922186007,0.439631717817654
"COD","global-estimate",2e-04,"admin1",0.0472466413266622,0.300197702467425,0.493216928852688
"COD","global-estimate",2e-04,"admin2",0.199436674844147,0.39648299851582,0.541374611954167
"COD","global-estimate",0.001,"admin1",5.7425962093982e-14,2.05181082284118e-12,0.0389762786894975
"COD","global-estimate",0.001,"admin2",0.0897414982152336,0.191443853181512,0.247119564973822
"COD","no-estimate",1e-04,"admin1",0.449846848076158,0.457369008875188,0.463063797664509
"COD","no-estimate",1e-04,"admin2",0.441744087863536,0.452348885044487,0.458377286113194
"COD","no-estimate",2e-04,"admin1",0.394391887992366,0.417634235233291,0.444410018944201
"COD","no-estimate",2e-04,"admin2",0.413125086924436,0.429568665583682,0.443272668146619
"COD","no-estimate",0.001,"admin1",0.0394547841767328,0.0919425513152152,0.156099180266563
"COD","no-estimate",0.001,"admin2",0.240048094677413,0.289681574013138,0.327314758909497
"COG","district-estimate",1e-04,"admin1",0.314438689706296,0.468792257611533,0.488461074528743
"COG","district-estimate",1e-04,"admin2",0.40225430699289,0.475298515230018,0.489188719681044
"COG","district-estimate",2e-04,"admin1",0.110019196292745,0.306547501420145,0.470894736402863
"COG","district-estimate",2e-04,"admin2",0.309694962015378,0.39536581964509,0.473431325215259
"COG","district-estimate",0.001,"admin1",1.64894431495964e-10,1.12045460918982e-09,0.132827581566357
"COG","district-estimate",0.001,"admin2",0.0353983004369434,0.16348026137796,0.299509030938147
"COG","global-estimate",1e-04,"admin1",0.30522417934109,0.451175662803319,0.480360356531032
"COG","global-estimate",1e-04,"admin2",0.349113198731969,0.450692030370822,0.489081990794544
"COG","global-estimate",2e-04,"admin1",0.050092452657513,0.371822816116981,0.673764226247842
"COG","global-estimate",2e-04,"admin2",0.0810451615088687,0.41371089306513,0.657416855092624
"COG","global-estimate",0.001,"admin1",1.38838241929844e-10,9.09578011978361e-10,3.0626420846154e-09
"COG","global-estimate",0.001,"admin2",0.0512023158716474,0.153980556031931,0.202044684993446
"COG","no-estimate",1e-04,"admin1",0.472827241192587,0.484043097209083,0.489677650320391
"COG","no-estimate",1e-04,"admin2",0.472529741511715,0.483465175088881,0.489668227206226
"COG","no-estimate",2e-04,"admin1",0.313565166231397,0.452651009453844,0.479846715236466
"COG","no-estimate",2e-04,"admin2",0.424920016822859,0.481109864458834,0.489502937556152
"COG","no-estimate",0.001,"admin1",2.38220001853625e-10,1.73771955536183e-09,0.289133430449745
"COG","no-estimate",0.001,"admin2",0.122500856032183,0.262421072051103,0.329610576355782
"ETH","district-estimate",1e-04,"admin1",6.71514083910167e-12,0.0937584694634455,0.239074798643887
"ETH","district-estimate",1e-04,"admin2",0.194565233525176,0.306910083944569,0.400164621396548
