"ISO","confirmation_lens","admin_level","threshold","cumu_clinical_cases_lb","cumu_clinical_cases_median","cumu_clinical_cases_ub","n_rdt_tested_lb","n_rdt_tested_median","n_rdt_tested_ub","n_culture_tested_lb","n_culture_tested_median","n_culture_tested_ub"
"AGO","district-estimate","admin1",1e-04,29388.9788181239,34463.1432282818,40883.3295905967,21747.8443254117,25502.7259889285,30253.6638970416,5845.82055467066,6855.13274582399,8132.18485552477
"AGO","district-estimate","admin1",2e-04,30442.8504632696,38289.9180077436,50452.6610254995,22527.7093428195,28334.5393257303,37334.9691588696,6055.44827134988,7616.3241707563,10035.6397099042
"AGO","district-estimate","admin1",0.001,40954.5739007328,54368.344898734,60831.510648706,30306.3846865423,40232.5752250632,45015.3178800424,8146.35620374256,10814.516220497,12100.1174461554
"AGO","district-estimate","admin2",1e-04,25360.2324096495,31318.6423181595,35581.4139442797,18766.5719831406,23175.795315438,26330.246318767,5044.4545490682,6229.65378078974,7077.57021048456
"AGO","district-estimate","admin2",2e-04,28978.5569269307,34015.5351672849,39240.3166478085,21444.1321259287,25171.4960237908,29037.8343193783,5764.18271544964,6766.09813119497,7805.36986504888
"AGO","district-estimate","admin2",0.001,39178.7141828724,46601.1345809852,55133.9734737783,28992.2484953256,34484.839589929,40799.1403705959,7793.11639554351,9269.52488177293,10966.8089316162
"AGO","global-estimate","admin1",1e-04,30004.7619986983,35690.6979355176,41423.2055251104,0,0,0,9001.42859960949,10707.2093806553,12426.9616575331
"AGO","global-estimate","admin1",2e-04,33322.3820673627,40947.0589821409,53229.8970641622,0,0,0,9996.71462020881,12284.1176946423,15968.9691192487
"AGO","global-estimate","admin1",0.001,40954.5739007328,54566.85692995,60878.7539468647,0,0,0,12286.3721702198,16370.057078985,18263.6261840594
"AGO","global-estimate","admin2",1e-04,27205.6414965061,31996.9357817003,36656.4605186348,0,0,0,8161.69244895183,9599.08073451009,10996.9381555904
"AGO","global-estimate","admin2",2e-04,24298.8253116074,34248.0594250304,48672.9694423374,0,0,0,7289.64759348222,10274.4178275091,14601.8908327012
"AGO","global-estimate","admin2",0.001,39404.8322780578,47942.8015115002,57674.5729765069,0,0,0,11821.4496834173,14382.8404534501,17302.3718929521
"AGO","no-estimate","admin1",1e-04,26060.1439388933,31714.2250027866,35322.6086728564,0,0,0,0,0,0
"AGO","no-estimate","admin1",2e-04,29774.9916385692,34858.8075995943,40906.7421546843,0,0,0,0,0,0
"AGO","no-estimate","admin1",0.001,39004.8727248976,46302.8243666618,57263.9328803394,0,0,0,0,0,0
"AGO","no-estimate","admin2",1e-04,23215.8128420934,30285.6691789044,34060.0864982246,0,0,0,0,0,0
"AGO","no-estimate","admin2",2e-04,26723.0987820694,31550.7378328242,35398.0603149484,0,0,0,0,0,0
"AGO","no-estimate","admin2",0.001,34670.1639290547,39785.7154593458,47257.7400193214,0,0,0,0,0,0
"BDI","district-estimate","admin1",1e-04,10524.8515658586,11860.4528848539,13650.7547451316,7788.39015873536,8776.73513479188,10101.5585113974,2093.51927466807,2359.18640423206,2715.29892786362
"BDI","district-estimate","admin1",2e-04,12275.2868025286,13020.7029189369,13944.9515049133,9083.71223387117,9635.32016001331,10319.2641136358,2441.70184846457,2589.97405901158,2773.81819374531
"BDI","district-estimate","admin1",0.001,12356.4043482072,13070.4077703474,13944.9515049133,9143.73921767333,9672.10175005708,10319.2641136358,2457.83710171059,2599.86095041534,2773.81819374531
"BDI","district-estimate","admin2",1e-04,7408.69286477081,8089.39197742922,9042.13246662395,5482.4327199304,5986.15006329762,6691.17802530172,1473.67791511729,1609.0771370144,1798.5886532011
"BDI","district-estimate","admin2",2e-04,8884.75410763308,9901.3346719805,10934.1427083485,6574.71803964848,7326.98765726557,8091.26560417789,1767.28420905751,1969.49428227299,2174.93219440302
"BDI","district-estimate","admin2",0.001,11626.1336958533,12194.4582117761,12824.3153761703,8603.33893493144,9023.89907671431,9489.99337836602,2312.57750570957,2425.62407182081,2550.91022010479
"BDI","global-estimate","admin1",1e-04,11489.2149984933,12437.5703326107,13424.4615960452,0,0,0,3446.76449954799,3731.27109978321,4027.33847881356
