"confirmation_lens","admin_level","threshold","total_cost_lb","total_cost_median","total_cost_ub"
"district-estimate","admin1",1e-04,1617021126.79873,1748731429.27207,1939326416.60114
"district-estimate","admin1",2e-04,837830480.159181,947274131.819096,1063923978.45589
"district-estimate","admin1",0.001,51776235.9524881,82220006.0714611,148038773.680948
"district-estimate","admin2",1e-04,1239490894.96725,1303678761.24161,1356553122.78143
"district-estimate","admin2",2e-04,734150261.082184,787820336.566843,854909440.871776
"district-estimate","admin2",0.001,125528334.174578,152406006.594673,189628519.90799
"global-estimate","admin1",1e-04,1373738119.42749,1481454633.72973,1591408415.77664
"global-estimate","admin1",2e-04,598270379.078222,707715381.576534,815658411.934942
"global-estimate","admin1",0.001,44426841.6358505,58264822.0773351,85466980.0859178
"global-estimate","admin2",1e-04,1066041406.33543,1141053424.91539,1210564531.56784
"global-estimate","admin2",2e-04,513616688.887083,585445128.286422,679610897.098789
"global-estimate","admin2",0.001,101184413.909067,117739867.609748,149998882.120243
"no-estimate","admin1",1e-04,2680919411.50106,2909796896.66275,3070807629.76649
"no-estimate","admin1",2e-04,1611510665.45273,1702413334.56769,1852453553.24524
"no-estimate","admin1",0.001,246613945.839455,305633929.0058,351028355.744496
"no-estimate","admin2",1e-04,1788027782.64532,1849210235.55918,1945472388.21962
"no-estimate","admin2",2e-04,1248567463.16769,1299020663.17536,1339997418.1473
"no-estimate","admin2",0.001,282140936.198776,307914268.979655,335352857.786287
