"threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
1e-04,"district-estimate","admin1",2554.34672221764,2796.79517438341,3105.76626548419
1e-04,"district-estimate","admin2",1642.93939852101,1818.83852202535,2006.4500556021
1e-04,"global-estimate","admin1",2298.64815861024,2498.4322128567,2740.6916933281
1e-04,"global-estimate","admin2",1522.79773309937,1662.54781985043,1796.06274477124
1e-04,"no-estimate","admin1",3694.13278285407,4011.77677830214,4379.7007011396
1e-04,"no-estimate","admin2",2152.91459652677,2451.6625711752,2707.10590473179
2e-04,"district-estimate","admin1",1701.83883687791,1885.85895852801,2131.82177599591
2e-04,"district-estimate","admin2",1129.96381379536,1259.50457958749,1399.53692739962
2e-04,"global-estimate","admin1",1079.16378915563,1391.7498061442,1960.84315924503
2e-04,"global-estimate","admin2",700.141408030694,894.610199142286,1163.98049698888
2e-04,"no-estimate","admin1",2494.89668269163,2759.15715803912,3061.5433773076
2e-04,"no-estimate","admin2",1657.8418297142,1841.05806247809,2041.63890803758
0.001,"district-estimate","admin1",344.210545771459,569.663361878899,816.173583274224
0.001,"district-estimate","admin2",376.052329374647,437.567072055058,501.420611395628
0.001,"global-estimate","admin1",307.701893436054,488.416564734807,696.035611835414
0.001,"global-estimate","admin2",327.516419516106,392.131819943803,456.595392623822
0.001,"no-estimate","admin1",928.53637106112,1128.16118450901,1360.93224235274
0.001,"no-estimate","admin2",603.144894566005,684.825083194364,780.331146311415
