"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"CAF",1e-04,"district-estimate","admin1",3590.92720478481,7076.83395114434,13114.0218745101
"CAF",1e-04,"global-estimate","admin1",3572.40148406773,6374.23062781634,10787.2237612814
"CAF",1e-04,"no-estimate","admin1",3906.93551403004,10743.7204584456,34791.3328694602
"CAF",2e-04,"district-estimate","admin1",3450.54160419502,5487.80806908397,6763.47738048384
"CAF",2e-04,"global-estimate","admin1",1345.52990989402,2480.27620829087,6292.6492785892
"CAF",2e-04,"no-estimate","admin1",3619.91680609143,6295.16623172785,10996.2547165256
"CAF",0.001,"district-estimate","admin1",NA,NA,NA
"CAF",0.001,"global-estimate","admin1",NA,NA,NA
"CAF",0.001,"no-estimate","admin1",NA,NA,NA
"CAF",1e-04,"district-estimate","admin2",979.654435546632,3797.98892583087,7392.923052632
"CAF",1e-04,"global-estimate","admin2",973.445664018013,3860.85818808796,7392.41212183528
"CAF",1e-04,"no-estimate","admin2",1011.76414215115,4172.20155759759,11303.2690306306
"CAF",2e-04,"district-estimate","admin2",970.657404053844,3622.30849817597,6717.13895624023
"CAF",2e-04,"global-estimate","admin2",195.825393314874,2154.94457840478,-7121.6193006848
"CAF",2e-04,"no-estimate","admin2",973.445664018013,3845.40738706749,7426.37331711738
"CAF",0.001,"district-estimate","admin2",737.747912690236,1159.77292137006,1277.33624571978
"CAF",0.001,"global-estimate","admin2",717.035252841163,858.450203343503,1574.42540530897
"CAF",0.001,"no-estimate","admin2",849.590289981992,1518.74923871454,5083.72100403599
"CIV",1e-04,"district-estimate","admin1",4478.78044701987,7275.54608064932,12521.8510971017
"CIV",1e-04,"global-estimate","admin1",4519.50579128906,7580.69153133316,14210.8500020193
"CIV",1e-04,"no-estimate","admin1",5071.01053552831,11174.2558805705,25500.446030846
"CIV",2e-04,"district-estimate","admin1",4088.54967720657,6122.87903214851,6614.79757308383
"CIV",2e-04,"global-estimate","admin1",1291.85592641837,1291.85592641837,1291.85592641837
"CIV",2e-04,"no-estimate","admin1",4578.11097497543,7856.98619771312,17839.0506242046
"CIV",0.001,"district-estimate","admin1",NA,NA,NA
"CIV",0.001,"global-estimate","admin1",NA,NA,NA
"CIV",0.001,"no-estimate","admin1",NA,NA,NA
"CIV",1e-04,"district-estimate","admin2",4549.98918571401,7859.77558649321,12236.6094112015
"CIV",1e-04,"global-estimate","admin2",4739.59900370868,7902.67474759924,14202.1338922069
"CIV",1e-04,"no-estimate","admin2",6332.67192464215,10567.9659214929,21493.5283817659
"CIV",2e-04,"district-estimate","admin2",4117.53525453344,6169.14145632513,6614.72923562829
"CIV",2e-04,"global-estimate","admin2",2007.52322205295,17238.0095825827,-67287.6549049966
"CIV",2e-04,"no-estimate","admin2",4600.64165332756,8196.6334765604,14863.3629266008
"CIV",0.001,"district-estimate","admin2",NA,NA,NA
"CIV",0.001,"global-estimate","admin2",NA,NA,NA
"CIV",0.001,"no-estimate","admin2",NA,NA,NA
"CMR",1e-04,"district-estimate","admin1",2202.59468698025,3146.52490825308,4318.12447008562
"CMR",1e-04,"global-estimate","admin1",2137.67881390022,2821.04802936568,3808.46613058008
"CMR",1e-04,"no-estimate","admin1",2734.68645564907,3701.09318145127,4721.79778070532
"CMR",2e-04,"district-estimate","admin1",1544.9708593905,2275.37702813467,3417.60803018032
"CMR",2e-04,"global-estimate","admin1",910.252233831652,1900.46204741774,6265.5415621332
"CMR",2e-04,"no-estimate","admin1",2168.596331311,3149.89216469483,4358.58566662373
"CMR",0.001,"district-estimate","admin1",797.133559458912,1142.85074728009,1319.06279616189
"CMR",0.001,"global-estimate","admin1",830.646463757769,832.066369529087,833.491137982093
"CMR",0.001,"no-estimate","admin1",997.625963582933,1866.1890476435,3565.40493328379
"CMR",1e-04,"district-estimate","admin2",1670.64176407845,2365.72550681619,3213.22264351802
"CMR",1e-04,"global-estimate","admin2",1706.33791636711,2085.95047103005,2728.29611273387
"CMR",1e-04,"no-estimate","admin2",2225.02761525057,3016.67018622358,3917.509179488
"CMR",2e-04,"district-estimate","admin2",1096.20769686424,1575.18244798782,2212.63683501274
"CMR",2e-04,"global-estimate","admin2",499.310663295365,1124.4688835782,2426.66887091472
"CMR",2e-04,"no-estimate","admin2",1792.57415299281,2437.01505374581,3203.1633593402
"CMR",0.001,"district-estimate","admin2",551.48748788699,889.279396602661,1244.00276789252
"CMR",0.001,"global-estimate","admin2",569.305031572551,846.972842851827,1736.85205723989
"CMR",0.001,"no-estimate","admin2",664.253079526031,1088.01624304992,1709.04182797139
"COD",1e-04,"district-estimate","admin1",2532.71584671271,3256.09761303327,4007.79001548554
"COD",1e-04,"global-estimate","admin1",2513.75900656912,3167.12366689319,4084.37571938674
"COD",1e-04,"no-estimate","admin1",2759.77462243467,3559.67233731465,4353.05839801457
"COD",2e-04,"district-estimate","admin1",1972.21934591924,2797.10990697651,3980.30841128797
"COD",2e-04,"global-estimate","admin1",1104.58921355206,2061.83259057599,7427.25977673296
"COD",2e-04,"no-estimate","admin1",2598.88114707067,3221.32869975112,4138.21530426178
"COD",0.001,"district-estimate","admin1",946.753086039982,1158.25342557954,1339.91154705619
"COD",0.001,"global-estimate","admin1",940.906064853506,1043.31186330548,1287.93137012882
"COD",0.001,"no-estimate","admin1",1257.11431486141,1916.14778830269,3429.65137077904
"COD",1e-04,"district-estimate","admin2",1318.55320946629,1730.13648060357,2347.15767184614
"COD",1e-04,"global-estimate","admin2",1280.74567047019,1592.91477494362,1868.70358292716
"COD",1e-04,"no-estimate","admin2",1611.32372392803,2149.72622154697,2713.71027177785
"COD",2e-04,"district-estimate","admin2",940.244235321638,1219.50208052442,1629.21047015212
"COD",2e-04,"global-estimate","admin2",457.478072085375,902.469523082403,1473.79909943195
"COD",2e-04,"no-estimate","admin2",1327.17218709814,1755.89434243157,2263.76941218228
"COD",0.001,"district-estimate","admin2",334.432869441365,465.077336993435,698.352010696276
"COD",0.001,"global-estimate","admin2",334.691970999635,425.39562003403,619.531105308058
"COD",0.001,"no-estimate","admin2",476.546225970808,694.947718957016,1059.79018506875
"COG",1e-04,"district-estimate","admin1",1325.54861459959,3373.67203669506,5702.40982679389
"COG",1e-04,"global-estimate","admin1",1325.54861459959,3360.38442732857,6147.81879149041
"COG",1e-04,"no-estimate","admin1",1417.56592280362,3395.88133903304,5955.08305766257
"COG",2e-04,"district-estimate","admin1",1197.511722649,3345.50592203892,5169.01408064906
"COG",2e-04,"global-estimate","admin1",166.28755342315,1909.40226347033,-3565.19512706742
"COG",2e-04,"no-estimate","admin1",1325.54861459959,3358.7624381169,5926.33290779044
"COG",0.001,"district-estimate","admin1",1133.50180488682,1208.76430338238,1282.64663612787
"COG",0.001,"global-estimate","admin1",NA,NA,NA
"COG",0.001,"no-estimate","admin1",1103.51921393032,1427.3837509154,3353.65509349007
"COG",1e-04,"district-estimate","admin2",1268.74568878653,1980.79885575819,3242.76693842082
"COG",1e-04,"global-estimate","admin2",1325.31745372835,1939.44327711893,3117.5689610412
"COG",1e-04,"no-estimate","admin2",1339.20315414819,2092.53166179685,3650.30462700379
"COG",2e-04,"district-estimate","admin2",910.772997567084,1607.38414030155,2761.52685082531
"COG",2e-04,"global-estimate","admin2",370.16112821502,1185.0331616537,3897.99623022138
"COG",2e-04,"no-estimate","admin2",1340.24171753563,2047.51970875207,3238.94616723609
"COG",0.001,"district-estimate","admin2",440.77866024938,704.373264034766,1257.58958168048
"COG",0.001,"global-estimate","admin2",443.226877082578,692.664206869578,1293.73720387798
"COG",0.001,"no-estimate","admin2",484.522222604603,860.536270992516,1769.04953625513
"ETH",1e-04,"district-estimate","admin1",3758.44233092846,6878.99672494662,12342.1488515243
"ETH",1e-04,"global-estimate","admin1",3736.46465355704,6617.33910751168,12635.0042277989
"ETH",1e-04,"no-estimate","admin1",4469.69665376408,11687.8382048657,22569.4736767004
"ETH",2e-04,"district-estimate","admin1",3234.65250739121,5560.81111334207,6575.51750657357
"ETH",2e-04,"global-estimate","admin1",1227.71995477341,1464.89355643345,3659.95519923332
"ETH",2e-04,"no-estimate","admin1",3753.27064542212,6537.02476431675,12266.7531538519
"ETH",0.001,"district-estimate","admin1",NA,NA,NA
"ETH",0.001,"global-estimate","admin1",NA,NA,NA
"ETH",0.001,"no-estimate","admin1",NA,NA,NA
"ETH",1e-04,"district-estimate","admin2",1819.87580094179,3724.15275659009,5678.84431115463
"ETH",1e-04,"global-estimate","admin2",1691.10824824269,3529.90066055156,5710.86098836276
"ETH",1e-04,"no-estimate","admin2",3182.91345212967,5181.62720498311,8209.79777395014
"ETH",2e-04,"district-estimate","admin2",843.49292475255,2862.83578085384,5162.63243513679
"ETH",2e-04,"global-estimate","admin2",86.4494974944878,1383.11940744812,11055.5007447273
"ETH",2e-04,"no-estimate","admin2",2035.92232112067,3789.35546685599,6191.07835900104
"ETH",0.001,"district-estimate","admin2",589.552813090993,1301.37801872736,10947984252.1251
"ETH",0.001,"global-estimate","admin2",584.756610733424,3248736006.21466,11202399653.6234
"ETH",0.001,"no-estimate","admin2",632.954970008346,1568.31777790846,3757.45719968699
"GHA",1e-04,"district-estimate","admin1",2768.228577592,3404.03157574921,4218.18596396543
"GHA",1e-04,"global-estimate","admin1",2631.83660753068,3027.24236349188,3441.99148118256
"GHA",1e-04,"no-estimate","admin1",3406.29280824272,3996.60135861361,4811.62725386635
"GHA",2e-04,"district-estimate","admin1",1939.39823619276,2419.04693540812,3156.13977794643
"GHA",2e-04,"global-estimate","admin1",968.15211109815,1910.26109645628,4083.77739329989
"GHA",2e-04,"no-estimate","admin1",2743.58264001825,3371.57270020675,4195.88430714092
"GHA",0.001,"district-estimate","admin1",NA,NA,NA
"GHA",0.001,"global-estimate","admin1",NA,NA,NA
