"threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub","test_costeff_lb","test_costeff_median","test_costeff_ub","costeff_ocv_test_lb","costeff_ocv_test_median","costeff_ocv_test_ub"
1e-04,"district-estimate","admin1",2554.34672221764,2796.79517438341,3105.76626548419,11.8062067615135,12.6981138234387,14.2429543642846,2566.57246311916,2809.28816853424,3119.85913053857
1e-04,"district-estimate","admin2",1642.93939852101,1818.83852202535,2006.4500556021,9.42300490094908,10.2566283993003,11.294220151174,1652.58273509108,1828.89748640727,2017.3989003282
1e-04,"global-estimate","admin1",2298.64815861024,2498.4322128567,2740.6916933281,12.4263669578932,13.643981043377,15.288420815446,2311.51878230971,2512.10952827388,2754.96822622081
1e-04,"global-estimate","admin2",1522.79773309937,1662.54781985043,1796.06274477124,9.62826061500934,10.6597907769253,11.944886213263,1532.98677985874,1673.19623740049,1807.25814467014
1e-04,"no-estimate","admin1",3694.13278285407,4011.77677830214,4379.7007011396,0,0,0,3694.13430432674,4011.77686960049,4379.70094959522
1e-04,"no-estimate","admin2",2152.91459652677,2451.6625711752,2707.10590473179,0,0,0,2152.91469106927,2451.66268984213,2707.11901648203
2e-04,"district-estimate","admin1",1701.83883687791,1885.85895852801,2131.82177599591,15.9709791907213,18.1445931477979,21.0546025706033,1719.00440041222,1904.05682973422,2148.7095105587
2e-04,"district-estimate","admin2",1129.96381379536,1259.50457958749,1399.53692739962,11.5943336515806,12.8508463536273,14.2999294181437,1141.99442883459,1272.11900468337,1413.40288790103
2e-04,"global-estimate","admin1",1079.16378915563,1391.7498061442,1960.84315924503,13.8735527007476,18.4717214398508,28.471818767564,1096.82063527405,1411.51218771809,1988.37504126068
2e-04,"global-estimate","admin2",700.141408030694,894.610199142286,1163.98049698888,9.28272364107475,12.278088032669,18.1806859414648,709.761022866369,908.162537279475,1180.4966091885
2e-04,"no-estimate","admin1",2494.89668269163,2759.15715803912,3061.5433773076,0,0,0,2494.89669460428,2759.15728121474,3061.5438928069
2e-04,"no-estimate","admin2",1657.8418297142,1841.05806247809,2041.63890803758,0,0,0,1657.84315313243,1841.05806858067,2041.64010645029
0.001,"district-estimate","admin1",344.210545771459,569.663361878899,816.173583274224,60.3935081477296,93.1015496976437,145.169985104002,433.189887701428,664.845258979764,910.615802772126
0.001,"district-estimate","admin2",376.052329374647,437.567072055058,501.420611395628,25.395309715526,31.231394604207,38.6238128948072,404.712438548836,468.306662801788,542.801106085341
0.001,"global-estimate","admin1",307.701893436054,488.416564734807,696.035611835414,77.9635826406508,114.707062121514,206.834882168959,393.960450515462,612.686881839981,868.155095971553
0.001,"global-estimate","admin2",327.516419516106,392.131819943803,456.595392623822,29.2477323927118,36.7030423975137,47.0903557532609,362.611751647473,429.428177644727,501.154815160642
0.001,"no-estimate","admin1",928.53637106112,1128.16118450901,1360.93224235274,0,0,0,928.545605096769,1128.16118940837,1360.93331895284
0.001,"no-estimate","admin2",603.144894566005,684.825083194364,780.331146311415,0,0,0,603.145212576408,684.82522063995,780.338175650044
