"confirmation_lens","admin_level","threshold","n_rdt_lb","n_rdt_median","n_rdt_ub","n_culture_lb","n_culture_median","n_culture_ub","n_tested_lb","n_tested_median","n_tested_ub","prop_tested_lb","prop_tested_median","prop_tested_ub"
"district-estimate","admin1",1e-04,1421515.30743103,1473165.69178357,1582145.3741357,382103.314637461,395986.937951423,425280.676567677,1421515.30743103,1473165.69178357,1582145.3741357,0.74,0.74,0.74
"district-estimate","admin1",2e-04,1609460.62346828,1663731.64803547,1773156.866335,432623.015588274,447211.066991935,476624.565670848,1609460.62346828,1663731.64803547,1773156.866335,0.74,0.74,0.74
"district-estimate","admin1",0.001,2096980.49268027,2179250.07968653,2329158.31181316,563668.356432457,585782.421419739,626077.754215376,2096980.49268027,2179250.07968653,2329158.31181316,0.74,0.74,0.74
"district-estimate","admin2",1e-04,1314210.65765947,1341101.87104117,1416728.32774508,353259.824778866,360488.182935866,380816.574497877,1314210.65765947,1341101.87104117,1416728.32774508,0.74,0.74,0.74
"district-estimate","admin2",2e-04,1438424.84461609,1472759.35966022,1555504.45325238,386648.598232806,395877.715876667,418119.597034241,1438424.84461609,1472759.35966022,1555504.45325238,0.74,0.74,0.74
"district-estimate","admin2",0.001,1843396.91878387,1892734.79629248,1985950.86959008,495505.091769104,508767.113243419,533823.593745814,1843396.91878387,1892734.79629248,1985950.86959008,0.74,0.74,0.74
"global-estimate","admin1",1e-04,0,0,0,594388.540094047,613629.864689323,661259.630992281,594388.540094047,613629.864689323,661259.630992281,0.3,0.3,0.3
"global-estimate","admin1",2e-04,0,0,0,688356.554739736,719525.789938435,772351.133034225,688356.554739736,719525.789938435,772351.133034225,0.3,0.3,0.3
"global-estimate","admin1",0.001,0,0,0,861242.582508892,893574.049082855,974851.245042489,861242.582508892,893574.049082855,974851.245042489,0.3,0.3,0.3
"global-estimate","admin2",1e-04,0,0,0,543851.471918979,555961.15173839,585674.798654763,543851.471918979,555961.15173839,585674.798654763,0.3,0.3,0.3
"global-estimate","admin2",2e-04,0,0,0,563539.154316143,622234.398004797,715579.653862723,563539.154316143,622234.398004797,715579.653862723,0.3,0.3,0.3
"global-estimate","admin2",0.001,0,0,0,766396.169106798,785591.394194004,828371.159924518,766396.169106798,785591.394194004,828371.159924518,0.3,0.3,0.3
"no-estimate","admin1",1e-04,0,0,0,0,0,0,0,0,0,0,0,0
"no-estimate","admin1",2e-04,0,0,0,0,0,0,0,0,0,0,0,0
"no-estimate","admin1",0.001,0,0,0,0,0,0,0,0,0,0,0,0
"no-estimate","admin2",1e-04,0,0,0,0,0,0,0,0,0,0,0,0
"no-estimate","admin2",2e-04,0,0,0,0,0,0,0,0,0,0,0,0
"no-estimate","admin2",0.001,0,0,0,0,0,0,0,0,0,0,0,0
