"threshold","confirmation_lens","admin_level","icer_lb","icer_median","icer_ub","ISO"
2e-04,"district-estimate","admin2",2959.09351455434,5625.72494212096,11231.7517297061,"ETH"
2e-04,"global-estimate","admin1",-29053.9724862794,3642.37696269221,39116.4303731444,"ETH"
2e-04,"global-estimate","admin2",-79715.3969289381,3347.15221658906,72850.4283227434,"ETH"
2e-04,"no-estimate","admin1",-1309.9648365018,2376.17603509383,5123.84739834266,"ETH"
2e-04,"no-estimate","admin2",NA,NA,NA,"ETH"
0.001,"district-estimate","admin1",2014.67936547738,3759.4409895707,6157.21602525456,"ETH"
0.001,"district-estimate","admin2",2316.4533309191,3991.06431044944,6580.51664794378,"ETH"
0.001,"global-estimate","admin1",2015.16842104214,3760.07999983858,6158.01129756301,"ETH"
0.001,"global-estimate","admin2",2239.90479620281,3796.20863708003,6157.83480839984,"ETH"
0.001,"no-estimate","admin1",2035.93262482386,3789.39759550882,6191.77677834778,"ETH"
0.001,"no-estimate","admin2",2674.44379625912,4366.85633440578,7986.23267955939,"ETH"
1e-04,"district-estimate","admin1",-189177.266720641,-19214.5534214357,-3889.41718448209,"GHA"
1e-04,"district-estimate","admin2",-41084.4365084385,2730.14660025104,43956.6727934741,"GHA"
1e-04,"global-estimate","admin1",-28237.338739973,-3698.52212056452,453.315119094031,"GHA"
1e-04,"global-estimate","admin2",3850.58204108613,5360.44146306443,7930.9442718435,"GHA"
1e-04,"no-estimate","admin1",21630.6534480408,33008.3385889765,63353.4469113121,"GHA"
1e-04,"no-estimate","admin2",6640.15477131369,7724.50174561896,9149.08213244372,"GHA"
2e-04,"district-estimate","admin1",1012.0678088134,2002.24780288446,2856.2909577895,"GHA"
2e-04,"district-estimate","admin2",4363.3570345909,5771.90880638032,7245.50978533094,"GHA"
2e-04,"global-estimate","admin1",-10284.2522390711,2665.88203325066,45575.8383603712,"GHA"
2e-04,"global-estimate","admin2",-142412.786487219,4754.16759048261,140029.054415882,"GHA"
2e-04,"no-estimate","admin1",-46548.179194288,-15045.5357047654,-5864.15508731368,"GHA"
2e-04,"no-estimate","admin2",NA,NA,NA,"GHA"
0.001,"district-estimate","admin1",1919.27924308915,2304.24030726685,2779.00808594828,"GHA"
0.001,"district-estimate","admin2",2400.45428574725,2908.48577687144,3623.70535024042,"GHA"
0.001,"global-estimate","admin1",1919.59158212774,2304.6385893025,2779.43189320875,"GHA"
0.001,"global-estimate","admin2",2285.4920971102,2708.06057513898,3241.11784133657,"GHA"
0.001,"no-estimate","admin1",2044.56979138711,2389.49582405243,2800.11681034876,"GHA"
0.001,"no-estimate","admin2",2879.7815578363,3496.26052883215,4332.01112915828,"GHA"
1e-04,"district-estimate","admin1",-92283.7305460023,-1216.30491380114,66746.689764445,"GIN"
1e-04,"district-estimate","admin2",-41372.4752034896,5788.18771445256,49456.6380872959,"GIN"
1e-04,"global-estimate","admin1",-18521.6387956867,156.951124119069,7377.1492997799,"GIN"
1e-04,"global-estimate","admin2",-90799.3417295288,5047.80868460685,Inf,"GIN"
1e-04,"no-estimate","admin1",-697182.247917781,38572.1056751692,275021.595533414,"GIN"
1e-04,"no-estimate","admin2",6821.1712937214,12960.8961632974,23889.7005877978,"GIN"
2e-04,"district-estimate","admin1",-1115.42501280296,2528.96385852413,5677.95647879797,"GIN"
2e-04,"district-estimate","admin2",2567.88927056378,3702.26621773399,6979.89551510632,"GIN"
2e-04,"global-estimate","admin1",-19638.3410075537,2214.74102839248,35065.9446749361,"GIN"
2e-04,"global-estimate","admin2",-38388.0468025435,2100.16140328146,35173.7804831809,"GIN"
2e-04,"no-estimate","admin1",-32804.9665159914,-545.284521319963,5276.00354134347,"GIN"
2e-04,"no-estimate","admin2",NA,NA,NA,"GIN"
0.001,"district-estimate","admin1",2174.43207315536,2972.19007906558,4907.99318640742,"GIN"
0.001,"district-estimate","admin2",2174.56253454714,2972.85991233098,4906.61982191967,"GIN"
0.001,"global-estimate","admin1",2174.74900969641,2972.61629718908,4908.66835408796,"GIN"
0.001,"global-estimate","admin2",2174.87646906007,2973.27071701969,4907.32659231838,"GIN"
0.001,"no-estimate","admin1",2188.20542528255,2990.71256397265,4937.33446140964,"GIN"
0.001,"no-estimate","admin2",2143.68925519688,2984.17431029444,4903.27368777079,"GIN"
1e-04,"district-estimate","admin1",-11757.9931328922,1527.77282777115,5572.37214894679,"GNB"
1e-04,"district-estimate","admin2",-30832.6309944307,6003.41374827914,26574.158027388,"GNB"
1e-04,"global-estimate","admin1",-1313.7900775447,3018.54188069378,5069.0293721137,"GNB"
1e-04,"global-estimate","admin2",-7083.03049780381,4350.03022971855,Inf,"GNB"
1e-04,"no-estimate","admin1",-479825.737707169,-39467.1801061489,835399.156795533,"GNB"
1e-04,"no-estimate","admin2",6405.38965892501,9258.08862672167,15835.1382898992,"GNB"
2e-04,"district-estimate","admin1",2351.31103226382,3120.35477577787,5590.83663305067,"GNB"
2e-04,"district-estimate","admin2",3187.17399191736,4262.97671389635,7664.24943305122,"GNB"
2e-04,"global-estimate","admin1",-16566.9335515818,1855.74529876398,25300.5729338883,"GNB"
2e-04,"global-estimate","admin2",-77130.0274430991,2333.36685525907,59256.1887790441,"GNB"
2e-04,"no-estimate","admin1",-5169.45984365131,1013.13973468256,4487.64246831132,"GNB"
2e-04,"no-estimate","admin2",NA,NA,NA,"GNB"
0.001,"district-estimate","admin1",2284.37072893435,2960.02206030563,4606.54726760447,"GNB"
0.001,"district-estimate","admin2",2723.65533176844,3524.68607626454,5485.50670599737,"GNB"
0.001,"global-estimate","admin1",2336.87289924605,2985.40501291848,4253.12583351752,"GNB"
0.001,"global-estimate","admin2",2723.65810839238,3526.07599288655,4712.41871873343,"GNB"
0.001,"no-estimate","admin1",2362.90832988371,3039.54435914848,4829.26995946247,"GNB"
0.001,"no-estimate","admin2",2979.10964704326,4032.58140482858,6742.45044506986,"GNB"
1e-04,"district-estimate","admin1",-18973.9736246407,-9924.82924247165,-3680.89592102048,"KEN"
1e-04,"district-estimate","admin2",-22311.4158330325,4997.71748535228,26081.6908146687,"KEN"
1e-04,"global-estimate","admin1",-12255.8310385974,-5472.37871987214,-1270.80597032062,"KEN"
1e-04,"global-estimate","admin2",4516.94354342911,8597.74347260924,17535.6414714417,"KEN"
1e-04,"no-estimate","admin1",-1420952.58119576,-106118.734729362,2174553.92803574,"KEN"
1e-04,"no-estimate","admin2",10286.937987013,12227.2133119068,14910.9816477621,"KEN"
2e-04,"district-estimate","admin1",-2542.98271835384,-261.910639268119,1785.20381314846,"KEN"
2e-04,"district-estimate","admin2",4970.43815249688,6533.34307505068,8909.44294250122,"KEN"
2e-04,"global-estimate","admin1",-12180.6039124209,504.622758209162,18502.9692960062,"KEN"
2e-04,"global-estimate","admin2",-56146.5206487095,-1457.88574948473,81562.1065105427,"KEN"
2e-04,"no-estimate","admin1",-20608.5412659293,-11098.6078559766,-4862.87602622266,"KEN"
2e-04,"no-estimate","admin2",NA,NA,NA,"KEN"
0.001,"district-estimate","admin1",1025.99002608197,1396.84526081662,2289.09664568561,"KEN"
0.001,"district-estimate","admin2",2244.56037175007,2716.31852809921,3189.46772891795,"KEN"
0.001,"global-estimate","admin1",1029.1102607872,1367.5003311039,2289.68684972048,"KEN"
0.001,"global-estimate","admin2",2045.02170911246,2475.56056405253,3109.76958729358,"KEN"
0.001,"no-estimate","admin1",870.340033764774,1317.22432866246,2411.53481881821,"KEN"
0.001,"no-estimate","admin2",2718.12717198303,3645.65921718007,4938.95741622944,"KEN"
1e-04,"district-estimate","admin1",-261650.251019375,-944.866322637051,1242841.82404301,"LBR"
1e-04,"district-estimate","admin2",-76048.7018619042,13749.5735694315,Inf,"LBR"
1e-04,"global-estimate","admin1",-134598.160454797,-992.258067125725,1697956.29290583,"LBR"
1e-04,"global-estimate","admin2",-418322.696089238,13986.3637642178,Inf,"LBR"
1e-04,"no-estimate","admin1",-200109.551255727,32877.8451223504,1671845.63769139,"LBR"
1e-04,"no-estimate","admin2",4496.94324530106,10599.8936272768,34483.058469312,"LBR"
2e-04,"district-estimate","admin1",-47899.0968053209,342.13103032434,1206530.39242397,"LBR"
2e-04,"district-estimate","admin2",-5394.38624455429,7160.09804768546,Inf,"LBR"
2e-04,"global-estimate","admin1",-31334.0000031905,414.537653487865,7973.0455251662,"LBR"
2e-04,"global-estimate","admin2",-14470.2448513581,-60.5103311236922,29764.4730460071,"LBR"
2e-04,"no-estimate","admin1",-153017.948517573,-1255.36581688193,1671845.63769139,"LBR"
2e-04,"no-estimate","admin2",NA,NA,NA,"LBR"
0.001,"district-estimate","admin1",-114.949326113518,1763.21805582537,4107.79295331279,"LBR"
0.001,"district-estimate","admin2",640.998435370474,2295.6696344864,5740.92773680822,"LBR"
0.001,"global-estimate","admin1",643.113464460632,1763.58952418183,4108.42781648787,"LBR"
0.001,"global-estimate","admin2",581.112780960673,1934.15098135477,5208.03169158405,"LBR"
0.001,"no-estimate","admin1",-87.62082285827,1690.33740756159,4135.3826847906,"LBR"
0.001,"no-estimate","admin2",-1553.15953823565,2881.15720218813,7328.99334882328,"LBR"
1e-04,"district-estimate","admin1",-484207506954.625,105044765937.891,Inf,"MDG"
1e-04,"district-estimate","admin2",Inf,Inf,Inf,"MDG"
1e-04,"global-estimate","admin1",-472969793858.922,102592808375.179,Inf,"MDG"
1e-04,"global-estimate","admin2",Inf,Inf,Inf,"MDG"
1e-04,"no-estimate","admin1",0,0,0,"MDG"
1e-04,"no-estimate","admin2",10392.0122650758,18715.4011328738,39560.0451470135,"MDG"
2e-04,"district-estimate","admin1",-484207506954.625,105044765937.891,Inf,"MDG"
2e-04,"district-estimate","admin2",Inf,Inf,Inf,"MDG"
2e-04,"global-estimate","admin1",-425.645724947288,12.2111417739883,282.077171260412,"MDG"
2e-04,"global-estimate","admin2",-562.053111153115,6.40285179655181,311.895079310911,"MDG"
2e-04,"no-estimate","admin1",0,0,0,"MDG"
2e-04,"no-estimate","admin2",NA,NA,NA,"MDG"
0.001,"district-estimate","admin1",-484207506954.625,105044765937.891,Inf,"MDG"
0.001,"district-estimate","admin2",Inf,Inf,Inf,"MDG"
0.001,"global-estimate","admin1",-473065480599.26,102627596576.072,Inf,"MDG"
0.001,"global-estimate","admin2",Inf,Inf,Inf,"MDG"
0.001,"no-estimate","admin1",0,0,0,"MDG"
0.001,"no-estimate","admin2",NA,NA,NA,"MDG"
1e-04,"district-estimate","admin1",-4260.31623687932,7734.32156863309,11608.7812533739,"MLI"
1e-04,"district-estimate","admin2",-145051.738888442,8327.48418459436,71805.0734905963,"MLI"
1e-04,"global-estimate","admin1",3978.67246602859,8223.28179752606,11417.5810784892,"MLI"
1e-04,"global-estimate","admin2",1432.83285558904,10360.8545829048,Inf,"MLI"
1e-04,"no-estimate","admin1",-523701.835596078,-9530.57268574277,366239.279329373,"MLI"
1e-04,"no-estimate","admin2",9291.52819816961,11388.2817790009,15288.1045401755,"MLI"
2e-04,"district-estimate","admin1",5869.5736354798,8318.24530633375,11415.6389575279,"MLI"
2e-04,"district-estimate","admin2",6845.93533666608,9080.50609518277,12578.8718155099,"MLI"
2e-04,"global-estimate","admin1",-154545.788115949,6210.80480861211,93366.6209153895,"MLI"
2e-04,"global-estimate","admin2",-81036.889689162,5847.33381390737,125235.137165648,"MLI"
2e-04,"no-estimate","admin1",-836.013289580217,7669.33134312298,11502.9749592423,"MLI"
2e-04,"no-estimate","admin2",NA,NA,NA,"MLI"
0.001,"district-estimate","admin1",5869.5736354798,8318.24530633375,11415.6389575279,"MLI"
0.001,"district-estimate","admin2",5870.30993543484,8320.67083883468,11419.5994469513,"MLI"
0.001,"global-estimate","admin1",5870.20933343749,8319.40639510186,11417.6108907754,"MLI"
0.001,"global-estimate","admin2",5870.92869164633,8321.57053844207,11421.480249821,"MLI"
0.001,"no-estimate","admin1",5897.19964474008,8368.70362332444,11501.3347592813,"MLI"
0.001,"no-estimate","admin2",5897.19969435513,8368.70363246834,11501.3349266184,"MLI"
1e-04,"district-estimate","admin1",-10677.9017304938,-960.401245435564,2519.09982305614,"MOZ"
1e-04,"district-estimate","admin2",-23218.6446412917,8685.12970680392,Inf,"MOZ"
1e-04,"global-estimate","admin1",-2995.44089099095,186.69202828181,3205.07392354545,"MOZ"
1e-04,"global-estimate","admin2",-54625.141491632,7829.97139144085,Inf,"MOZ"
1e-04,"no-estimate","admin1",-108886.970982171,-30724.9278198424,-14583.4464581371,"MOZ"
1e-04,"no-estimate","admin2",8196.80571006266,13788.1368465389,21846.3282655391,"MOZ"
2e-04,"district-estimate","admin1",-122.146421794836,1763.42554956984,3623.95669334856,"MOZ"
2e-04,"district-estimate","admin2",2942.23360569613,5246.85701836142,9308.06199341225,"MOZ"
2e-04,"global-estimate","admin1",-6815.26715391617,2162.31616246999,11498.8840291026,"MOZ"
2e-04,"global-estimate","admin2",-32973.7922351123,2483.83190587589,161598.304181591,"MOZ"
2e-04,"no-estimate","admin1",-6752.00602103359,-917.387431387789,1488.33494223646,"MOZ"
2e-04,"no-estimate","admin2",NA,NA,NA,"MOZ"
