"threshold","confirmation_lens","admin_level","icer_lb","icer_median","icer_ub","ISO"
1e-04,"district-estimate","admin1",-57181.7172172631,-2080.05236321464,5582.56171785417,"AGO"
1e-04,"district-estimate","admin2",-42487.1983712304,6113.80207447929,69468.8016722032,"AGO"
1e-04,"global-estimate","admin1",-9913.38933497025,-779.559010386722,4455.03802265596,"AGO"
1e-04,"global-estimate","admin2",-153302.453403236,5932.22056281715,Inf,"AGO"
1e-04,"no-estimate","admin1",-542771.050653741,49391.7170044271,509088.73144985,"AGO"
1e-04,"no-estimate","admin2",4772.76674262918,9377.48820499287,18481.9416964189,"AGO"
2e-04,"district-estimate","admin1",-3959.93100654919,1809.61623725129,4528.05846295983,"AGO"
2e-04,"district-estimate","admin2",3080.61300463635,5896.73441165546,10776.7733474397,"AGO"
2e-04,"global-estimate","admin1",-20286.7681492896,1991.49486302556,29913.3332721139,"AGO"
2e-04,"global-estimate","admin2",-49203.1972608247,2263.55794676798,38531.0385735991,"AGO"
2e-04,"no-estimate","admin1",-13576.6510936737,-1669.66661839801,1982.96387847773,"AGO"
2e-04,"no-estimate","admin2",NA,NA,NA,"AGO"
0.001,"district-estimate","admin1",1339.86295914535,1958.98784493045,4266.19184254719,"AGO"
0.001,"district-estimate","admin2",1691.43804386663,2614.4003207242,4859.20400222909,"AGO"
0.001,"global-estimate","admin1",1334.28318225364,1959.42774392658,4266.70529717689,"AGO"
0.001,"global-estimate","admin2",1521.22149982694,2294.79222162829,4652.59355061312,"AGO"
0.001,"no-estimate","admin1",1261.13625926422,2154.32995118394,4288.50543060099,"AGO"
0.001,"no-estimate","admin2",1917.29088042057,3480.53735015195,5843.11563342893,"AGO"
1e-04,"district-estimate","admin1",-3477.17378519528,2031.22019698916,5114.64430092933,"BDI"
1e-04,"district-estimate","admin2",-38058.3558613892,4930.36103409649,34844.5053964943,"BDI"
1e-04,"global-estimate","admin1",1192.37429947892,2901.79936683983,5196.93437185026,"BDI"
1e-04,"global-estimate","admin2",-189506.857946512,4729.09148252258,Inf,"BDI"
1e-04,"no-estimate","admin1",-1180745.72177174,-49550.0787869091,1429584.80894234,"BDI"
1e-04,"no-estimate","admin2",6503.3289290797,9179.04711372211,12171.156387474,"BDI"
2e-04,"district-estimate","admin1",3145.39576680238,4050.36823935968,5517.10397847741,"BDI"
2e-04,"district-estimate","admin2",3399.21940462255,5069.86423606023,7246.02027001646,"BDI"
2e-04,"global-estimate","admin1",-24110.9846474126,4369.23434460888,41651.2861657345,"BDI"
2e-04,"global-estimate","admin2",-173866.351093194,4669.11346395112,54585.9312415971,"BDI"
2e-04,"no-estimate","admin1",-933.395151539867,1735.04320916412,3603.19666186722,"BDI"
2e-04,"no-estimate","admin2",NA,NA,NA,"BDI"
0.001,"district-estimate","admin1",3209.42143054076,4058.24850585027,5517.10397847741,"BDI"
0.001,"district-estimate","admin2",3209.973062501,4059.95968243016,5519.63082431161,"BDI"
0.001,"global-estimate","admin1",3209.84369276943,4058.74880345584,5517.88131237864,"BDI"
0.001,"global-estimate","admin2",3210.38263014827,4060.42060308947,5520.35000903264,"BDI"
0.001,"no-estimate","admin1",3227.77200111963,4079.99031910776,5550.88516857527,"BDI"
0.001,"no-estimate","admin2",3181.58461882321,4069.49123319285,5550.88498129375,"BDI"
1e-04,"district-estimate","admin1",2490.60065815661,4445.05752150482,10677.8680984703,"BEN"
1e-04,"district-estimate","admin2",-50466.4089553343,10848.0189118033,Inf,"BEN"
1e-04,"global-estimate","admin1",2514.0198591826,4446.41184014461,10682.7264279669,"BEN"
1e-04,"global-estimate","admin2",3791.6367043924,9302.92434048197,95497.5870099711,"BEN"
1e-04,"no-estimate","admin1",-393202.982614911,-13141.7152964874,357243.113851337,"BEN"
1e-04,"no-estimate","admin2",13776.0622124578,17804.1527875322,28979.5926499611,"BEN"
2e-04,"district-estimate","admin1",2513.1165951317,4445.05752150482,10677.8680984703,"BEN"
2e-04,"district-estimate","admin2",4875.0312781462,7601.18684587828,13636.9543788656,"BEN"
2e-04,"global-estimate","admin1",-36343.2156322159,1908.05531738163,40647.8583118297,"BEN"
2e-04,"global-estimate","admin2",-53784.9278119227,936.175556440539,23188.1607056183,"BEN"
2e-04,"no-estimate","admin1",2551.96646737514,4503.58018265133,10887.2599318793,"BEN"
2e-04,"no-estimate","admin2",NA,NA,NA,"BEN"
0.001,"district-estimate","admin1",2513.1165951317,4445.05752150482,10677.8680984703,"BEN"
0.001,"district-estimate","admin2",2514.03564724868,4445.8752215299,10675.4146626503,"BEN"
0.001,"global-estimate","admin1",2514.01056371794,4446.41069816557,10682.6863825591,"BEN"
0.001,"global-estimate","admin2",2514.90846652727,4447.20958089003,10680.2894091247,"BEN"
0.001,"no-estimate","admin1",2551.96646737514,4503.58018265133,10887.2599318793,"BEN"
0.001,"no-estimate","admin2",2885.44903805835,4625.04514353061,10887.2602248585,"BEN"
1e-04,"district-estimate","admin1",-117958916521.921,-1544433305.45366,280864094512.701,"BFA"
1e-04,"district-estimate","admin2",Inf,Inf,Inf,"BFA"
1e-04,"global-estimate","admin1",-115232717343.11,-1509680898.4449,274078326489.247,"BFA"
1e-04,"global-estimate","admin2",Inf,Inf,Inf,"BFA"
1e-04,"no-estimate","admin1",0,0,0,"BFA"
1e-04,"no-estimate","admin2",10552.6385930351,22571.2431551905,47778.4688059272,"BFA"
2e-04,"district-estimate","admin1",-117958916521.921,-1544433305.45366,280864094512.701,"BFA"
2e-04,"district-estimate","admin2",Inf,Inf,Inf,"BFA"
2e-04,"global-estimate","admin1",-388.72594159287,13.1726117433343,331.173315304563,"BFA"
2e-04,"global-estimate","admin2",-430.451926007377,7.8728382576053,328.368375539181,"BFA"
2e-04,"no-estimate","admin1",0,0,0,"BFA"
2e-04,"no-estimate","admin2",NA,NA,NA,"BFA"
0.001,"district-estimate","admin1",-117958916521.921,-1544433305.45366,280864094512.701,"BFA"
0.001,"district-estimate","admin2",Inf,Inf,Inf,"BFA"
0.001,"global-estimate","admin1",-115244581576.963,-1508894582.18665,274401172937.985,"BFA"
0.001,"global-estimate","admin2",Inf,Inf,Inf,"BFA"
0.001,"no-estimate","admin1",0,0,0,"BFA"
0.001,"no-estimate","admin2",NA,NA,NA,"BFA"
1e-04,"district-estimate","admin1",-17318.7662467117,3641.14572863441,162719.341983035,"CAF"
1e-04,"district-estimate","admin2",-25183.4874163607,9439.18138790554,Inf,"CAF"
1e-04,"global-estimate","admin1",-12876.1516633684,3363.73494264236,8499.08411148707,"CAF"
1e-04,"global-estimate","admin2",-24457.0323649033,7900.83806627449,Inf,"CAF"
1e-04,"no-estimate","admin1",-43661.480928596,4410.97253578856,315613.370123022,"CAF"
1e-04,"no-estimate","admin2",-13018.395433555,-5609.72988102243,41459.4051826223,"CAF"
2e-04,"district-estimate","admin1",-252.167382115823,3666.37686049495,7332.81459322234,"CAF"
2e-04,"district-estimate","admin2",-52037.2261047021,4684.53898887524,Inf,"CAF"
2e-04,"global-estimate","admin1",-7805.86943657784,882.704527089464,16646.7210486715,"CAF"
2e-04,"global-estimate","admin2",-11676.2318611831,-7.95969143623876,15177.5134595504,"CAF"
2e-04,"no-estimate","admin1",-14369.7571668085,3436.22899182592,8591.58732646926,"CAF"
2e-04,"no-estimate","admin2",NA,NA,NA,"CAF"
0.001,"district-estimate","admin1",947.487003647664,3785.26920978764,7332.81459322234,"CAF"
0.001,"district-estimate","admin2",823.119072393596,3818.49747987634,7328.63019443031,"CAF"
0.001,"global-estimate","admin1",948.084479418969,3787.11680729871,7334.9676006045,"CAF"
0.001,"global-estimate","admin2",950.63272925967,3791.30280635042,7330.8795007694,"CAF"
0.001,"no-estimate","admin1",973.451962306213,3845.482177601,7426.37947125453,"CAF"
0.001,"no-estimate","admin2",972.817356197879,3983.87223893862,7483.77289293871,"CAF"
1e-04,"district-estimate","admin1",-45761016372.4911,9318.38953452799,18470103115.5805,"CIV"
1e-04,"district-estimate","admin2",-53825.1290010412,17201.7906459794,Inf,"CIV"
1e-04,"global-estimate","admin1",-29424205853.6598,9831.57029426286,10560721190.8589,"CIV"
1e-04,"global-estimate","admin2",-24602.924942332,15259.6780483526,Inf,"CIV"
1e-04,"no-estimate","admin1",-76983.4322897861,14497.5271694158,159994.699614995,"CIV"
1e-04,"no-estimate","admin2",5688.2798257016,12384.8402763221,21790.0728891985,"CIV"
2e-04,"district-estimate","admin1",-23372417544.2314,8563.7647807143,7075689047.11086,"CIV"
2e-04,"district-estimate","admin2",5381.29192201897,9373.21386648629,Inf,"CIV"
2e-04,"global-estimate","admin1",-45261.6724821741,2199.90489646873,134754.393757268,"CIV"
2e-04,"global-estimate","admin2",-45307.5038573799,1955.32366464627,134816.403051969,"CIV"
2e-04,"no-estimate","admin1",0,0,14946.7088887857,"CIV"
2e-04,"no-estimate","admin2",NA,NA,NA,"CIV"
0.001,"district-estimate","admin1",-23372417544.2314,8207.72459150742,7075689047.11086,"CIV"
0.001,"district-estimate","admin2",5085.01192336632,9062.02106381351,Inf,"CIV"
0.001,"global-estimate","admin1",-22834598347.8619,8208.58511258912,6912871427.15878,"CIV"
0.001,"global-estimate","admin2",5086.35332718825,9062.98504256647,Inf,"CIV"
0.001,"no-estimate","admin1",0,7694.40793533791,14817.6528233714,"CIV"
0.001,"no-estimate","admin2",4602.1792771055,8196.64963140379,14863.3667354255,"CIV"
1e-04,"district-estimate","admin1",-160235.486733183,20174.6612468518,376989.683813904,"CMR"
1e-04,"district-estimate","admin2",-50159.6895503703,9098.87565027065,33541.1651311285,"CMR"
1e-04,"global-estimate","admin1",-77706.3482199806,-2848.22868412125,205422.701356323,"CMR"
1e-04,"global-estimate","admin2",3202.63780965386,8100.63845119805,26883.5778906725,"CMR"
1e-04,"no-estimate","admin1",12593.1852487437,16336.7800722442,24648.9458676865,"CMR"
1e-04,"no-estimate","admin2",7670.32178373906,9354.55698346812,12597.0909237561,"CMR"
2e-04,"district-estimate","admin1",-78.4548540578375,2837.14218948936,4639.73146546357,"CMR"
2e-04,"district-estimate","admin2",5429.01388079992,6822.6672681319,8887.68331530939,"CMR"
2e-04,"global-estimate","admin1",-12921.5999463375,2247.65897116915,27095.0492201209,"CMR"
2e-04,"global-estimate","admin2",-34207.4776797956,4165.49187769232,47311.0228064443,"CMR"
2e-04,"no-estimate","admin1",-143937.599955188,20539.285473058,325431.932894415,"CMR"
2e-04,"no-estimate","admin2",NA,NA,NA,"CMR"
0.001,"district-estimate","admin1",1953.00269128908,2458.53890955086,3183.27302508591,"CMR"
0.001,"district-estimate","admin2",2540.75974651919,3003.63056702676,3579.18305867969,"CMR"
0.001,"global-estimate","admin1",1799.06284660158,2418.11443492091,3183.73109305542,"CMR"
0.001,"global-estimate","admin2",2277.09524438254,2715.50984898067,3183.61820923869,"CMR"
0.001,"no-estimate","admin1",2049.00781283117,2635.36720538926,3409.65540768179,"CMR"
0.001,"no-estimate","admin2",3197.25518241871,4262.84917069143,5449.5300339297,"CMR"
1e-04,"district-estimate","admin1",-1353022.06952326,-29343.8816338693,514251.332326264,"COD"
1e-04,"district-estimate","admin2",-36795.6004021639,7266.34991704833,65128.3720738929,"COD"
1e-04,"global-estimate","admin1",-124798.577529395,-18529.1781315789,-5578.29246317493,"COD"
1e-04,"global-estimate","admin2",3427.90868399377,6031.97010539351,8763.99325457969,"COD"
1e-04,"no-estimate","admin1",24498.0661144017,31073.2099480084,46445.6345536712,"COD"
1e-04,"no-estimate","admin2",7997.87307196829,9630.97706719733,11833.1373393825,"COD"
2e-04,"district-estimate","admin1",-4680.70181368336,-1353.03407491445,836.835895738218,"COD"
2e-04,"district-estimate","admin2",4353.6624813134,5833.19104165925,7050.9881753616,"COD"
2e-04,"global-estimate","admin1",-5867.2894945556,878.361818555943,6253.59607486481,"COD"
2e-04,"global-estimate","admin2",-29914.6451929803,3546.71778760771,50816.5913263018,"COD"
2e-04,"no-estimate","admin1",-1399459.25458785,-34931.6325084185,495025.963133456,"COD"
2e-04,"no-estimate","admin2",NA,NA,NA,"COD"
0.001,"district-estimate","admin1",1339.74165470049,1743.01618711068,2242.69924577836,"COD"
0.001,"district-estimate","admin2",2542.63558173379,3003.81442182261,3572.26733203724,"COD"
0.001,"global-estimate","admin1",1317.18648912442,1738.40405100699,2243.18627596006,"COD"
0.001,"global-estimate","admin2",2209.53950711798,2741.73162810804,3297.49158815736,"COD"
0.001,"no-estimate","admin1",1316.01201845454,1702.26067550929,2213.88599153114,"COD"
0.001,"no-estimate","admin2",3329.95098233292,3937.4119209519,4656.91573272025,"COD"
1e-04,"district-estimate","admin1",-372590.643173893,1666.82952491202,3142387.50077482,"COG"
1e-04,"district-estimate","admin2",-29513.5266343207,5285.42846621697,Inf,"COG"
1e-04,"global-estimate","admin1",-92152.1328001671,-3251.74420379906,32223.7514601293,"COG"
1e-04,"global-estimate","admin2",-23949.4291237268,3755.08889310726,Inf,"COG"
1e-04,"no-estimate","admin1",18848.4441091959,211358.539862756,528941.197217443,"COG"
1e-04,"no-estimate","admin2",-14244.3444791722,-5926.61727707924,11725.4563398882,"COG"
2e-04,"district-estimate","admin1",-3789.45354393776,233.600516071535,5880.52663579225,"COG"
2e-04,"district-estimate","admin2",2530.1211644606,3778.31237775317,7429.90498854867,"COG"
2e-04,"global-estimate","admin1",-6138.36806981286,676.041911331723,9561.68872110937,"COG"
2e-04,"global-estimate","admin2",-28483.2045217682,1572.97529974659,52573.8761889317,"COG"
2e-04,"no-estimate","admin1",-114886.493650716,-14206.5265968167,185067.610580164,"COG"
2e-04,"no-estimate","admin2",NA,NA,NA,"COG"
0.001,"district-estimate","admin1",1379.17293041762,2032.31283431423,3219.09834975182,"COG"
0.001,"district-estimate","admin2",1659.05611965462,2842.93546250756,4338.37809447876,"COG"
0.001,"global-estimate","admin1",1327.69861319526,2032.66276610083,3219.55972894079,"COG"
0.001,"global-estimate","admin2",1579.54584813182,2664.10265133706,3625.79635658765,"COG"
0.001,"no-estimate","admin1",1560.48761448166,2140.19304070458,3239.14885580217,"COG"
0.001,"no-estimate","admin2",1885.63428301305,3639.40093935515,6087.08570563736,"COG"
1e-04,"district-estimate","admin1",-4517.70183856198,2300.63111527824,5291.92899948905,"ETH"
1e-04,"district-estimate","admin2",-24883.1930442514,7723.17404948895,Inf,"ETH"
1e-04,"global-estimate","admin1",-1363.24844857768,2284.07778012483,5291.15238093198,"ETH"
1e-04,"global-estimate","admin2",-150691.418078406,5587.90315392778,Inf,"ETH"
1e-04,"no-estimate","admin1",-117766.885690866,-11048.8556087259,118838.802972427,"ETH"
1e-04,"no-estimate","admin2",7765.4863888886,12871.7406136723,18702.473076287,"ETH"
2e-04,"district-estimate","admin1",537.862584367272,3704.39087091547,6157.21602525456,"ETH"
