"confirmation_lens","threshold","admin_level","prop_tested_lb","prop_tested_median","prop_tested_ub"
"district-estimate",1e-04,"admin1",0.479851457269428,0.500425119485742,0.538062404005333
"district-estimate",1e-04,"admin2",0.563455164554219,0.575817713848861,0.59667581085553
"district-estimate",2e-04,"admin1",0.366383741453913,0.406124099686536,0.450926917709962
"district-estimate",2e-04,"admin2",0.457844625919187,0.476518588082659,0.508758477457762
"district-estimate",0.001,"admin1",0.181388908048206,0.275954316812394,0.352776768570353
"district-estimate",0.001,"admin2",0.208167348620797,0.243027807320151,0.283357383680762
"global-estimate",1e-04,"admin1",0.201135027381626,0.2123545582026,0.229052938682265
"global-estimate",1e-04,"admin2",0.233732852665781,0.238828437962352,0.246356073936837
"global-estimate",2e-04,"admin1",0.146954844249413,0.170611747594353,0.189224356416468
"global-estimate",2e-04,"admin2",0.193271761839085,0.208611827467761,0.223016146965447
"global-estimate",0.001,"admin1",0.0982573083667297,0.129497711172407,0.165236263162279
"global-estimate",0.001,"admin2",0.0943044501231612,0.111379929701343,0.128685154478578
"no-estimate",1e-04,"admin1",0,0,0
"no-estimate",1e-04,"admin2",0,0,0
"no-estimate",2e-04,"admin1",0,0,0
"no-estimate",2e-04,"admin2",0,0,0
"no-estimate",0.001,"admin1",0,0,0
"no-estimate",0.001,"admin2",0,0,0
