"ISO","threshold","admin_level","ocv_cost_per_ac_district_estimate_median","ocv_cost_per_ac_no_estimate_median","test_cost_per_ac_median","ocv_cost_saved_per_ac_median","spend_cost_ratio_median"
"ETH",2e-04,"admin1",5560.84819695261,6537.0331564801,56.7929555857434,976.18495952749,17.1884866610559
"ETH",2e-04,"admin2",2862.86241617167,3789.39759790604,29.682422007653,926.535181734371,31.2149453806527
"ETH",0.001,"admin2",1019.23160484903,1568.31777790846,53.4960531866589,549.086173059436,10.2640501560659
"GHA",1e-04,"admin1",3404.03169756334,3996.60378349959,10.1094167006467,592.572085936251,58.6158532666228
"GHA",1e-04,"admin2",2261.06183975197,2709.17241885169,9.12129309000517,448.110579099724,49.1279662519286
"GHA",2e-04,"admin1",2419.04693757729,3371.57281936982,15.5430045549428,952.525881792526,61.2832530818254
"GHA",2e-04,"admin2",1748.95442403247,2321.54875458886,11.9302505882633,572.594330556386,47.9951637495102
"GHA",0.001,"admin1",NA,2067.59809972573,NA,NA,NA
"GHA",0.001,"admin2",566.660914458552,1023.4071680005,54.6745594011545,456.746253541944,8.35390826272117
"GIN",1e-04,"admin1",3653.01895731897,4283.81768358661,11.3871537845902,630.798726267643,55.3956447941608
"GIN",1e-04,"admin2",2975.67331832817,3394.74944621866,9.23716687391023,419.076127890487,45.3684699660607
"GIN",2e-04,"admin1",3225.28049295158,3663.21585383916,22.0024852702504,437.935360887574,19.9039042866538
"GIN",2e-04,"admin2",2841.80280078274,2990.71256397264,16.5238459873308,148.909763189901,9.01181016236011
"GIN",0.001,"admin2",NA,4468.77215752896,NA,NA,NA
"GNB",1e-04,"admin1",2762.70457853697,3791.30023974143,10.3669824034966,1028.59566120445,99.2184245299314
"GNB",1e-04,"admin2",2482.02055543094,2898.30349184366,8.30317703842661,416.282936412719,50.1353800462384
"GNB",2e-04,"admin1",2264.26127969603,2778.67103103682,15.9412436460839,514.409751340795,32.2691104132998
"GNB",2e-04,"admin2",1968.60548203986,2615.31483818612,12.9843683397472,646.709356146256,49.8067629648626
"GNB",0.001,"admin1",441.225429525086,1154.04857532043,83.835106179499,712.823145795341,8.50268077753869
"GNB",0.001,"admin2",417.085862641368,517.490242767882,42.0519906605734,100.404380126514,2.38762490310951
"KEN",1e-04,"admin1",2577.10345495564,3424.84009076533,12.3224478062498,847.736635809693,68.796123070591
"KEN",1e-04,"admin2",1424.68553417904,2204.35111516812,10.0519485873318,779.665580989081,77.5636260189064
"KEN",2e-04,"admin1",1900.58039458641,2666.45033352982,16.0502268500255,765.869938943407,47.7170787740108
"KEN",2e-04,"admin2",996.98747205834,1387.03614161737,11.74137122293,390.048669559031,33.2200270439705
"KEN",0.001,"admin1",1095.21221862867,1515.27801867625,67.4654578262196,420.065800047579,6.22638330165345
"KEN",0.001,"admin2",403.369467993164,621.233541178478,24.6403746518821,217.864073185314,8.84175164798774
"LBR",1e-04,"admin1",2884.51986841583,3679.16963058753,11.1884982403049,794.649762171694,71.0238090138932
"LBR",1e-04,"admin2",1792.53524644088,2193.02302729391,10.0649826193595,400.487780853034,39.7902108725666
"LBR",2e-04,"admin1",2392.3443904857,2687.21638640825,15.3804477693971,294.871995922549,19.1718732993758
"LBR",2e-04,"admin2",1200.1438232236,1779.36123849772,12.0822294150842,579.217415274119,47.9396140708096
"LBR",0.001,"admin1",1231.96023236969,1631.90244428323,38.8621455772192,399.942211913544,10.2913054843783
"LBR",0.001,"admin2",831.310557595825,1088.81870224521,28.2111445479438,257.508144649388,9.12788717989666
"MDG",1e-04,"admin2",10742.5807694197,18715.4011376051,57.0963531503364,7972.82036818537,139.637996619376
"MLI",1e-04,"admin1",11665.3279720685,14084.7878233663,84.7126231620074,2419.45985129772,28.5607948495546
"MLI",1e-04,"admin2",7826.12186282406,9835.84102665161,31.1702778347974,2009.71916382755,64.4754972823491
"MLI",2e-04,"admin1",NA,13299.6759857977,NA,NA,NA
"MLI",2e-04,"admin2",5422.3477171385,8368.70362331553,153.262626157623,2946.35590617703,19.2242295466531
"MOZ",1e-04,"admin1",7295.14764634971,11081.4259169825,46.8067605753303,3786.27827063278,80.8916965005341
"MOZ",1e-04,"admin2",1990.77486260731,2653.20737209731,10.896264787956,662.43250949,60.794457768887
"MOZ",2e-04,"admin1",4716.45660221405,7833.05170071376,77.8204165678295,3116.59509849971,40.0485532711488
"MOZ",2e-04,"admin2",1647.04414665101,1982.83448962008,13.3862835705457,335.790342969071,25.0846578289976
"MOZ",0.001,"admin2",562.483604913378,1310.53101960094,42.9859662734318,748.047414687558,17.4021309636094
"MRT",1e-04,"admin1",12907.7273673979,21359.5556263119,39.778395548437,8451.82825891403,212.47282959471
"MRT",1e-04,"admin2",5359.24236278581,6107.17421720166,21.0843505220669,747.931854415847,35.4733172185248
"MRT",2e-04,"admin1",NA,16592.768870355,NA,NA,NA
"MRT",2e-04,"admin2",4892.72596469497,5461.97489645945,34.5744910112518,569.248931764476,16.4644197243344
"MWI",1e-04,"admin1",10011.8204159327,12985.3366091722,81.3191101261309,2973.51619323955,36.5660198276573
"MWI",1e-04,"admin2",4283.01115854648,6603.92141959015,24.1902234168126,2320.91026104367,95.94414326205
"MWI",2e-04,"admin1",5192.71648388834,10876.4537480537,67.0170875955937,5683.73726416534,84.8102695608491
"MWI",2e-04,"admin2",2997.7014149435,4422.79498334916,44.7746408749558,1425.09356840565,31.8281406742173
"MWI",0.001,"admin2",1029.08160355561,1929.90695341715,218.572469207576,900.82534986154,4.12140354696746
"NAM",1e-04,"admin1",3348.72657064584,3730.42535139191,10.9779456736668,381.698780746074,34.7696000775143
"NAM",1e-04,"admin2",2220.21100126669,2581.8823156818,8.65753393773147,361.671314415116,41.7753273641668
"NAM",2e-04,"admin1",2117.35484790156,3382.49318795205,14.6361467453561,1265.1383400505,86.4393041462165
"NAM",2e-04,"admin2",1602.31053679247,2291.81636551493,12.8924730829564,689.505828722457,53.4812695970621
"NAM",0.001,"admin1",480.039720670109,1190.48920967089,17.2198743343547,710.449489000779,41.2575304096958
"NAM",0.001,"admin2",286.66240191928,325.440608756206,22.2574917864675,38.7782068369261,1.74225412319385
"NER",1e-04,"admin1",9158.72769485854,9229.00806569702,31.265134710331,70.2803708384799,2.24788319287993
"NER",1e-04,"admin2",4080.68241451793,5671.03942662758,20.1472003197268,1590.35701210965,78.9368739512893
"NER",2e-04,"admin1",6574.17660954361,9370.44886814668,55.6063341658693,2796.27225860307,50.2869376402697
"NER",2e-04,"admin2",2542.18020076034,4247.75657997235,35.1748319181747,1705.576379212,48.4885438309867
"NER",0.001,"admin2",1272.08715665713,1868.94541572959,126.452715822167,596.858259072468,4.72001139075448
"NGA",1e-04,"admin1",4268.81022713864,7750.96183527616,24.5923737946594,3482.15160813752,141.594773941413
"NGA",1e-04,"admin2",1805.96688921328,2555.32075184646,11.5266486536972,749.353862633185,65.0105581549782
"NGA",2e-04,"admin1",2364.13508126835,3902.71345145138,36.544049293419,1538.57837018303,42.1020220783279
"NGA",2e-04,"admin2",1190.2114667017,1839.79658296495,14.2938792678123,649.585116263255,45.4449841147061
"NGA",0.001,"admin1",NA,1978.08731153848,NA,NA,NA
"NGA",0.001,"admin2",352.69748081799,609.457777501005,30.7751729743144,256.760296683015,8.34309840914014
"RWA",1e-04,"admin2",10100.7147852623,13661.1010641517,26.9864235503084,3560.38627888941,131.932498289449
"RWA",2e-04,"admin2",NA,11259.4632196569,NA,NA,NA
"SLE",1e-04,"admin1",1388.19427943504,1496.15475371884,7.70717116356209,107.960474283809,14.0077950771644
"SLE",1e-04,"admin2",1222.91124572207,1336.44461918128,7.45254973390311,113.533373459205,15.2341651532655
"SLE",2e-04,"admin1",1185.28184571067,1430.29571793011,8.83872090321292,245.013872219447,27.720512379838
"SLE",2e-04,"admin2",1069.24106660833,1231.25184962385,8.33413698947284,162.010783015523,19.4394192488274
"SLE",0.001,"admin1",475.526570247658,849.890788671516,30.2012572511001,374.364218423858,12.3956501317581
"SLE",0.001,"admin2",540.464567288916,728.143008683663,21.151166205233,187.678441394747,8.87319590672562
"SOM",1e-04,"admin1",1341.62400287044,1416.21746415672,8.08498322197466,74.5934612862886,9.2261739125873
"SOM",1e-04,"admin2",964.358211923831,1099.16875952299,8.06542946426922,134.810547599157,16.7146149124958
"SOM",2e-04,"admin1",1209.57528848791,1354.33050219184,8.7936280552368,144.755213703935,16.4613755317671
"SOM",2e-04,"admin2",854.076786845732,963.85040625995,8.66079835665043,109.773619414218,12.6747691025418
"SOM",0.001,"admin1",617.992974791268,929.339781205407,29.5248760514596,311.346806414139,10.5452366970647
"SOM",0.001,"admin2",508.449996204412,654.225371795371,18.9877822699911,145.775375590959,7.6773250039499
"SSD",1e-04,"admin1",1590.59067123152,1889.04589584274,8.45443236779751,298.455224611217,35.3016277885216
"SSD",1e-04,"admin2",790.749855366414,990.734038573029,8.10720916022271,199.984183206615,24.6674508149882
"SSD",2e-04,"admin1",1307.10609125744,1555.25781886689,9.50155095031231,248.151727609445,26.1169706826956
"SSD",2e-04,"admin2",661.639508886657,779.154449562442,8.82769839963663,117.514940675785,13.3120701858847
"SSD",0.001,"admin1",793.835386421521,1206.40342950538,19.4407943211443,412.568043083861,21.2217688366335
"SSD",0.001,"admin2",351.454775251076,437.734043109457,12.1266938935117,86.2792678583809,7.11482194702253
"TCD",1e-04,"admin1",1293.66097161205,1482.22805576802,8.72990949647561,188.567084155969,21.6001190198015
"TCD",1e-04,"admin2",1044.26432035552,1306.12821283364,8.67567071544763,261.863892478122,30.1837057983143
"TCD",2e-04,"admin1",1016.38317147977,1299.10915238299,10.0468228484636,282.725980903211,28.1408346865045
"TCD",2e-04,"admin2",738.760205376143,1046.83122013708,9.69670379508521,308.071014760942,31.7706945856269
"TCD",0.001,"admin1",363.980232210532,594.118758700985,19.1043092328116,230.138526490453,12.046419668249
"TCD",0.001,"admin2",228.911904880933,412.351651105118,16.774382372043,183.439746224185,10.9357079238825
"TGO",1e-04,"admin2",10613.8671162378,18254.232400378,38.705089454739,7640.36528414025,197.399499439854
"TGO",2e-04,"admin2",NA,36115.9215205443,NA,NA,NA
"TZA",1e-04,"admin1",7166.84922000625,8498.11758631107,24.8793175702073,1331.26836630482,53.509038684365
"TZA",1e-04,"admin2",4142.48474874587,5653.68744803553,15.7798479258954,1511.20269928965,95.7678873957783
"TZA",2e-04,"admin1",5411.97628858385,7481.14713969578,136.09427552561,2069.17085111193,15.2039521362715
"TZA",2e-04,"admin2",2734.10623386433,4266.6197796604,30.7372973716702,1532.51354579607,49.8584350883285
"TZA",0.001,"admin2",665.10725449395,1181.07085996163,318.812807292892,515.963605467679,1.61839045880508
"UGA",1e-04,"admin1",4264.6695780613,7430.10994021052,34.3665182867138,3165.44036214922,92.1082646702964
"UGA",1e-04,"admin2",4238.80031788726,5675.64464839684,25.4658285493059,1436.84433050957,56.4224457777847
"UGA",2e-04,"admin1",2962.37703917766,3983.76936248216,60.908938491038,1021.3923233045,16.7691696589785
"UGA",2e-04,"admin2",2228.10328430773,4415.70679337268,45.4792429149299,2187.60350906494,48.1011417264995
"UGA",0.001,"admin1",1275.69773777695,1961.4967761901,122.417403274039,685.799038413142,5.60213678832852
"UGA",0.001,"admin2",891.005093557785,1356.48685705207,91.8293742217665,465.481763494285,5.06898546831164
"ZMB",1e-04,"admin1",6209.38703316374,8149.7786874532,34.665904975525,1940.39165428946,55.9740660357612
"ZMB",1e-04,"admin2",5025.65650497334,5953.75645873367,16.7534764184461,928.099953760324,55.3974548672452
"ZMB",2e-04,"admin1",5606.91056125474,6323.89131100009,33.9253729825614,716.980749745349,21.1340565102673
"ZMB",2e-04,"admin2",3885.23359010639,5124.30177096377,30.7855070536923,1239.06818085738,40.2484252962393
"ZMB",0.001,"admin2",1208.80507643423,2094.41433231624,194.682749013246,885.609255882014,4.54898680222436
"ZWE",1e-04,"admin1",12604.6844441304,16800.5125284953,54.8970099137185,4195.8280843649,76.4309038135133
"ZWE",1e-04,"admin2",5546.6670319675,9010.07957018213,31.0570406950725,3463.41253821463,111.51778986992
"ZWE",2e-04,"admin2",4729.74089871049,5329.32642376501,51.9513892815393,599.585525054514,11.5412799031262
