"ISO","threshold","admin_level","ocv_cost_per_ac_district_estimate_median","ocv_cost_per_ac_no_estimate_median","test_cost_per_ac_median","ocv_cost_saved_per_ac_median","spend_cost_ratio_median"
"AGO",1e-04,"admin1",3539.20579658738,4643.17144248464,14.5305642327716,1103.96564589726,75.9754148711875
"AGO",1e-04,"admin2",1960.45545071854,2472.1150612909,10.5769254051235,511.659610572367,48.3750798057551
"AGO",2e-04,"admin1",2485.32496426221,3587.89016724323,20.332517245967,1102.56520298102,54.2266945918719
"AGO",2e-04,"admin2",1540.0557158892,1977.58324928409,13.0429687848951,437.52753339489,33.5450878255252
"AGO",0.001,"admin1",1265.6256191434,1847.14961233603,74.4831558581211,581.523993192633,7.80745641739921
"AGO",0.001,"admin2",657.122857604671,1132.74354365194,66.0830690949214,475.62068604727,7.19731532692725
"BDI",1e-04,"admin1",9558.58428473884,12945.496946833,68.6173448865107,3386.91266209421,49.3594246133536
"BDI",1e-04,"admin2",4061.73714481953,4924.46607431682,13.5784840165029,862.728929497289,63.5364690527124
"BDI",2e-04,"admin1",6270.40516603913,9862.96353830769,162.587042938802,3592.55837226856,22.0962157090268
"BDI",2e-04,"admin2",3463.96655691154,4079.99029493008,28.2133886999897,616.023738018546,21.834446920542
"BDI",0.001,"admin2",NA,7225.75676712762,NA,NA,NA
"BEN",1e-04,"admin1",13230.7835985676,22780.1477315529,142.710787325174,9549.3641329853,66.9141016735238
"BEN",1e-04,"admin2",4612.07749311055,11708.5783025719,49.4017588596892,7096.50080946131,143.648748005446
"BEN",2e-04,"admin2",2570.31020956254,4503.58009095712,69.5274789638973,1933.26988139457,27.805838931661
"BEN",0.001,"admin2",NA,2134.02167666451,NA,NA,NA
"BFA",1e-04,"admin2",11068.0771872218,22571.2431892679,34.6822706809549,11503.166002046,331.672805043955
"CAF",1e-04,"admin1",7076.83395114435,10745.1019631834,27.0284319941194,3668.26801203904,135.718861265691
"CAF",1e-04,"admin2",3798.06539458874,4172.27312421752,47.7307577665582,374.207729628788,7.83997043288029
"CAF",2e-04,"admin1",5487.85130575253,6295.21075480326,21.1961272225452,807.359449050724,38.089951082761
"CAF",2e-04,"admin2",3622.30849817596,3845.48214866619,70.8450061860902,223.173650490231,3.15016770418533
"CAF",0.001,"admin2",1159.77292137006,1518.7619470513,96.5907826137015,358.989025681241,3.71659713242988
"CIV",1e-04,"admin1",7275.54608064934,11174.544234925,74.714210093992,3898.99815427569,52.1854965657895
"CIV",1e-04,"admin2",7859.97446401203,10567.9741871564,46.5720213356998,2707.99972314436,58.1464932265789
"CIV",2e-04,"admin1",6122.9820400146,7856.98619771312,132.327975740777,1734.00415769852,13.1038364940709
"CIV",2e-04,"admin2",6169.2137571014,8196.64966347296,128.361927769933,2027.43590637156,15.7946825947129
"CMR",1e-04,"admin1",3146.52493252769,3701.09637484743,9.89229792805201,554.571442319736,56.0609320860742
"CMR",1e-04,"admin2",2365.72925556153,3016.67019701973,9.91503991165132,650.940941458201,65.6518730391867
"CMR",2e-04,"admin1",2275.38283542393,3149.89391586246,15.8921547886417,874.511080438533,55.0278481470339
"CMR",2e-04,"admin2",1575.19209495348,2437.01505525386,13.2552426463089,861.822960300381,65.0175167136879
"CMR",0.001,"admin1",1142.85074728009,1866.1890476435,48.7194186699434,723.338300363406,14.8470224011449
"CMR",0.001,"admin2",889.279396602661,1088.01647354894,51.8177202471778,198.737076946282,3.83531108659891
"COD",1e-04,"admin1",3256.09764092702,3559.67335917035,10.1637339397255,303.575718243332,29.8685227342276
"COD",1e-04,"admin2",1730.13710903297,2149.7263540476,9.75098951124752,419.589245014635,43.0304272741397
"COD",2e-04,"admin1",2797.1110845978,3221.3307818303,16.0890369700588,424.219697232498,26.367003694625
"COD",2e-04,"admin2",1219.50531189341,1755.89851071881,12.0558372019363,536.393198825397,44.4924056157001
"COD",0.001,"admin1",1158.25342557954,1916.14879076219,83.2416956103747,757.895365182645,9.10475645198398
"COD",0.001,"admin2",465.078558514463,694.953851276655,27.1247054663129,229.875292762191,8.47475719313086
"COG",1e-04,"admin1",3373.79692639839,3395.8813644075,8.45191137365885,22.0844380091148,2.61295191498848
"COG",1e-04,"admin2",1980.80051605141,2092.53788890883,8.35671956407397,111.737372857422,13.3709611768938
"COG",2e-04,"admin1",3345.53649916036,3358.78799557024,16.3117175355019,13.2514964098864,0.812391238448369
"COG",2e-04,"admin2",1607.39376864958,2047.52008054652,10.854386115129,440.126311896943,40.5482454031637
"COG",0.001,"admin1",1208.76430341759,1427.38574530977,41.6535606279145,218.621441892179,5.2485655150851
"COG",0.001,"admin2",704.373359469181,860.543274293224,36.7696048116224,156.169914824043,4.24725573266644
"ETH",1e-04,"admin1",6878.99692664918,11687.9193259186,71.5151703921261,4808.92239926941,67.2433886810522
"ETH",1e-04,"admin2",3724.18523863798,5181.73698362521,17.3502744340417,1457.55174498723,84.0074173194328
