"ISO","confirmation_lens","admin_level","threshold","total_cost_lb","total_cost_median","total_cost_ub"
"AGO","district-estimate","admin1",1e-04,17493285.0201468,29842533.9911636,54617869.8126275
"AGO","district-estimate","admin1",2e-04,7708722.46293449,15688093.425301,34101582.9449932
"AGO","district-estimate","admin1",0.001,163484.761553084,218359.7891634,3835791.1506567
"AGO","district-estimate","admin2",1e-04,16110930.3285549,24397950.1806634,36161271.5597012
"AGO","district-estimate","admin2",2e-04,9116521.60074208,15734151.3903001,23724580.4779503
"AGO","district-estimate","admin2",0.001,486259.829970268,2258991.64689791,5068267.35902691
"AGO","global-estimate","admin1",1e-04,14657102.1443095,25646882.529373,42426499.0159435
"AGO","global-estimate","admin1",2e-04,160986.391731023,11833859.063125,18188689.312415
"AGO","global-estimate","admin1",0.001,159722.838212858,212810.742026805,237427.140392772
"AGO","global-estimate","admin2",1e-04,15331758.0177275,22417811.6256598,28821580.2746402
"AGO","global-estimate","admin2",2e-04,4554277.73188765,11006936.3227924,19125779.8572817
"AGO","global-estimate","admin2",0.001,185826.993432146,1335427.91176362,3836719.58508375
"AGO","no-estimate","admin1",1e-04,19767221.3654551,59595041.4821646,66402023.7219458
"AGO","no-estimate","admin1",2e-04,17374552.6053897,29797877.7589177,45588569.0702773
"AGO","no-estimate","admin1",0.001,0,3637937.74988776,8165021.35235533
"AGO","no-estimate","admin2",1e-04,22424243.6120208,31244479.5676895,45552153.9278821
"AGO","no-estimate","admin2",2e-04,16107939.7524413,24340204.0821526,31935727.5495332
"AGO","no-estimate","admin2",0.001,1810863.28280105,7816715.68390992,10817336.3883996
"BDI","district-estimate","admin1",1e-04,57050.7720013184,6639805.7432317,13976275.4585782
"BDI","district-estimate","admin1",2e-04,49324.9868358168,52370.4740280054,1986034.9913193
"BDI","district-estimate","admin1",0.001,49324.9868358168,52175.1856805079,55666.2383345971
"BDI","district-estimate","admin2",1e-04,7868789.43757279,9877044.17055456,11277551.4537884
"BDI","district-estimate","admin2",2e-04,2682278.56144643,4875032.95062716,7172561.96315656
"BDI","district-estimate","admin2",0.001,46409.8515505943,48678.5211794275,51192.8202802576
"BDI","global-estimate","admin1",1e-04,51313.6870665191,4288763.54484818,7224339.06750757
"BDI","global-estimate","admin1",2e-04,47526.3487269885,51568.7075109138,60012.5679584381
"BDI","global-estimate","admin1",0.001,48189.9769580079,50974.5903043548,54385.3108691619
"BDI","global-estimate","admin2",1e-04,7540425.03208529,8700066.67266056,9835334.62741376
"BDI","global-estimate","admin2",2e-04,831803.428882619,3084647.96724176,5437224.0196924
"BDI","global-estimate","admin2",0.001,45341.921413828,47558.3870259266,50014.8299670641
"BDI","no-estimate","admin1",1e-04,23535803.4980549,26812003.9909679,33789967.1970954
"BDI","no-estimate","admin1",2e-04,3994427.08599513,6931450.00955151,10763417.8512575
"BDI","no-estimate","admin1",0.001,0,0,0
"BDI","no-estimate","admin2",1e-04,12930129.6735007,13888085.3286865,15009827.8466956
"BDI","no-estimate","admin2",2e-04,8512341.74196113,9441637.45482101,10460644.3480897
"BDI","no-estimate","admin2",0.001,0,0,330552.0172284
"BEN","district-estimate","admin1",1e-04,28566.5606962401,35199.5710284693,41249.6970130303
"BEN","district-estimate","admin1",2e-04,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin1",0.001,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin2",1e-04,1141257.52409424,2372949.7585145,5093886.56917788
