"threshold","confirmation_lens","admin_level","icer_lb","icer_median","icer_ub"
1e-04,"district-estimate","admin1",-8768.10490065345,-5548.07026842488,-3628.37452834342
1e-04,"district-estimate","admin2",-35004.1038992823,1941.31236518156,55392.2223978716
1e-04,"global-estimate","admin1",-2830.48633361595,-1590.18122565821,-631.485712751707
1e-04,"global-estimate","admin2",5623.34847762888,6568.79721170643,7618.80330402307
1e-04,"no-estimate","admin1",-1810686.20715661,100106.446434118,861502.275684301
1e-04,"no-estimate","admin2",9703.33150877535,10425.1985478057,11158.1904005383
2e-04,"district-estimate","admin1",1124.72552894871,1659.23418110928,2170.84144391625
2e-04,"district-estimate","admin2",5551.73965893714,6120.20473991296,6679.60038298779
2e-04,"global-estimate","admin1",1843.06285813453,2950.0892568024,7410.2396849767
2e-04,"global-estimate","admin2",-323551.691993327,8884.3753596942,141569.417596196
2e-04,"no-estimate","admin1",-6631.09612102229,-4761.01347277088,-3298.73723546604
2e-04,"no-estimate","admin2",NA,NA,NA
0.001,"district-estimate","admin1",1903.82737339066,2103.37717768158,2337.97549766955
0.001,"district-estimate","admin2",2835.38910973986,3028.4118063797,3258.89812789332
0.001,"global-estimate","admin1",1806.11178300794,2058.18703039264,2286.35464722865
0.001,"global-estimate","admin2",2576.34942385815,2769.08038406452,2988.26785912728
0.001,"no-estimate","admin1",2025.5862939884,2256.79489782405,2584.1755543993
0.001,"no-estimate","admin2",3598.67711271054,3861.52231632277,4097.06118751898
