"ISO","confirmation_lens","threshold","admin_level","prop_tested_lb","prop_tested_median","prop_tested_ub"
"COG","district-estimate",0.001,"admin2",0.12834759695362,0.254491902605373,0.356238060757432
"COG","global-estimate",1e-04,"admin1",0.23038414092175,0.27484126624453,0.289302543870828
"COG","global-estimate",1e-04,"admin2",0.249438387184924,0.278385115995636,0.28912440756454
"COG","global-estimate",2e-04,"admin1",0.047458665842846,0.227405972480246,0.29136494025433
"COG","global-estimate",2e-04,"admin2",0.139499992395767,0.251124988242579,0.288714898804861
"COG","global-estimate",0.001,"admin1",0.263569174499372,0.266622812636924,0.270525847259838
"COG","global-estimate",0.001,"admin2",0.0546193658010174,0.115171087768091,0.188388287385199
"COG","no-estimate",1e-04,"admin1",0,0,0
"COG","no-estimate",1e-04,"admin2",0,0,0
"COG","no-estimate",2e-04,"admin1",0,0,0
"COG","no-estimate",2e-04,"admin2",0,0,0
"COG","no-estimate",0.001,"admin1",0,0,0
"COG","no-estimate",0.001,"admin2",0,0,0
"ETH","district-estimate",1e-04,"admin1",0.0350880498806582,0.150372010846488,0.205228636119059
"ETH","district-estimate",1e-04,"admin2",0.24348576007462,0.374139222892376,0.458195043927398
"ETH","district-estimate",2e-04,"admin1",0.0658330454314024,0.135498650320591,0.217850389981385
"ETH","district-estimate",2e-04,"admin2",0.116959735669355,0.250136057570736,0.416233911248942
"ETH","district-estimate",0.001,"admin2",0.0155986602328863,0.0515339901504887,0.198007101843548
"ETH","global-estimate",1e-04,"admin1",0.0242480654376807,0.0623503149419895,0.0903640536314812
"ETH","global-estimate",1e-04,"admin2",0.102551891311751,0.16016774320587,0.196998072367994
"ETH","global-estimate",2e-04,"admin1",0.0512226985143973,0.098357905478212,0.123933169094084
"ETH","global-estimate",2e-04,"admin2",0.0145700085268112,0.122842460473914,0.198134131006758
"ETH","global-estimate",0.001,"admin2",0.0067170693817395,0.020892158169117,0.11391945885578
"ETH","no-estimate",1e-04,"admin1",0,0,0
"ETH","no-estimate",1e-04,"admin2",0,0,0
"ETH","no-estimate",2e-04,"admin1",0,0,0
"ETH","no-estimate",2e-04,"admin2",0,0,0
"ETH","no-estimate",0.001,"admin2",0,0,0
"GHA","district-estimate",1e-04,"admin1",0.532063151310649,0.585063973578385,0.625479359821385
"GHA","district-estimate",1e-04,"admin2",0.59282004378471,0.621584170364144,0.638528541108313
"GHA","district-estimate",2e-04,"admin1",0.343486665638235,0.411557862274129,0.458550065518138
"GHA","district-estimate",2e-04,"admin2",0.444651206874993,0.496725074704669,0.536985114669282
"GHA","district-estimate",0.001,"admin2",0.0894112761931892,0.12260237502391,0.184342854565154
"GHA","global-estimate",1e-04,"admin1",0.221990350954808,0.24982182871862,0.268675662199798
"GHA","global-estimate",1e-04,"admin2",0.245405966040444,0.25623309272389,0.262483810403092
"GHA","global-estimate",2e-04,"admin1",0.110594947611205,0.171851226390749,0.209034670057962
"GHA","global-estimate",2e-04,"admin2",0.164754175383018,0.21938661234146,0.242669996385107
"GHA","global-estimate",0.001,"admin2",0.0394423925709908,0.0671023989680532,0.102383128535798
"GHA","no-estimate",1e-04,"admin1",0,0,0
"GHA","no-estimate",1e-04,"admin2",0,0,0
"GHA","no-estimate",2e-04,"admin1",0,0,0
"GHA","no-estimate",2e-04,"admin2",0,0,0
"GHA","no-estimate",0.001,"admin2",0,0,0
"GIN","district-estimate",1e-04,"admin1",0.378287791430371,0.554693707784746,0.627507236884452
"GIN","district-estimate",1e-04,"admin2",0.526299479405729,0.593308494726262,0.623075355468694
"GIN","district-estimate",2e-04,"admin1",0.149984337337993,0.433015042656274,0.534444737670025
"GIN","district-estimate",2e-04,"admin2",0.203527819952921,0.521188670607766,0.589509870670686
"GIN","global-estimate",1e-04,"admin1",0.175667478027884,0.230396460465933,0.269357669294393
"GIN","global-estimate",1e-04,"admin2",0.219531704784567,0.243036654597129,0.255564750751675
"GIN","global-estimate",2e-04,"admin1",0.0871813307737536,0.147327833691435,0.258414853177958
"GIN","global-estimate",2e-04,"admin2",0.0627720545251223,0.217490194557576,0.257640077167987
"GIN","no-estimate",1e-04,"admin1",0,0,0
"GIN","no-estimate",1e-04,"admin2",0,0,0
"GIN","no-estimate",2e-04,"admin1",0,0,0
"GIN","no-estimate",2e-04,"admin2",0,0,0
"GNB","district-estimate",1e-04,"admin1",0.437571774289209,0.530327217518842,0.603993539652027
"GNB","district-estimate",1e-04,"admin2",0.523819915316903,0.629543079221342,0.661476428763711
"GNB","district-estimate",2e-04,"admin1",0.186185614364493,0.459695831256286,0.508611943927661
"GNB","district-estimate",2e-04,"admin2",0.218098399193088,0.516983439749168,0.591223017410999
"GNB","district-estimate",0.001,"admin1",0.0167939384690297,0.0823085686507954,0.109524109987123
"GNB","district-estimate",0.001,"admin2",0.0590903597785777,0.167148638630225,0.200498782312897
"GNB","global-estimate",1e-04,"admin1",0.189783262800715,0.219195358685942,0.262349332041862
"GNB","global-estimate",1e-04,"admin2",0.241425602564211,0.261171438084335,0.274071688215647
"GNB","global-estimate",2e-04,"admin1",0.044167058202251,0.156053672253218,0.23081423930954
"GNB","global-estimate",2e-04,"admin2",0.0914043382856756,0.217155055331258,0.261078115316347
"GNB","global-estimate",0.001,"admin1",0.0119259100841216,0.0317768195918854,0.0404752458710596
"GNB","global-estimate",0.001,"admin2",0.0251793704633477,0.0696278935585665,0.101533183393047
"GNB","no-estimate",1e-04,"admin1",0,0,0
"GNB","no-estimate",1e-04,"admin2",0,0,0
"GNB","no-estimate",2e-04,"admin1",0,0,0
"GNB","no-estimate",2e-04,"admin2",0,0,0
"GNB","no-estimate",0.001,"admin1",0,0,0
"GNB","no-estimate",0.001,"admin2",0,0,0
"KEN","district-estimate",1e-04,"admin1",0.341181731492199,0.472323161661744,0.530132097485194
"KEN","district-estimate",1e-04,"admin2",0.460418946408122,0.559364093974685,0.590021197636503
"KEN","district-estimate",2e-04,"admin1",0.247149711315421,0.364812789946749,0.445125313167994
"KEN","district-estimate",2e-04,"admin2",0.36907325373177,0.484972480155685,0.531063199262779
"KEN","district-estimate",0.001,"admin1",0.0411478137467901,0.106543153171811,0.215002376735301
"KEN","district-estimate",0.001,"admin2",0.0966183723033809,0.251376575036878,0.319446544958798
"KEN","global-estimate",1e-04,"admin1",0.141107569810038,0.197310563538082,0.223476747770463
"KEN","global-estimate",1e-04,"admin2",0.192777631289806,0.231358077144296,0.245123235363593
"KEN","global-estimate",2e-04,"admin1",0.0676511627547277,0.146866443518429,0.19003773584906
"KEN","global-estimate",2e-04,"admin2",0.143607771362459,0.199298347735083,0.240538426877752
"KEN","global-estimate",0.001,"admin1",0.0294384724302268,0.0838039785299432,0.143468743057545
"KEN","global-estimate",0.001,"admin2",0.0538604892976784,0.107329091639882,0.145549340329052
"KEN","no-estimate",1e-04,"admin1",0,0,0
"KEN","no-estimate",1e-04,"admin2",0,0,0
"KEN","no-estimate",2e-04,"admin1",0,0,0
"KEN","no-estimate",2e-04,"admin2",0,0,0
"KEN","no-estimate",0.001,"admin1",0,0,0
"KEN","no-estimate",0.001,"admin2",0,0,0
"LBR","district-estimate",1e-04,"admin1",0.33391608203422,0.499052126760894,0.639658583589523
"LBR","district-estimate",1e-04,"admin2",0.398862174602171,0.567887962707006,0.653826906048516
"LBR","district-estimate",2e-04,"admin1",0.233762692370335,0.442684274233547,0.635435964003866
"LBR","district-estimate",2e-04,"admin2",0.304361400484763,0.502924081377405,0.633353212190824
"LBR","district-estimate",0.001,"admin1",0.0466435032857596,0.384304648759711,0.48994242114929
"LBR","district-estimate",0.001,"admin2",0.0260589728540912,0.299117044407666,0.570728459799992
"LBR","global-estimate",1e-04,"admin1",0.14077333279442,0.206454252615536,0.25976086224037
"LBR","global-estimate",1e-04,"admin2",0.163808549078392,0.233661885961586,0.26585929598644
"LBR","global-estimate",2e-04,"admin1",0.0236994423735735,0.179717482091403,0.254596911142355
"LBR","global-estimate",2e-04,"admin2",0.102279058372892,0.201965135061755,0.260904723172769
"LBR","global-estimate",0.001,"admin1",0.0165351928064737,0.269511097509167,0.28310279738758
"LBR","global-estimate",0.001,"admin2",0.0215483837891435,0.16737024864746,0.243403888209363
"LBR","no-estimate",1e-04,"admin1",0,0,0
"LBR","no-estimate",1e-04,"admin2",0,0,0
"LBR","no-estimate",2e-04,"admin1",0,0,0
"LBR","no-estimate",2e-04,"admin2",0,0,0
"LBR","no-estimate",0.001,"admin1",0,0,0
"LBR","no-estimate",0.001,"admin2",0,0,0
"MDG","district-estimate",1e-04,"admin2",0.0509152852293916,0.0737835284932923,0.0966517717571929
"MDG","global-estimate",1e-04,"admin2",0.0696792119795132,0.0802292609004484,0.0907793098213836
"MDG","no-estimate",1e-04,"admin2",0,0,0
"MLI","district-estimate",1e-04,"admin1",0.0457573885858606,0.121344364697948,0.270781920092622
"MLI","district-estimate",1e-04,"admin2",0.137490264368885,0.286757020838163,0.408586747346578
"MLI","district-estimate",2e-04,"admin2",0.0130871281911808,0.0624061651359905,0.187516684500286
"MLI","global-estimate",1e-04,"admin1",0.0570583154128497,0.0815056502157514,0.166990075877698
"MLI","global-estimate",1e-04,"admin2",0.0741262914008662,0.148717407636237,0.206058142770815
"MLI","global-estimate",2e-04,"admin2",0.0174103537762906,0.0595047062415811,0.136558733924962
"MLI","no-estimate",1e-04,"admin1",0,0,0
"MLI","no-estimate",1e-04,"admin2",0,0,0
"MLI","no-estimate",2e-04,"admin2",0,0,0
"MOZ","district-estimate",1e-04,"admin1",0.0723676722532812,0.194820559670118,0.453516491222094
"MOZ","district-estimate",1e-04,"admin2",0.44684155726836,0.530189416671269,0.638221302849206
"MOZ","district-estimate",2e-04,"admin1",0.0599374264917425,0.120295849934158,0.207222633281755
"MOZ","district-estimate",2e-04,"admin2",0.331068721424235,0.452423894169825,0.593689254150704
"MOZ","district-estimate",0.001,"admin2",0.00657146440060359,0.189552812865542,0.269146099818591
"MOZ","global-estimate",1e-04,"admin1",0.0354752409405728,0.0955315006762033,0.221974176219428
"MOZ","global-estimate",1e-04,"admin2",0.186878083001441,0.221528102142036,0.263370587187038
"MOZ","global-estimate",2e-04,"admin1",0.0284332826975513,0.0709405982434211,0.13180344248405
"MOZ","global-estimate",2e-04,"admin2",0.130147718743686,0.190984120487304,0.252565765490613
"MOZ","global-estimate",0.001,"admin2",0.00430653391050314,0.0811028663461772,0.119695497018587
"MOZ","no-estimate",1e-04,"admin1",0,0,0
"MOZ","no-estimate",1e-04,"admin2",0,0,0
"MOZ","no-estimate",2e-04,"admin1",0,0,0
"MOZ","no-estimate",2e-04,"admin2",0,0,0
"MOZ","no-estimate",0.001,"admin2",0,0,0
"MRT","district-estimate",1e-04,"admin1",0.474070003979957,0.474070003979957,0.474070003979957
"MRT","district-estimate",1e-04,"admin2",0.153446488744696,0.284165058898134,0.499323363390017
"MRT","district-estimate",2e-04,"admin2",0.124113504724617,0.250369360100486,0.375998650244996
"MRT","global-estimate",1e-04,"admin1",0.276180982985562,0.276180982985562,0.276180982985562
"MRT","global-estimate",1e-04,"admin2",0.0616736626702793,0.126450301791122,0.241387024591203
"MRT","global-estimate",2e-04,"admin2",0.0843590085769155,0.149788410680912,0.228984067818524
"MRT","no-estimate",1e-04,"admin1",0,0,0
"MRT","no-estimate",1e-04,"admin2",0,0,0
"MRT","no-estimate",2e-04,"admin2",0,0,0
"MWI","district-estimate",1e-04,"admin1",0.025769083244314,0.110925624165354,0.261069550332035
"MWI","district-estimate",1e-04,"admin2",0.198805945043512,0.27992969193676,0.383296005346132
"MWI","district-estimate",2e-04,"admin1",0.063758173384082,0.132874981056826,0.179630579104052
"MWI","district-estimate",2e-04,"admin2",0.068914705790344,0.163761284660768,0.277921125804033
"MWI","district-estimate",0.001,"admin2",0.0129126860460255,0.029127134770012,0.0970209025378845
"MWI","global-estimate",1e-04,"admin1",0.0185887849731745,0.0765015867696868,0.15148289844469
"MWI","global-estimate",1e-04,"admin2",0.0923886832439229,0.125518340678226,0.173861773330966
"MWI","global-estimate",2e-04,"admin1",0.0301178880795937,0.0823517774851777,0.0926762767269402
"MWI","global-estimate",2e-04,"admin2",0.0355938726326131,0.0841459348036239,0.146334706137634
"MWI","global-estimate",0.001,"admin2",0.0109984478389303,0.0217973487624365,0.0643243582449812
"MWI","no-estimate",1e-04,"admin1",0,0,0
"MWI","no-estimate",1e-04,"admin2",0,0,0
"MWI","no-estimate",2e-04,"admin1",0,0,0
"MWI","no-estimate",2e-04,"admin2",0,0,0
"MWI","no-estimate",0.001,"admin2",0,0,0
"NAM","district-estimate",1e-04,"admin1",0.524860307049835,0.678509391039773,0.701954886439068
"NAM","district-estimate",1e-04,"admin2",0.557913405794116,0.66807606362094,0.720867570059429
"NAM","district-estimate",2e-04,"admin1",0.160988033122976,0.510854370452543,0.645509358271449
"NAM","district-estimate",2e-04,"admin2",0.158917429284986,0.533120346435928,0.686145771007532
"NAM","district-estimate",0.001,"admin1",0.122674606074923,0.417259160055037,0.518574940900079
"NAM","district-estimate",0.001,"admin2",0.114928708137698,0.235922834478271,0.5030543597485
"NAM","global-estimate",1e-04,"admin1",0.22687321659925,0.274590290204127,0.292685137571513
"NAM","global-estimate",1e-04,"admin2",0.240082736713486,0.275871300539411,0.293817143346662
"NAM","global-estimate",2e-04,"admin1",0.0661781703127609,0.207785121095027,0.297787743120163
"NAM","global-estimate",2e-04,"admin2",0.0702483822864205,0.22864644354392,0.285382502114366
"NAM","global-estimate",0.001,"admin1",0.101339178645367,0.17612024526004,0.217286581310049
"NAM","global-estimate",0.001,"admin2",0.0526037300508035,0.101581026834913,0.203940956654797
"NAM","no-estimate",1e-04,"admin1",0,0,0
"NAM","no-estimate",1e-04,"admin2",0,0,0
"NAM","no-estimate",2e-04,"admin1",0,0,0
"NAM","no-estimate",2e-04,"admin2",0,0,0
"NAM","no-estimate",0.001,"admin1",0,0,0
"NAM","no-estimate",0.001,"admin2",0,0,0
"NER","district-estimate",1e-04,"admin1",0.0664142761535223,0.323898061776494,0.414290318957357
"NER","district-estimate",1e-04,"admin2",0.260839014616089,0.350842810297489,0.467165019576549
"NER","district-estimate",2e-04,"admin1",0.0948663069285855,0.321473072637417,0.342080975435894
"NER","district-estimate",2e-04,"admin2",0.112440944456736,0.215837322138266,0.30707792712612
"NER","district-estimate",0.001,"admin2",0.0648327632692984,0.125467807159761,0.174263177221118
"NER","global-estimate",1e-04,"admin1",0.0511961173432897,0.152791332588704,0.202037224264123
"NER","global-estimate",1e-04,"admin2",0.109836440933413,0.157345141435166,0.20787408400901
"NER","global-estimate",2e-04,"admin1",0.183136905172439,0.203712750590273,0.22305356692534
"NER","global-estimate",2e-04,"admin2",0.036921954392552,0.103850186228272,0.186458760173402
"NER","global-estimate",0.001,"admin2",0.074681393021084,0.0857962050788181,0.10866021632153
"NER","no-estimate",1e-04,"admin1",0,0,0
"NER","no-estimate",1e-04,"admin2",0,0,0
"NER","no-estimate",2e-04,"admin1",0,0,0
"NER","no-estimate",2e-04,"admin2",0,0,0
"NER","no-estimate",0.001,"admin2",0,0,0
"NGA","district-estimate",1e-04,"admin1",0.185195483214275,0.272899007239091,0.368896704909342
"NGA","district-estimate",1e-04,"admin2",0.460849735435762,0.528588235783191,0.569048198565443
"NGA","district-estimate",2e-04,"admin1",0.109484897847374,0.165250544789461,0.226786869482673
"NGA","district-estimate",2e-04,"admin2",0.357232932483837,0.435268859161363,0.504788050143184
"NGA","district-estimate",0.001,"admin2",0.111267110319745,0.20428379178615,0.285582312005522
"NGA","global-estimate",1e-04,"admin1",0.0847717219192495,0.130834039971538,0.187079787399294
"NGA","global-estimate",1e-04,"admin2",0.193340729655851,0.219231166845752,0.233981836016755
"NGA","global-estimate",2e-04,"admin1",0.0342850408149651,0.0764944044712312,0.118773927700297
"NGA","global-estimate",2e-04,"admin2",0.146710051984284,0.188266281993973,0.224060647184793
"NGA","global-estimate",0.001,"admin2",0.0452966213937344,0.0903024861682506,0.133207460068176
"NGA","no-estimate",1e-04,"admin1",0,0,0
"NGA","no-estimate",1e-04,"admin2",0,0,0
"NGA","no-estimate",2e-04,"admin1",0,0,0
"NGA","no-estimate",2e-04,"admin2",0,0,0
"NGA","no-estimate",0.001,"admin2",0,0,0
"RWA","district-estimate",1e-04,"admin2",0.130974994102606,0.222585438732237,0.453674049814623
"RWA","global-estimate",1e-04,"admin2",0.0527338784158548,0.171406978916595,0.237229018055461
"RWA","global-estimate",2e-04,"admin2",0.0260030374911291,0.229498872602221,0.239816083587143
"RWA","no-estimate",1e-04,"admin2",0,0,0
