Country Name,Admin 2 District,Number of Outbreaks
Benin,abomeycalavi,1
Benin,aguegues,1
Benin,bonou,1
Benin,djougou,1
Benin,savalou,1
Benin,soava,2
Cameroon,bafiahealthdistrict,1
Cameroon,bibemihealthdistrict,1
Cameroon,biyemassihealthdistrict,1
Cameroon,bogohealthdistrict,1
Cameroon,bonassamahealthdistrict,2
Cameroon,bourhahealthdistrict,1
Cameroon,bueahealthdistrict,1
Cameroon,citedespalmiershealthdistrict,1
Cameroon,citevertehealthdistrict,1
Cameroon,deidohealthdistrict,2
Cameroon,djoungolohealthdistrict,1
Cameroon,edeahealthdistrict,1
Cameroon,efoulanhealthdistrict,2
Cameroon,figuilhealthdistrict,3
Cameroon,fotokolhealthdistrict,1
Cameroon,foumbanhealthdistrict,1
Cameroon,foumbothealthdistrict,1
Cameroon,garoua1healthdistrict,2
Cameroon,garoua2healthdistrict,1
Cameroon,golombehealthdistrict,2
Cameroon,goulfeyhealthdistrict,1
Cameroon,guerehealthdistrict,2
Cameroon,guiderhealthdistrict,1
Cameroon,guidiguishealthdistrict,1
Cameroon,hinahealthdistrict,2
Cameroon,kaelehealthdistrict,1
Cameroon,kolofatahealthdistrict,1
Cameroon,kouoptamohealthdistrict,1
Cameroon,kousserihealthdistrict,2
Cameroon,kozahealthdistrict,2
Cameroon,kumbahealthdistrict,1
Cameroon,lagdohealthdistrict,1
Cameroon,logbabahealthdistrict,3
Cameroon,madahealthdistrict,2
Cameroon,magahealthdistrict,2
Cameroon,mayooulohealthdistrict,2
Cameroon,mifihealthdistrict,1
Cameroon,mindifhealthdistrict,1
Cameroon,mogodehealthdistrict,2
Cameroon,mokolohealthdistrict,2
Cameroon,morahealthdistrict,2
Cameroon,muyukahealthdistrict,1
Cameroon,newbellhealthdistrict,1
Cameroon,ngaoundereurbanhealthdistrict,1
Cameroon,nkolndongohealthdistrict,1
Cameroon,nylonhealthdistrict,2
Cameroon,obalahealthdistrict,1
Cameroon,pitoahealthdistrict,2
Cameroon,reyboubahealthdistrict,1
Cameroon,rouahealthdistrict,1
Cameroon,tchollirehealthdistrict,1
Cameroon,tikohealthdistrict,1
Cameroon,tokomberehealthdistrict,2
Cameroon,tombelhealthdistrict,1
Cameroon,velehealthdistrict,2
Cameroon,yagouahealthdistrict,1
Chad,abechehealthdistrict,1
Chad,amtimanhealthdistrict,2
Chad,bitkinehealthdistrict,1
Chad,bokorohealthdistrict,1
Chad,bolhealthdistrict,1
Chad,bongorhealthdistrict,1
Chad,fiangahealthdistrict,1
Chad,gounougayahealthdistrict,1
Chad,guelendenghealthdistrict,2
Chad,harazemangueignehealthdistrict,1
Chad,lerehealthdistrict,2
Chad,mandeliahealthdistrict,2
Chad,massaguethealthdistrict,2
Chad,massakoryhealthdistrict,2
Chad,n'djamenacentrehealthdistrict,1
Chad,n'djamenaesthealthdistrict,1
Chad,n'djamenanordhealthdistrict,1
Chad,n'djamenasudhealthdistrict,2
Chad,palahealthdistrict,1
Congo - Brazzaville,betou,1
Congo - Brazzaville,impfondo,1
Congo - Kinshasa,angumuhealthdistrict,3
Congo - Kinshasa,ankorohealthdistrict,2
Congo - Kinshasa,bagirahealthdistrict,2
Congo - Kinshasa,bangabolahealthdistrict,1
Congo - Kinshasa,barumbuhealthdistrict,1
Congo - Kinshasa,basankusuhealthdistrict,1
Congo - Kinshasa,basokohealthdistrict,1
Congo - Kinshasa,bilihealthdistrict,1
Congo - Kinshasa,bingahealthdistrict,1
Congo - Kinshasa,binzameteohealthdistrict,1
Congo - Kinshasa,bogahealthdistrict,1
Congo - Kinshasa,bolobohealthdistrict,3
Congo - Kinshasa,bomabunguhealthdistrict,1
Congo - Kinshasa,bomahealthdistrict,1
Congo - Kinshasa,bondohealthdistrict,1
Congo - Kinshasa,bosobehealthdistrict,1
Congo - Kinshasa,bukamahealthdistrict,3
Congo - Kinshasa,bumbahealthdistrict,1
Congo - Kinshasa,buniahealthdistrict,1
Congo - Kinshasa,bunkeyahealthdistrict,1
Congo - Kinshasa,bunyakirihealthdistrict,2
Congo - Kinshasa,butumbahealthdistrict,2
Congo - Kinshasa,dilalahealthdistrict,1
Congo - Kinshasa,fatakihealthdistrict,1
Congo - Kinshasa,fizihealthdistrict,3
Congo - Kinshasa,fungurumehealthdistrict,1
Congo - Kinshasa,gomahealthdistrict,9
Congo - Kinshasa,gombehealthdistrict,2
Congo - Kinshasa,ibandahealthdistrict,1
Congo - Kinshasa,ilebohealthdistrict,2
Congo - Kinshasa,ipamuhealthdistrict,1
Congo - Kinshasa,isangihealthdistrict,1
Congo - Kinshasa,kabarehealthdistrict,2
Congo - Kinshasa,kabondodiandahealthdistrict,2
Congo - Kinshasa,kadutuhealthdistrict,3
Congo - Kinshasa,kailohealthdistrict,2
Congo - Kinshasa,kalehehealthdistrict,1
Congo - Kinshasa,kalemiehealthdistrict,5
Congo - Kinshasa,kalongehealthdistrict,1
Congo - Kinshasa,kamitugahealthdistrict,1
Congo - Kinshasa,kampembahealthdistrict,1
Congo - Kinshasa,kaniolahealthdistrict,1
Congo - Kinshasa,kansimbahealthdistrict,1
Congo - Kinshasa,kanzenzehealthdistrict,1
Congo - Kinshasa,kapangahealthdistrict,3
Congo - Kinshasa,kapembahealthdistrict,1
Congo - Kinshasa,kapolowehealthdistrict,1
Congo - Kinshasa,karisimbihealthdistrict,6
Congo - Kinshasa,katanahealthdistrict,3
Congo - Kinshasa,katubahealthdistrict,1
Congo - Kinshasa,kenyahealthdistrict,1
Congo - Kinshasa,kibuahealthdistrict,1
Congo - Kinshasa,kikulahealthdistrict,2
Congo - Kinshasa,kilwahealthdistrict,2
Congo - Kinshasa,kingabwahealthdistrict,2
