Country Name,Admin 2 District,Number of Outbreaks
Congo - Kinshasa,kingasanihealthdistrict,1
Congo - Kinshasa,kinkondjahealthdistrict,5
Congo - Kinshasa,kirotshehealthdistrict,5
Congo - Kinshasa,kisangahealthdistrict,1
Congo - Kinshasa,kitengehealthdistrict,1
Congo - Kinshasa,kitonahealthdistrict,1
Congo - Kinshasa,kitutuhealthdistrict,1
Congo - Kinshasa,kongolohealthdistrict,2
Congo - Kinshasa,kyondohealthdistrict,1
Congo - Kinshasa,lemerahealthdistrict,2
Congo - Kinshasa,likasihealthdistrict,1
Congo - Kinshasa,likatihealthdistrict,1
Congo - Kinshasa,lilangabobangihealthdistrict,2
Congo - Kinshasa,limetehealthdistrict,2
Congo - Kinshasa,lingahealthdistrict,1
Congo - Kinshasa,litahealthdistrict,1
Congo - Kinshasa,logohealthdistrict,1
Congo - Kinshasa,lowahealthdistrict,2
Congo - Kinshasa,luberohealthdistrict,1
Congo - Kinshasa,lubudihealthdistrict,1
Congo - Kinshasa,lubumbashihealthdistrict,1
Congo - Kinshasa,lubungahealthdistrict,2
Congo - Kinshasa,lubutuhealthdistrict,1
Congo - Kinshasa,lukafuhealthdistrict,1
Congo - Kinshasa,lukolelahealthdistrict,2
Congo - Kinshasa,makisokisanganihealthdistrict,1
Congo - Kinshasa,malembankuluhealthdistrict,3
Congo - Kinshasa,malukuihealthdistrict,1
Congo - Kinshasa,malukuiihealthdistrict,1
Congo - Kinshasa,mangobohealthdistrict,1
Congo - Kinshasa,manikahealthdistrict,2
Congo - Kinshasa,masinaiihealthdistrict,1
Congo - Kinshasa,masisihealthdistrict,1
Congo - Kinshasa,matadihealthdistrict,1
Congo - Kinshasa,matetehealthdistrict,1
Congo - Kinshasa,mawuyahealthdistrict,1
Congo - Kinshasa,minovahealthdistrict,6
Congo - Kinshasa,mitimurhesahealthdistrict,4
Congo - Kinshasa,mitwabahealthdistrict,1
Congo - Kinshasa,moandahealthdistrict,1
Congo - Kinshasa,mobahealthdistrict,4
Congo - Kinshasa,mokalahealthdistrict,1
Congo - Kinshasa,montngafulaihealthdistrict,1
Congo - Kinshasa,mufungasampwehealthdistrict,1
Congo - Kinshasa,mukangahealthdistrict,2
Congo - Kinshasa,mulongohealthdistrict,1
Congo - Kinshasa,mutwangahealthdistrict,1
Congo - Kinshasa,mwanahealthdistrict,1
Congo - Kinshasa,mwesohealthdistrict,3
Congo - Kinshasa,ngabahealthdistrict,1
Congo - Kinshasa,niokihealthdistrict,1
Congo - Kinshasa,nizihealthdistrict,1
Congo - Kinshasa,nselehealthdistrict,1
Congo - Kinshasa,nunduhealthdistrict,7
Congo - Kinshasa,nyangezihealthdistrict,1
Congo - Kinshasa,nyarambehealthdistrict,2
Congo - Kinshasa,nyembahealthdistrict,2
Congo - Kinshasa,opalahealthdistrict,1
Congo - Kinshasa,pingahealthdistrict,2
Congo - Kinshasa,policehealthdistrict,1
Congo - Kinshasa,pwetohealthdistrict,1
Congo - Kinshasa,rethyhealthdistrict,1
Congo - Kinshasa,rutshuruhealthdistrict,1
Congo - Kinshasa,ruzizihealthdistrict,4
Congo - Kinshasa,rwangubahealthdistrict,3
Congo - Kinshasa,tchomiahealthdistrict,3
Congo - Kinshasa,uvirahealthdistrict,3
Congo - Kinshasa,vuhovihealthdistrict,1
Congo - Kinshasa,walikalehealthdistrict,1
Congo - Kinshasa,wangatahealthdistrict,3
Congo - Kinshasa,yabaondohealthdistrict,1
Congo - Kinshasa,yahumahealthdistrict,1
Congo - Kinshasa,yakusuhealthdistrict,1
Côte d’Ivoire,abidjanville,1
Ethiopia,afder,1
Ethiopia,arsi,1
Ethiopia,awi,2
Ethiopia,bale,2
Ethiopia,borena,1
Ethiopia,centralgondar,2
Ethiopia,centraltigray,2
Ethiopia,dawa,1
Ethiopia,eastgojam,1
Ethiopia,eastharerge,2
Ethiopia,eastshewa,1
Ethiopia,eastwellega,1
Ethiopia,erer,1
Ethiopia,fafan,2
Ethiopia,finfinezuria,1
Ethiopia,gedeo,1
Ethiopia,guji,1
Ethiopia,jarar,1
Ethiopia,korahe,1
Ethiopia,mekele,3
Ethiopia,metekel,1
Ethiopia,nogob,1
Ethiopia,northgondar,1
Ethiopia,northshewa,3
Ethiopia,northwello,1
Ethiopia,northwesterntigray,1
Ethiopia,oromiya,1
Ethiopia,shebelle,2
Ethiopia,sidama,2
Ethiopia,sitti,2
Ethiopia,southeasttigray,2
Ethiopia,southgondar,1
Ethiopia,southomo,1
Ethiopia,southwello,1
Ethiopia,southwestshewa,1
Ethiopia,waghimra,1
Ethiopia,westarsi,2
Ethiopia,westerntigray,2
Ethiopia,westgojam,2
Ethiopia,westgondar,2
Ethiopia,westguji,1
Ethiopia,westharerge,3
Ethiopia,zone1,1
Ethiopia,zone2,1
Ethiopia,zone3,1
Ethiopia,zone4,1
Ghana,accrametropolitan,1
Ghana,gaeast,1
Ghana,gasouth,1
Ghana,gawest,1
Ghana,ledzokukukrowor,1
Guinea,boke,1
Guinea,conakry,1
Guinea,coyah,1
Guinea,dubreka,1
Guinea,forecariah,1
Guinea,kerouane,1
Guinea,kindia,1
Guinea-Bissau,bula,1
Kenya,garissa,2
Kenya,kilifi,1
Kenya,kirinyaga,2
Kenya,kisumu,1
Kenya,machakos,1
Kenya,mandera,1
Kenya,marsabit,1
Kenya,meru,1
Kenya,mombasa,2
Kenya,muranga,1
Kenya,tharakanithi,1
Kenya,transnzoia,1
Malawi,blantyre,1
Malawi,dedza,1
Malawi,karonga,2
Malawi,lilongwe,1
Malawi,machinga,2
Malawi,mangochi,1
Malawi,nsanje,1
Malawi,phalombe,1
Malawi,salima,1
Malawi,zomba,2
Mali,dire,1
Mali,djenne,1
Mali,goundam,1
Namibia,windhoek,1
Niger,dakoro,1
Niger,goure,1
Niger,guidanroumdji,1
Niger,keita,2
Niger,madaoua,1
Niger,madarounfa,3
Niger,magaria,1
Niger,malbaza,1
Niger,maradi,1
Niger,mirriah,1
Niger,n'guigmi,1
Niger,niamey,1
Niger,tahoua,1
Nigeria,agaie,1
Nigeria,akko,1
Nigeria,alkaleri,2
Nigeria,asa,1
Nigeria,bakura,1
Nigeria,bauchi,3
Nigeria,bayo,1
Nigeria,bichi,2
Nigeria,bindawa,1
Nigeria,birninkudu,1
Nigeria,birninmagaji/kiyaw,1
Nigeria,biu,1
Nigeria,chikun,1
Nigeria,dala,1
Nigeria,damboa,1
Nigeria,darazo,1
Nigeria,dass,1
Nigeria,dawakinkudu,1
Nigeria,doguwa,1
Nigeria,fagge,2
Nigeria,ganjuwa,1
Nigeria,ganye,1
Nigeria,gaya,1
Nigeria,gezawa,2
Nigeria,gombe,1
Nigeria,gombi,1
Nigeria,goronyo,1
Nigeria,gujba,1
Nigeria,gulani,1
Nigeria,gusau,3
Nigeria,guyuk,1
Nigeria,gwadabawa,1
Nigeria,gwale,2
Nigeria,ibadansoutheast,1
Nigeria,ifecentral,1
Nigeria,igabi,2
Nigeria,ilorineast,1
Nigeria,ilorinsouth,2
Nigeria,ingawa,1
Nigeria,irepo,1
Nigeria,itasgadau,1
Nigeria,jalingo,1
Nigeria,jama'are,2
Nigeria,jere,1
Nigeria,josnorth,2
Nigeria,kadunanorth,1
Nigeria,kadunasouth,4
Nigeria,kaita,1
Nigeria,kaltungo,1
Nigeria,kanomunicipal,2
Nigeria,katsina,2
Nigeria,keffi,1
Nigeria,kirfi,1
Nigeria,kiru,1
Nigeria,kontagora,1
Nigeria,kosofe,1
Nigeria,kukawa,1
Nigeria,kumbotso,2
Nigeria,kunchi,2
Nigeria,kwayakusar,1
Nigeria,lagosisland,1
Nigeria,madobi,1
Nigeria,magama,1
Nigeria,maiduguri,2
Nigeria,makarfi,2
Nigeria,makurdi,1
Nigeria,maradun,1
Nigeria,maru,1
Nigeria,mashegu,1
Nigeria,michika,1
Nigeria,misau,1
Nigeria,moro,1
Nigeria,mubinorth,2
Nigeria,mubisouth,1
Nigeria,musawa,1
Nigeria,nassarawa,3
Nigeria,ngala,1
Nigeria,ningi,2
Nigeria,obi,1
Nigeria,onaara,1
Nigeria,potiskum,1
Nigeria,rabah,1
Nigeria,rano,2
Nigeria,rimi,1
Nigeria,rogo,1
Nigeria,sabongari,1
Nigeria,shanga,2
Nigeria,shinkafi,1
Nigeria,shira,2
Nigeria,soba,1
Nigeria,song,1
Nigeria,tafawabalewa,2
Nigeria,takum,1
Nigeria,tarauni,1
Nigeria,tofa,1
Nigeria,toro,2
Nigeria,toto,1
Nigeria,tsafe,1
Nigeria,tudunwada,1
Nigeria,ungogo,1
Nigeria,wudil,1
Nigeria,yamaltu/deba,2
Nigeria,yolanorth,1
Nigeria,zango,1
Nigeria,zaria,2
Sierra Leone,bo,1
Sierra Leone,bombali,1
Sierra Leone,bonthe,1
Sierra Leone,freetown,1
Sierra Leone,kambia,1
Sierra Leone,kenema,1
Sierra Leone,koinadugu,1
Sierra Leone,moyamba,1
Sierra Leone,portloko,1
Sierra Leone,pujehun,1
Sierra Leone,tonkolili,1
Sierra Leone,westernarearural,1
Sierra Leone,westernareaurban,1
Somalia,beledhawo,1
Somalia,beledweyn,1
South Sudan,awerial,1
South Sudan,borsouth,2
South Sudan,budi,1
South Sudan,fangak,1
South Sudan,fashoda,1
South Sudan,ikotos,1
South Sudan,juba,2
South Sudan,kajokeji,2
South Sudan,kapoetaeast,1
South Sudan,kapoetanorth,1
South Sudan,kapoetasouth,1
South Sudan,mayendit,1
South Sudan,nyirol,1
South Sudan,panyijiar,1
South Sudan,rubkona,1
South Sudan,yiroleast,1
Tanzania,arusharural,1
Tanzania,arushaurban,2
Tanzania,chunya,1
Tanzania,dodomaurban,1
Tanzania,geita,1
Tanzania,hanang,1
Tanzania,ilala,1
Tanzania,ilemela,1
Tanzania,kibaharural,1
Tanzania,kilosa,3
Tanzania,kilwa,1
Tanzania,kinondoni,1
Tanzania,kisarawe,1
Tanzania,kiteto,1
Tanzania,kongwa,1
Tanzania,lushoto,1
Tanzania,mbarali,1
Tanzania,mbeyaurban,1
Tanzania,meru,1
Tanzania,morogororural,1
Tanzania,mpwapwa,2
Tanzania,muheza,1
Tanzania,ngorongoro,1
Tanzania,nyamagana,1
Tanzania,rorya,1
Tanzania,sengerema,1
Tanzania,simanjiro,2
Tanzania,songwe,1
Tanzania,temeke,2
Tanzania,ukerewe,1
Zambia,lusaka,1
