"admin-1","admin0","admin1","admin2","outbreak_number","start_weekday","country","spatial_scale","temporal_scale","population","total_suspected_cases","total_deaths","duration","threshold","attack_rate","cfr","area","mean_R0","id","who_region","start_date","end_date","total_confirmed_cases","right_censored","EpiPeriod","location_period_id","threshold.per.week","run_country","duplicated_at_same_spatial_scale","manually_selected","duplicated_at_different_spatial_scale","time_to_peak..weeks.","pop_cat","population_density","rural_urban","country_code","TL","TR"
"afr","cmr","farnorth","fotokolhealthdistrict",1,"Monday","CMR","admin2","weekly",65892.2,270,NA,8,5.90189607501384,4.09760213208104,NA,363.0098685,2.74,"afr::cmr::farnorth::fotokolhealthdistrict_1","AFR",2018-10-15,2018-12-09,NA,"no","complete",15273,0,"CMR",NA,"yes",NA,3,"10,000-100,000",181.516277428695,"Rural settings","CMR",2018-10-15,2018-12-09
"afr","cmr","farnorth","goulfeyhealthdistrict",2,"Monday","CMR","admin2","weekly",102444.6,63,4,12,0.217995714556643,0.61496647197304,6.34920634920635,1673.284775,1.75,"afr::cmr::farnorth::goulfeyhealthdistrict_2","AFR",2011-06-27,2011-09-18,NA,"no","complete",13057,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",61.2236491544005,"Rural settings","CMR",2011-06-27,2011-09-18
"afr","cmr","farnorth","guerehealthdistrict",2,"Monday","CMR","admin2","weekly",69342.2,498,25,29,2.95953673206037,7.18177840049501,5.02008032128514,944.763931,2.26,"afr::cmr::farnorth::guerehealthdistrict_2","AFR",2010-06-07,2010-12-26,NA,"no","complete",13058,0,"CMR",NA,"yes",NA,3,"10,000-100,000",73.3963244411794,"Rural settings","CMR",2010-06-07,2010-12-26
"afr","cmr","farnorth","guerehealthdistrict",4,"Monday","CMR","admin2","weekly",70781.3,509,11,27,2.95953673206037,7.19116680301686,2.16110019646365,944.763931,1.75,"afr::cmr::farnorth::guerehealthdistrict_4","AFR",2011-04-25,2011-10-30,NA,"no","complete",13058,0,"CMR",NA,"yes",NA,5,"10,000-100,000",74.9195621016993,"Rural settings","CMR",2011-04-25,2011-10-30
"afr","cmr","farnorth","guidiguishealthdistrict",1,"Monday","CMR","admin2","weekly",82879.1,54,6,12,0.207061618360785,0.651551157417663,11.1111111111111,1052.529165,2.04,"afr::cmr::farnorth::guidiguishealthdistrict_1","AFR",2010-09-20,2010-12-12,NA,"no","complete",13059,0,"CMR",NA,"yes",NA,3,"10,000-100,000",78.7428061435238,"Rural settings","CMR",2010-09-20,2010-12-12
"afr","cmr","farnorth","hinahealthdistrict",1,"Monday","CMR","admin2","weekly",209218.5,54,10,22,0.397711175853409,0.258103351123993,18.5185185185185,948.6867617,1.96,"afr::cmr::farnorth::hinahealthdistrict_1","AFR",2010-06-28,2010-11-28,NA,"no","complete",13060,0,"CMR",NA,"yes",NA,12,"100,000-1,000,000",220.534857706975,"Rural settings","CMR",2010-06-28,2010-11-28
"afr","cmr","farnorth","hinahealthdistrict",2,"Monday","CMR","admin2","weekly",242527.4,406,16,21,0.397711175853409,1.67403782768852,3.94088669950739,948.6867617,2.09,"afr::cmr::farnorth::hinahealthdistrict_2","AFR",2014-06-23,2014-11-16,NA,"no","complete",13060,0,"CMR",NA,"yes",NA,4,"100,000-1,000,000",255.645392969754,"Rural settings","CMR",2014-06-23,2014-11-16
"afr","cmr","farnorth","kaelehealthdistrict",1,"Monday","CMR","admin2","weekly",167732.3,307,25,22,0.505277959789839,1.83029713730088,8.14332247557003,1024.82822,1.48,"afr::cmr::farnorth::kaelehealthdistrict_1","AFR",2011-06-27,2011-11-27,NA,"no","complete",13061,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",163.668697569628,"Rural settings","CMR",2011-06-27,2011-11-27
"afr","cmr","farnorth","kolofatahealthdistrict",1,"Monday","CMR","admin2","weekly",132745,1416,63,20,2.64341808738493,10.6670709506646,4.44915254237288,767.4268161,1.68,"afr::cmr::farnorth::kolofatahealthdistrict_1","AFR",2010-07-26,2010-12-12,NA,"no","complete",13063,0,"CMR",NA,"yes",NA,8,"100,000-1,000,000",172.974148433592,"Rural settings","CMR",2010-07-26,2010-12-12
"afr","cmr","farnorth","kousserihealthdistrict",2,"Monday","CMR","admin2","weekly",174240.7,276,18,20,1.35389328067988,1.58401536236638,6.52173913043478,2927.572291,2.45,"afr::cmr::farnorth::kousserihealthdistrict_2","AFR",2010-09-13,2011-01-30,NA,"no","complete",13083,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",59.5171297855408,"Rural settings","CMR",2010-09-13,2011-01-30
