country
DJI
ERI
ETH
SDN
SOM
SSD
BEN
BFA
CIV
CMR
GHA
GIN
GMB
GNB
LBR
MLI
MRT
NER
NGA
SEN
SLE
TCD
TGO
AGO
CAF
COD
COG
GAB
GNQ
BWA
NAM
ZAF
BDI
KEN
LSO
MDG
MOZ
MWI
RWA
SWZ
TZA
UGA
ZMB
ZWE
