id,region
103,AGO
2,BDI
289,BEN
100,BFA
4652,BWA
1902,CAF
582,CIV
157,CMR
9,COD
530,COG
1694,DJI
4507,ERI
14,ETH
10458,GAB
192,GHA
30,GIN
701,GMB
375,GNB
6803,GNQ
405,KEN
181,LBR
4352,LSO
242,MDG
55,MLI
303,MOZ
681,MRT
6136,MUS
43,MWI
177,NAM
1045,NER
36,NGA
6,RWA
78,SDN
141,SEN
604,SLE
23,SOM
568,SSD
10642,SWZ
145,TCD
453,TGO
26,TZA
131,UGA
363,ZAF
538,ZMB
383,ZWE
