scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2034,1,100,default age groups,138703014.5,0.298517139646002516162,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2037,1,100,default age groups,151339862.5,0.298517139646002460651,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2040,1,100,default age groups,164457897.5,0.298517139646002460651,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2025,1,100,default age groups,6203951.5,0.183591331511663291565,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2028,1,100,default age groups,6625331,0.183591331511663291565,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2031,1,100,default age groups,7068634,0.183591331511663263809,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2034,1,100,default age groups,7531029.5,0.183591331511663263809,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2037,1,100,default age groups,8008622,0.183591331511663291565,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2040,1,100,default age groups,8495826,0.183591331511663291565,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2025,1,100,default age groups,46076155.5,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2028,1,100,default age groups,47911402,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2031,1,100,default age groups,49550361,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2034,1,100,default age groups,51079481.5,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2037,1,100,default age groups,52580505,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,DZA,Algeria,2040,1,100,default age groups,54093271.5,0.084999999999999992228,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2021,1,100,default age groups,116529023.5,0.008495737544732793328,both,<NA>
