run_id,infect_dur,COD:aoi,ETH:aoi,KEN:aoi,SOM:aoi,SSD:aoi,COD:incid_rate,ETH:incid_rate,KEN:incid_rate,SOM:incid_rate,SSD:incid_rate,COD:cfr,ETH:cfr,KEN:cfr,SOM:cfr,SSD:cfr
1,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.0145723231318787e-4,6.318394007792766e-5,2.4939693938124313e-4,0.0015599262196324317,8.180914049460123e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
2,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.9554665201466745e-4,6.289093584749317e-5,2.439468602179515e-4,0.0015298888602571484,8.053353825477253e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
3,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.012415880396333e-4,6.350414262022734e-5,2.460665423010944e-4,0.0015509803228290202,8.03957112567947e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
4,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.965501432824858e-4,6.588582431490217e-5,2.448665812407944e-4,0.0015614212540396009,8.280142341165861e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
5,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,4.0131210524115343e-4,6.417462528326497e-5,2.434032261801948e-4,0.0015644924033123714,6.035159595676646e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
6,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.9916003628703595e-4,6.282067136407631e-5,2.4348780326240561e-4,0.0016225347526394127,5.880348075818113e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
7,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5330019815452054e-4,6.662141979150368e-5,2.4448020338645925e-4,0.0015771178910319293,5.846532633884284e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
8,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.608890697338654e-4,7.559442095627591e-5,2.2305363565531112e-4,0.0015831503727795286,5.800714600063397e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
9,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5842243812932146e-4,6.137897204221565e-5,2.2928059311910225e-4,0.0015427601888735511,6.04253857859079e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
10,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.385692384040186e-4,6.593720694013175e-5,2.2355787719055418e-4,0.001518311159727032,5.795916813414771e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
11,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.7192318892690214e-4,6.495946676703334e-5,2.261375341667661e-4,0.0014491705859620274,5.921482413682469e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
12,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.3947771285239883e-4,6.37296988642378e-5,2.2123519009564733e-4,0.0012102745288796331,5.958095236655215e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
13,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5343797717800817e-4,6.560280199956295e-5,2.2467681842553282e-4,0.0011855835298884784,5.952358023149587e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
14,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.299276895499855e-4,6.891725267628546e-5,2.052712378860202e-4,0.0011932094713407368,5.687882934810036e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
15,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5452087768491535e-4,6.267001045189847e-5,1.9204391271186863e-4,0.0012753348829186468,6.054306270401163e-4,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
16,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.3067870756021815e-4,6.43118395851558e-5,1.9489876194055223e-4,0.0014571882967120617,0.0014667127267153416,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
17,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5877345142235344e-4,6.393194694174764e-5,1.9004272574793573e-4,0.001353024567269488,0.001456601986602295,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
18,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.440540872141019e-4,6.368897511473782e-5,1.9004272574793573e-4,0.0011572630984765298,0.0014670706403314734,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
19,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.470773032833333e-4,6.122398932175957e-5,1.9175220033595963e-4,0.001146689833212713,0.0014562750101250429,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
20,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.4072621650039147e-4,6.618928671517275e-5,1.9180564475446601e-4,0.0011423323099613936,0.0014525680793866843,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
21,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.335485521268293e-4,7.025733128742417e-5,1.898762808426956e-4,0.0011249068711587987,0.001463869525630144,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
22,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5612712061290186e-4,6.987119610900502e-5,1.8953937104547336e-4,0.0011445890864889125,0.0014452538190286419,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
23,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.548591634602028e-4,7.183469629220231e-5,1.9033069825561894e-4,0.0011542321456566686,0.0014913057831393351,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
24,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.488512544090373e-4,6.771364688605287e-5,1.9329925863843876e-4,0.0011972565371883336,0.0012454905376332594,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
25,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.605845382625704e-4,7.015913301005692e-5,1.5036605111585092e-4,0.0012131547924617762,0.0011871809337533582,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
26,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,0.00035459237144996913,7.211874328242368e-5,1.497294117680548e-4,0.0013690007240283466,0.0012235619244020442,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
27,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.6744903878433224e-4,7.217525180741412e-5,1.544587670468692e-4,0.0012222759361844274,0.0012279747512021037,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
28,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.678310326980169e-4,7.116569117537453e-5,1.5037042379456e-4,0.0011845235275976522,0.0012046636425149543,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
29,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.6800810605800224e-4,7.02742583331575e-5,1.5223408428246353e-4,0.0012145959600601802,0.0012256223883693326,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
30,0.010958904109589041,25.75,25.75,25.75,25.75,25.75,3.5915920174383286e-4,7.140319910685651e-5,1.4710545449279878e-4,0.0011979237121271303,0.001178597070697328,0.04305348662882208,0.012857468912990186,0.03276261694892314,0.03489362249078576,0.022674865488086088
