"","scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"1","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2025,1,100,"default age and gender",42350794,0.561536457085639,"both"
"2","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2028,1,100,"default age and gender",45089671,0.561536457085639,"both"
"3","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2031,1,100,"default age and gender",47810447,0.561536457085639,"both"
"4","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2034,1,100,"default age and gender",50507703,0.561536457085639,"both"
"5","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2037,1,100,"default age and gender",53155829,0.561536457085639,"both"
"6","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AFG","Afghanistan",2040,1,100,"default age and gender",55734758,0.561536457085639,"both"
"7","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2025,1,100,"default age and gender",37089446,0.0250834782014924,"both"
"8","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2028,1,100,"default age and gender",40711007,0.0250834782014924,"both"
"9","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2031,1,100,"default age and gender",44608797,0.0250834782014924,"both"
"10","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2034,1,100,"default age and gender",48776283,0.0250834782014924,"both"
"11","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2037,1,100,"default age and gender",53205542,0.0250834782014924,"both"
"12","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","AGO","Angola",2040,1,100,"default age and gender",57887928,0.0250834782014924,"both"
"13","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2025,1,100,"default age and gender",13300017,0.056759912400634,"both"
"14","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2028,1,100,"default age and gender",14468966,0.056759912400634,"both"
"15","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2031,1,100,"default age and gender",15688591,0.056759912400634,"both"
"16","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2034,1,100,"default age and gender",16959254,0.056759912400634,"both"
"17","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2037,1,100,"default age and gender",18287782,0.056759912400634,"both"
"18","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BDI","Burundi",2040,1,100,"default age and gender",19675073,0.056759912400634,"both"
"19","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2025,1,100,"default age and gender",13382217,0.0269942286481188,"both"
"20","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2028,1,100,"default age and gender",14452587,0.0269942286481188,"both"
"21","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2031,1,100,"default age and gender",15575952,0.0269942286481188,"both"
"22","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2034,1,100,"default age and gender",16748866,0.0269942286481188,"both"
"23","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2037,1,100,"default age and gender",17967994,0.0269942286481188,"both"
"24","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BEN","Benin",2040,1,100,"default age and gender",19228693,0.0269942286481188,"both"
"25","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2025,1,100,"default age and gender",23198040,0.0240273421352545,"both"
"26","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2028,1,100,"default age and gender",25162330,0.0240273421352545,"both"
"27","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2031,1,100,"default age and gender",27238385,0.0240273421352545,"both"
"28","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2034,1,100,"default age and gender",29421471,0.0240273421352545,"both"
"29","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2037,1,100,"default age and gender",31698268,0.0240273421352545,"both"
"30","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BFA","Burkina Faso",2040,1,100,"default age and gender",34056240,0.0240273421352545,"both"
"31","cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","BGD","Bangladesh",2025,1,100,"default age and gender",169693563,0.372607583770451,"both"
